"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,42.7295561245415,192.595304691173,72.3871959611534,52.2275179661865,91.5095287842718,1886.96086399618,1689.5,1623.92457225304,1749.5,1695,1385,1676,83.0488721325952
"2002/2003",2003,120,120,100,47.2338076192015,193.759053203217,82.7464123101847,63.4108554605166,99.5316457013191,1820.60036126961,1566.5,1372.83891357229,1695.5,1509.5,1549,1500,79.6656012612514
"2003/2004",2004,120,120,100,64.1796526520487,259.45016096897,70.4300456673607,73.5808287580762,97.2304721772771,2164.57132718279,1938.5,1785.04789378948,1994.5,1936,1703,1931,87.5093128028165
"2004/2005",2005,121,121,100,53.5031786969071,229.793156678428,65.2761986840293,63.409288066669,93.4211835493543,2073.19053875202,1884.5,1781.29632808382,1927.5,1916.5,1549,1888,86.9471112780623
"2005/2006",2006,120,120,100,52.8062556520769,224.362800173491,74.3586660006169,63.7131279430207,95.0445763616664,2008.32904417659,1824.5,1664.82786549609,1900,1800.5,1623,1797.5,85.2990573399062
"2006/2007",2007,120,120,100,52.2196616636879,263.571610504736,71.1208452732604,62.1441488075943,95.9710698456498,1980.91234032131,1745,1624.29488678358,1846.5,1735.5,1565,1732.5,82.7245145453956
"2007/2008",2008,120,120,100,53.935723816062,218.552553560995,83.8859631867959,69.0932633615407,100.36506580819,1954.41666208474,1666,1418.37346547483,1833.5,1585.5,1725,1581.5,79.4663041785934
"2008/2009",2009,121,121,100,46.7744445435897,235.233168676155,67.9099801480846,58.6089589047578,94.0487040663186,2007.97827269855,1802.5,1676.4863932078,1855.5,1797.5,1524,1778.5,85.8930208062739
"2009/2010",2010,120,120,100,64.180954697292,256.074005763915,70.5662867610781,73.9029738999091,97.0768723374537,2284.89139844777,2078,1862.90435423213,2145,2019,1913,2014.5,89.6851739793426
"2010/2011",2011,120,120,100,62.2105384260052,249.032395734968,72.4809748181774,72.9740691512473,97.3332131697207,2187.88046101874,1952,1785.71301547036,2040.5,1911,1816,1909.5,85.4122154295201
