"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,39.0748580020986,192.60080630111,70.5152071899661,49.4486706989958,90.2478275867311,1817.73091489457,1607.5,1561.93988892739,1676.5,1616.5,1326,1588,81.3897454932209
"2002/2003",2003,120,120,100,47.7429509283558,213.148442596827,80.1770714693804,63.4299263936259,99.1861606008463,1849.32072364862,1598,1426.74415334639,1727.5,1553,1564,1543,80.8593044446082
"2003/2004",2004,120,120,100,62.2622950759889,270.403811861511,68.1707554028208,70.9768786559197,96.2413460885773,2140.98256488362,1916.5,1791.28390051624,1984,1925,1658,1918.5,88.9274173552674
"2004/2005",2005,121,121,100,50.2866040288342,232.992245046871,63.353589500373,60.1142002574464,92.2119621614873,2011.16290357097,1835,1737.32435218703,1858,1856.5,1461,1820.5,86.3166553141199
"2005/2006",2006,120,120,100,49.3456599581371,228.173580132331,72.6037208499904,58.6046083757079,92.9524814791015,1947.79516073464,1793.5,1656.5900039184,1846,1768,1546,1762,83.049127713762
"2006/2007",2007,120,120,100,49.8507311255927,270.224259036772,68.9014751623247,61.3025265140499,95.312193742064,1918.09293563324,1699.5,1563.46125053158,1814,1657.5,1517,1650,82.790356705298
"2007/2008",2008,120,120,100,54.0755246375504,235.672097891541,81.5179775216371,69.0335429944578,99.8089004489172,1980.03195444619,1690,1462.4612604097,1861.5,1630,1743,1627.5,81.4815714739535
"2008/2009",2009,121,121,100,45.5675747926946,244.321726074926,66.1117732870783,55.0521278749465,92.1445796601417,1966.4945888087,1784,1662.62465965858,1807.5,1792,1431,1758.5,84.5996395813222
"2009/2010",2010,120,120,100,62.2524491719336,267.239234741755,68.5600519598001,70.6681287133142,95.8088655785654,2262.62355116965,2060,1870.95369313196,2107,2036,1845,2029.5,88.3584441564597
"2010/2011",2011,120,120,100,58.3861653030345,258.880512123528,70.5658755402925,68.3735372943444,95.7002948348824,2136.85633917482,1923.5,1789.27054717148,2012.5,1904.5,1707,1900.5,85.275795203286
"2011/2012",2012,120,120,100,40.5519833688124,189.661850508194,79.7492375072695,54.1362745247937,95.5327327655231,1719.58386009379,1478,1343.76983787218,1601,1440.5,1362,1421.5,78.2211403441263
"2012/2013",2013,121,121,100,59.8393848631246,266.587566932153,71.7061642123399,71.106602380562,97.6569646527992,2085.01003439917,1865,1704.2540101681,1959,1835.5,1701,1825,86.4872653923042
"2013/2014",2014,120,120,100,28.9917545846582,136.957003314344,84.4530086660471,46.2796014227015,96.1326576245678,1445.20779760391,1219,1149.85333977573,1323.5,1205.5,1046,1192.5,73.8233938823387
"2014/2015",2015,120,120,100,50.3159785343047,219.098751470445,70.730119386479,59.4880053076771,92.9884630510596,1978.91753115114,1833.5,1652.94679699947,1872.5,1808.5,1569,1782.5,83.4848438907095
"2015/2016",2016,120,120,100,42.5420275630965,190.471765173966,73.2670393145925,56.1812589247141,94.7955954935161,1820.23235408253,1617.5,1497.28180761198,1731,1584.5,1449,1577.5,82.3288026563414
"2016/2017",2017,121,121,100,41.0038666955807,211.387411684904,69.6336026766525,54.455038830287,93.5968373762315,1811.94108352665,1596,1460.42520059916,1670,1577.5,1390,1526,82.6872173316965
"2017/2018",2018,120,120,100,48.3203658078986,207.792993037393,79.477344699473,63.6666656562892,96.3317673551904,1826.762323341,1576.5,1419.50723478042,1697,1545,1494,1533,79.7126152474907
"2018/2019",2019,120,120,100,49.5223808006875,189.644270128806,75.2461753449285,62.9838449461299,96.0207219628203,1964.87765251493,1722.5,1605.49518649857,1820,1702.5,1549,1691,84.3991541329119
"2019/2020",2020,120,120,100,45.1062457165725,218.278049449102,64.4190279176768,54.8762647874769,91.3660669901593,1972.28992915569,1817,1720.88989398798,1825,1851.5,1461,1810.5,84.4271054934479
"2020/2021",2021,121,121,100,52.8480241499044,234.834248565147,78.2805101176672,70.2193477682967,100.729292501634,1848.99736890287,1571.5,1395.73330694005,1729,1510.5,1552,1507,81.7100378245063
"2021/2022",2022,120,120,100,45.3201705588422,190.313196220678,74.4668338927039,60.1613094950614,94.1988052953336,1753.31261730607,1482.5,1281.23163766074,1583.5,1481.5,1417,1407.5,75.8901108837049
"2022/2023",2023,120,120,100,56.1215031165807,222.396693781048,70.3980130022475,68.809744504948,96.8243449531848,2186.46295137797,1996.5,1801.41078945025,2058.5,1945,1814,1942,87.8780843162081
"2023/2024",2024,120,120,100,49.3352058262133,246.029750578975,61.9249815802959,57.3447307549223,90.5885120108361,2068.38061593212,1918.5,1781.56913959815,1913,1926.5,1541,1878,85.7915133195906
"2024/2025",2025,121,121,100,52.629988906358,237.351892542331,72.8197287748287,66.5063239485014,97.5090556666667,2093.21968806002,1833,1699.95403998226,1950.5,1793.5,1710,1788.5,85.6156213641484
"2025/2026",2026,120,120,100,35.4339055979212,183.215817198154,90.6804074514665,50.9722542788284,97.7971812640787,1496.84573616165,1211,1058.61576265521,1380.5,1145,1245,1139,73.411870804126
"2026/2027",2027,120,120,100,47.194074875038,239.213291283289,65.6471809687096,59.8204709485785,93.7432973225532,1998.87944208096,1822,1708.03076602709,1855,1812,1483,1796,85.6690009459408
"2027/2028",2028,120,120,100,56.1771627804228,209.964712262157,83.4843162004295,74.4454972832958,101.904228945894,1990.96003846724,1659,1432.09531602338,1848,1570.5,1760,1570.5,80.8824178788091
"2028/2029",2029,121,121,100,49.0825901528461,252.716414938339,70.3494777674938,61.700159201664,95.8053663270964,1877.3025888899,1663,1481.48819204474,1761,1590.5,1514,1570,82.9655552221061
"2029/2030",2030,120,120,100,43.8384602447285,210.011835970259,75.0230023075458,58.4042833846179,95.5876320879041,1836.46935101255,1596.5,1449.20208354147,1699.5,1562,1432,1540.5,81.86365007825
"2030/2031",2031,120,120,100,55.6784709940273,258.552743949943,71.1133335502493,67.1011074284824,96.0354074074811,1917.91783241807,1696.5,1560.4820882057,1775,1679.5,1522,1665.5,83.2382384682987
"2031/2032",2032,120,120,100,52.3444210384297,256.927831126647,65.2582185680348,61.7212500488658,93.0618332244224,2019.72051014226,1883.5,1750.03477937242,1900.5,1857,1525,1843,85.1503460259
"2032/2033",2033,121,121,100,50.0924227098134,212.800216293321,81.9420867611563,66.9726834893149,101.008003720813,1868.62518166054,1595,1427.04686623236,1729,1518,1579,1518,82.1490855399716
"2033/2034",2034,120,120,100,45.9024272891537,224.95624866368,77.7754179337277,60.5356481134014,95.9654826106305,1765.73301669353,1527.5,1331.4738277959,1650,1459.5,1460,1431,79.2054239088457
"2034/2035",2035,120,120,100,44.7357036909265,190.689205353318,76.4999587718093,58.1331261158212,95.00118353135,1781.53090676983,1532.5,1349.68139282494,1639.5,1482.5,1447,1433.5,76.8953261926654
"2035/2036",2036,120,120,100,45.8284666334433,212.045730054242,74.2135865120653,57.6257999544752,93.9243853688317,1914.52465379219,1685.5,1609.49187663839,1774,1703.5,1435,1693,83.4090635249222
"2036/2037",2037,121,121,100,49.1423043600573,219.985884813033,79.7292370216575,68.5667924718767,100.778465523154,1888.20252462171,1568.5,1401.12984122499,1746.5,1528,1628,1514,80.3194753746866
"2037/2038",2038,120,120,100,49.2837094581745,210.984504406008,71.6671647872398,60.1413655367565,93.9959467703617,1949.77174844187,1761.5,1637.44520293685,1833,1733,1555,1723,83.5133590082442
"2038/2039",2039,120,120,100,40.1937226281254,209.506282572825,63.2376233395656,49.6008261329008,89.7836119175409,2038.68137134715,1937.5,1875.06564007527,1909.5,1946,1450,1931,89.0600148866315
"2039/2040",2040,120,120,100,56.4670647499437,243.071661462439,67.9863798341544,67.3753848922513,95.1702643024881,2076.22431384186,1857.5,1674.6178380558,1930.5,1833,1657,1804.5,86.5797557221022
"2040/2041",2041,121,121,100,53.8025381179191,245.773393034287,68.9286320001581,65.3496815466185,95.6965164855174,2134.91679920116,1945.5,1789.84585866014,1989.5,1922,1713,1916,87.8337420519492
"2041/2042",2042,120,120,100,39.382763089577,152.35887245962,70.2953447507957,45.2430963407159,86.7864978346977,1957.608029753,1847,1852.07228282344,1802.5,1907,1286,1883,84.6503389592717
"2042/2043",2043,120,120,100,53.6493781256597,241.397734813043,78.7234268122802,72.3689798393002,101.704595518477,1904.04309115055,1556.5,1359.88257528943,1780.5,1475.5,1656,1470.5,81.8516072148559
"2043/2044",2044,120,120,100,57.2604164641272,256.090392783965,67.6625838926601,65.5243993581672,94.4203095916298,2153.25341081686,1970.5,1841.55053983176,2014.5,1969,1691,1955,86.7750545744502
"2044/2045",2045,121,121,100,48.9853588371067,215.099868488894,84.5782638236956,64.2214217062452,99.341903912624,1832.80878588636,1562.5,1410.29875993035,1698,1524.5,1552,1520,80.8594848799285
"2045/2046",2046,120,120,100,47.7625630388361,228.149637773715,72.8651753377051,60.8241838016674,95.4692001553646,1848.69486039877,1614,1420.93359382355,1710.5,1601.5,1482,1551.5,80.6684224262663
"2046/2047",2047,120,120,100,45.5244792627868,202.454835877426,81.8906211013632,53.9977413824301,92.5700391868753,1838.58541287173,1672.5,1534.61986069963,1720.5,1663,1458,1647,81.5570446120573
"2047/2048",2048,120,120,100,58.9639552915953,232.610968662623,74.2529816441985,72.9264505122589,99.3196834356626,2125.1961631079,1860,1673.91436903611,1988,1806,1772,1805.5,87.0194632848943
"2048/2049",2049,121,121,100,57.21785260129,250.319560300805,75.8862518051441,73.0773268538494,101.513958231868,1969.01377444045,1677.5,1490.35704961048,1840.5,1620,1630,1618.5,82.9606494239797
"2049/2050",2050,120,120,100,62.5285650421689,256.778215449236,80.8086540682398,81.4988408210804,103.742025312659,1972.10688881145,1588.5,1354.86172728754,1852.5,1484,1801,1484,81.5188998997592
"2050/2051",2051,120,120,100,50.7929891934905,223.900602928546,72.5081951804557,65.1719916851,96.1851869508426,1830.46731802344,1536,1347.85064296617,1695,1457,1503,1425,81.0564907854914
"2051/2052",2052,120,120,100,46.1489060786697,213.591099016803,70.8218454629828,53.7281279810975,88.9843067392853,1912.71211370942,1759.5,1630.59000114359,1768.5,1777.5,1430,1733,82.1847574786379
"2052/2053",2053,121,121,100,47.5763582226893,204.978924328913,71.2982906576332,57.29733120964,92.2336742078737,2001.36858714113,1833.5,1703.33289892985,1863,1812.5,1554,1786.5,83.4091585506822
"2053/2054",2054,120,120,100,46.4185064043382,219.17538324869,66.8728665274618,58.9065363005853,93.0578242479736,2052.28124853774,1867,1739.84092648284,1916.5,1864.5,1594,1845,86.1888159911796
"2054/2055",2055,120,120,100,51.8982894260735,224.016199054733,72.7329532751522,64.2975346322505,96.4559280174239,2026.35669533873,1813.5,1652.91389296586,1888.5,1784.5,1607,1781.5,84.2640624660316
