"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,37.5594596499513,193.201473335474,70.9431733962391,48.5763985817097,90.3472836919869,1796.53027772171,1583.5,1542.19209226981,1646,1588,1269,1561.5,80.451745585023
"2002/2003",2003,120,120,100,48.0141690138096,219.599841942826,80.5314188899083,63.6896579648445,99.1893727739209,1840.48555246558,1593,1421.93137124442,1721.5,1550,1565,1542.5,80.8729998564474
"2003/2004",2004,120,120,100,61.3702692814509,275.814582741336,68.3857510427015,71.6949999224967,96.9357832598507,2122.8858726764,1885,1753.15291785522,1978,1884,1660,1880,87.5783337448661
"2004/2005",2005,121,121,100,48.7888182954649,234.5711156905,63.6483113711135,59.3243878281986,92.5478634055971,1980.53527112869,1806.5,1700.12546161508,1831,1811,1442,1778.5,86.3159690186274
"2005/2006",2006,120,120,100,47.7930122606556,224.33163216624,73.2667069112092,56.9469105676876,92.4830014901381,1914.54863180908,1749,1624.95139391865,1808.5,1726,1511,1718,83.3841021176991
"2006/2007",2007,120,120,100,49.7694226744595,272.775556963484,69.0760680997176,63.0730850430718,96.3107229661531,1907.08756669017,1663,1526.67941834841,1786,1618,1485,1609.5,84.4219200999329
"2007/2008",2008,120,120,100,55.1221031369761,244.708482205462,81.9458890124514,70.7271480925485,100.319669273735,1971.75501571316,1671,1431.51892219211,1852,1572.5,1761,1571,80.1705950410584
"2008/2009",2009,121,121,100,45.2324525651449,246.454807524249,66.7090489689872,53.7862230631693,91.7553598424639,1922.13298939609,1745.5,1619.72473245747,1774.5,1758.5,1427,1718,84.3861865468191
"2009/2010",2010,120,120,100,61.1900917883074,269.102678887026,69.00716858168,70.4344940455227,96.1101588416821,2214.18330002132,2000,1809.60671490614,2053.5,1962.5,1811,1958,88.9721860680854
"2010/2011",2011,120,120,100,58.4422225944262,262.182534457518,71.120992357057,67.309306697528,95.7602850987887,2117.37566955799,1899,1765.07237040604,1988,1900.5,1670,1894,85.8301009074105
