"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,39.295272512959,198.442317828867,71.6598338268082,50.1939953615573,90.9607135923312,1817.48458159316,1602.5,1552.29210860812,1672.5,1600,1331,1574.5,82.0932455631602
"2002/2003",2003,120,120,100,48.397426690927,215.75014543344,81.4468493432576,63.9332975234013,99.5399224736096,1828.45205744858,1584.5,1391.83519262478,1704,1518.5,1568,1510,80.853880560292
"2003/2004",2004,120,120,100,63.4640973527202,274.273648164616,69.1797511349173,72.9825197796331,97.3831285862472,2133.57775865219,1904.5,1753.54664338663,1990,1897.5,1689,1893.5,88.0780674044319
"2004/2005",2005,121,121,100,50.514203553771,235.475458818625,64.288797308235,61.1141153137335,93.2570250341367,2012.11495963199,1830,1720.3284834243,1856,1837.5,1474,1810,87.957591486589
"2005/2006",2006,120,120,100,49.5893577719488,228.727617987535,73.7770219073905,59.5712924340624,93.5206358077278,1941.76873251888,1767,1626.08970970722,1834.5,1745,1545,1739,82.5656566556761
"2006/2007",2007,120,120,100,50.9787273030006,273.584504474787,69.8889194137363,63.2928961197781,96.3801522690566,1915.61204353228,1677,1536.0549381969,1791.5,1628,1492,1622,83.5504549586025
"2007/2008",2008,120,120,100,54.6342821211421,240.382079667645,82.7719732100993,70.6001145706175,100.485408808182,1955.96253254269,1647,1408.12021518121,1836,1559,1742,1557.5,79.6628145864113
"2008/2009",2009,121,121,100,46.3853286516459,249.016195176549,67.2413533184271,55.9336215133267,92.7694079150445,1952.55861495196,1763,1633.57656434645,1813,1771,1464,1738.5,84.8952554804223
"2009/2010",2010,120,120,100,63.5245374654381,272.012333379156,69.6435015466011,72.5766234881449,96.7914079744489,2241.01198881017,2011.5,1816.62766294313,2080.5,1972.5,1873,1968,88.4309685092433
"2010/2011",2011,120,120,100,59.7413971947786,263.235188189929,71.7191815706808,69.8019031499025,96.5559269035416,2135.11250449229,1902.5,1758.46325101068,1999,1893,1696,1890,86.2629921350467
"2011/2012",2012,120,120,100,40.3991552899835,189.605957102072,81.1200372359805,54.3632623863651,95.9106796732638,1686.9125396212,1440.5,1302.9009905679,1566.5,1399,1349,1380,76.7076674745488
"2012/2013",2013,121,121,100,60.7815212093299,268.885583056634,72.7927172838136,72.6265604397863,98.4749044612354,2083.63406075652,1845.5,1676.21896434693,1941.5,1819,1719,1808,87.4220665040707
"2013/2014",2014,120,120,100,28.7206526100882,136.406649774687,85.8037879261711,45.7167135752827,96.2327649710407,1442.7510933418,1210.5,1145.02397853552,1316,1196.5,1057,1186,73.9412691179068
"2014/2015",2015,120,120,100,51.7656704375955,225.8862561126,71.8367229315714,61.2662498400702,93.7456671336979,1978.34847414097,1821.5,1633.27806480745,1873.5,1786.5,1588,1763.5,82.5589972692944
"2015/2016",2016,120,120,100,43.1581212498096,192.012162847306,74.382803056994,56.5081155886236,95.2814693741816,1812.09689272706,1601.5,1477.78327619248,1717,1562.5,1448,1561,82.1200102449902
"2016/2017",2017,121,121,100,41.9220405198161,215.823441784002,70.6493178168413,55.5910982479694,94.388361934647,1807.22609676075,1583.5,1444.8537396615,1669.5,1558,1417,1513.5,81.9198950174186
"2017/2018",2018,120,120,100,47.4105159464394,207.870748914759,80.7994948072872,63.5727416283983,96.9084494845034,1795.18220060517,1532.5,1371.85432249846,1669.5,1488.5,1471,1478.5,79.087215827095
"2018/2019",2019,120,120,100,49.5826991682422,192.317481282205,76.368534211865,64.1316922994699,96.9516252729874,1960.01739433509,1697,1577.51839496742,1798.5,1677.5,1547,1664,83.7513151510971
"2019/2020",2020,120,120,100,45.9618444296272,222.211530944631,65.3598575708031,56.4377242944022,92.3410496459772,1985.88657137545,1828.5,1718.08741355853,1862.5,1845.5,1508,1810.5,86.665297391939
"2020/2021",2021,121,121,100,51.8711842306798,230.003064788592,79.4929069067371,69.7432459058052,101.203105459542,1821.10160751233,1542,1367.10110324223,1700.5,1476.5,1523,1474,82.5269516906533
"2021/2022",2022,120,120,100,44.0638072351696,188.063507962125,75.5822984003983,59.2508231440954,94.6959418248692,1734.48798088852,1471,1265.80421548593,1574,1448.5,1399,1380.5,75.2781890621563
"2022/2023",2023,120,120,100,55.8622605165211,223.422947423649,71.5529047259252,69.7135467083246,97.6673530933751,2164.78873894978,1966,1749.81223731882,2046,1905,1818,1902,87.8653686335037
"2023/2024",2024,120,120,100,51.572937924516,254.903006457619,62.8194453860773,60.0822563748728,91.7964215715265,2088.53477793158,1926,1771.65010158928,1939.5,1927,1607,1886.5,85.1003356327624
"2024/2025",2025,121,121,100,54.1255479083174,242.952017315979,73.9014612313643,68.784858747214,98.428644857588,2093.0221281149,1826.5,1675.27873532768,1956.5,1787.5,1731,1782.5,84.2383837134535
"2025/2026",2026,120,120,100,36.1262030915754,186.698127934824,91.8124026633019,52.2643468980111,98.4707813469282,1479.29775405444,1179.5,1024.69695232916,1371,1113.5,1250,1109,73.9878395614965
"2026/2027",2027,120,120,100,48.2659747377012,244.278999805405,66.6136162058957,61.5053089932822,94.7948689607819,2013.63801848053,1824,1697.8392621225,1878.5,1806.5,1530,1793.5,85.8228542044003
"2027/2028",2028,120,120,100,54.6815634111339,206.151680322521,84.8891157097792,73.513144876426,102.324401613809,1934.97816693404,1599,1371.20131529351,1791,1516,1719,1516,79.8513705951937
