"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,42.7744523903701,202.112024760951,71.4775071458154,53.4029274515541,91.5633912670318,1864.51088576079,1643.5,1586.9122940033,1716,1648,1395,1625.5,81.3734443802518
"2002/2003",2003,120,120,100,50.1975433765421,215.402144567921,81.3874149796339,67.6164663175098,100.387907189002,1865.61165399523,1596.5,1411.36922858909,1745.5,1546,1617,1540.5,79.9662917982762
"2003/2004",2004,120,120,100,58.871385308895,259.67343639669,69.6039437077776,69.763395325705,96.9997560350906,2108.66699866599,1856.5,1743.23895590598,1951,1872,1656,1866.5,87.3623167615257
"2004/2005",2005,121,121,100,46.127561302494,213.886881314119,65.0488267569845,57.3752820033385,92.4475661413288,1933.10730837748,1759.5,1664.35905395876,1783,1766.5,1398,1728.5,86.1931798403102
"2005/2006",2006,120,120,100,49.5726999757371,220.732408608364,74.3238245152478,58.4094801478226,92.7463182471972,1961.54226395407,1792.5,1676.07686899897,1841,1776.5,1543,1769.5,83.1009015584724
"2006/2007",2007,120,120,100,49.8727278908323,261.946664008666,70.2214593893868,63.1473707604294,96.5129982735772,1908.04857717112,1664.5,1528.52960919356,1793.5,1618,1486,1611,83.1395073081603
"2007/2008",2008,120,120,100,56.4601578223409,233.232958832424,83.0849187082664,70.7580113137769,99.9739006772093,1979.54344957987,1695,1454.13345524302,1861,1612.5,1765,1611,79.9111584266973
"2008/2009",2009,121,121,100,48.5668596346498,241.928923723076,67.7973301215483,57.1709573731859,92.4765373475132,1945.18527970244,1757.5,1628.28992159099,1796,1772,1462,1732.5,83.3964667990958
"2009/2010",2010,120,120,100,60.1568375074879,254.373116652441,70.1748853127987,70.5425167820253,96.3982789761317,2205.31492080383,1969,1799.28294961298,2028,1951.5,1759,1944,86.8968814445952
"2010/2011",2011,120,120,100,58.3977518280994,250.343284886542,72.5048929109361,66.923232697343,95.4463360972994,2118.65598121984,1926,1777.14167020062,1984.5,1906,1697,1901,84.5373720404907
"2011/2012",2012,120,120,100,41.1146312614779,180.399000692479,81.0129438217831,55.9009856029827,96.4787338874468,1708.74934601756,1462,1321.03335737921,1585.5,1428.5,1348,1411.5,77.3126670939121
"2012/2013",2013,121,121,100,57.2532704268531,256.438792943832,73.455869035406,69.1922352446875,97.7545996011661,2071.12100757494,1857.5,1700.04101934171,1938,1841.5,1689,1833,86.2031595744606
"2013/2014",2014,120,120,100,31.5367459722642,140.694307125938,86.2644431868156,49.1471792135587,96.544672421458,1455.99383711672,1206.5,1146.22825460188,1337,1194,1072,1184.5,74.2298328053232
"2014/2015",2015,120,120,100,50.9942585124299,216.260205086156,71.9066174625032,61.6094981815795,94.3928806474576,1977.59114976265,1788.5,1621.00152763624,1851,1765.5,1597,1744.5,82.1426863020106
"2015/2016",2016,120,120,100,43.8893706834647,186.248172100925,74.7797267307409,56.6668379120391,95.0535574666545,1813.63572377356,1609,1467.71427201344,1720.5,1559.5,1454,1555,81.4323942314659
