"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,36.0701925421347,159.48674171973,67.1193564514031,43.7211155503474,87.2598248024526,1837.15763648999,1692.5,1648.20004174654,1681.5,1710,1202,1672.5,82.4789436301102
"2002/2003",2003,120,120,100,47.4833491368906,197.084561343787,76.5664795615915,61.2857582188745,96.868706204778,1933.32237525647,1718,1573.60631786131,1792.5,1700.5,1529,1686.5,84.100877826775
"2003/2004",2004,120,120,100,56.8550072417852,245.541994869726,65.0038908004737,63.1951130066589,92.5640736943335,2174.72365410581,1975.5,1937.59824157925,2015.5,2020,1598,2012,88.7884272829881
"2004/2005",2005,121,121,100,48.5850063669498,211.107172847731,60.5168726894637,54.6248875909788,87.9158906994835,1950.91180432634,1836,1763.16887540925,1815.5,1849.5,1351,1798.5,85.6099057651697
"2005/2006",2006,120,120,100,45.2976573818486,190.38327140621,69.2106864623926,51.531056472327,89.8278318596338,1944.91381929663,1857.5,1767.89146450952,1835.5,1850.5,1450,1841.5,83.8464055356872
"2006/2007",2007,120,120,100,46.4639495302368,247.347705534649,65.6619568441374,56.3905420115277,92.5437093922022,2004.74876881342,1839,1724.77143603843,1896,1802,1514,1790.5,84.0975926011293
"2007/2008",2008,120,120,100,53.8989722879188,218.788251163171,77.4911797126889,66.4460765591824,97.7426272156798,2106.6278130858,1901.5,1682.47827982084,1989.5,1850.5,1787,1845.5,84.3075488411221
"2008/2009",2009,121,121,100,40.1066920418121,204.0628864394,63.2743758959954,48.2997227484245,88.4974295464849,1905.02964816024,1746,1691.14947740239,1741.5,1790.5,1327,1736.5,82.9390024639908
"2009/2010",2010,120,120,100,54.2138005587453,227.077881539651,65.3721830823707,60.8063194247857,91.7879640485794,2230.28718684243,2094,1990.85986936234,2080.5,2140,1633,2129.5,88.9587753031597
"2010/2011",2011,120,120,100,54.1884756255218,221.403127009968,67.2944756962852,60.6568725223107,92.0901628947308,2169.9180090706,2034.5,1952.94717349725,2043.5,2045,1650,2037.5,87.505321971521
"2011/2012",2012,120,120,100,39.4360307933685,168.81925856298,75.9072995813993,52.5130671660719,93.4048487919834,1769.49742411148,1545.5,1426.82070031176,1639,1530.5,1314,1503,78.5008770867719
"2012/2013",2013,121,121,100,57.4753203478484,247.55724519703,68.3137078315126,63.944434747905,93.9774009489221,2149.0683161238,1990,1890.96236279215,2000,2014.5,1627,2001,89.3070816643328
"2013/2014",2014,120,120,100,32.735206408258,143.41272175186,80.2972170014502,50.4628745776854,95.4310412439906,1564.90245698728,1339.5,1263.19103597722,1458.5,1313,1127,1300,77.0269089074718
"2014/2015",2015,120,120,100,45.1281165547199,188.927021899362,67.2855030979389,52.258962390635,89.8236281211687,1995.10099693983,1868.5,1791.95321302389,1849,1901.5,1452,1874,85.5918047524779
"2015/2016",2016,120,120,100,39.6802999458694,168.722423017494,69.8161600911721,53.3579813330889,92.5207934993404,1836.64215691906,1712,1590.8380695728,1752.5,1660.5,1389,1648.5,83.2651957330168
"2016/2017",2017,121,121,100,39.0188253394996,188.753444784562,66.380499743505,50.4892815506286,91.0461300540466,1863.98207053946,1672.5,1561.24262558531,1704,1678.5,1370,1612.5,81.6183773404646
"2017/2018",2018,120,120,100,49.1220673604986,195.911539363543,75.7236242446187,60.8784990741119,93.9715459653637,1913.18190374407,1706.5,1570.52989574238,1781,1692.5,1478,1677,81.302315041462
"2018/2019",2019,120,120,100,48.3758602935863,173.98978681108,71.4232602772227,58.676258806994,93.210300736683,2017.5674672526,1813,1747.63206647738,1852.5,1815.5,1448,1799,85.8205981633
"2019/2020",2020,120,120,100,38.5420991833913,172.34352277065,61.4840304284749,46.9429602995918,87.4831363620095,1913.48361925256,1791.5,1768.84283303818,1737.5,1835,1259,1786,85.6400990481529
"2020/2021",2021,121,121,100,55.1108310252155,232.783423627694,74.6859913823725,67.4145447053181,97.8109346414564,1956.47459286003,1737.5,1574.67603427616,1837.5,1693.5,1588,1685.5,84.4894248864084
"2021/2022",2022,120,120,100,45.5944831359177,179.703742845245,70.5672102055659,58.0520348749368,91.9271921165332,1837.10149184804,1605.5,1443.06238461733,1666.5,1622,1451,1539,77.2761400649451
"2022/2023",2023,120,120,100,55.4804850939497,194.67342610019,66.9598887103539,63.950441627766,92.7774962344858,2217.87129864513,2108.5,1967.80023329712,2080,2088.5,1718,2083,88.7812890199834
"2023/2024",2024,120,120,100,44.813518615146,216.052868553099,58.9615113268346,49.9957712412611,86.3697884121459,2059.87842562384,1952.5,1881.4456333315,1895.5,1994.5,1450,1932,86.5291917034592
"2024/2025",2025,121,121,100,50.6321897026644,206.074344061184,69.4127861419007,61.2637970270513,94.0481125384362,2137.40625654516,1966.5,1837.9229805507,1975.5,1920.5,1624,1911.5,87.1465415471816
"2025/2026",2026,120,120,100,36.3498046853078,172.767271819326,86.188211776565,53.3034167235797,97.3138642799606,1641.01328740969,1349.5,1204.10147886425,1508.5,1288.5,1334,1282.5,75.5883700994841
"2026/2027",2027,120,120,100,46.2077608148265,212.346685353289,62.6010725662397,55.628184511779,90.047964040319,2007.98536844303,1870.5,1822.22617687167,1846.5,1909.5,1390,1884,87.9559350426453
"2027/2028",2028,120,120,100,58.2616428657492,199.857391934931,79.4987635162911,73.2769604902309,99.2714559909674,2108.11990963531,1843,1627.99462356767,1990,1785.5,1773,1784,84.8674907429481
"2028/2029",2029,121,121,100,49.1681361988791,232.167290148835,67.0989592201888,58.750731270408,92.4638896803971,1935.35683240918,1791,1614.02494895417,1814.5,1747,1499,1716.5,82.5164766764906
"2029/2030",2030,120,120,100,44.4011160714713,193.767445555492,71.3502612414257,55.6675861927306,92.802312128062,1925.2010678628,1696.5,1600.66534087691,1778,1698.5,1472,1666.5,82.768063186792
"2030/2031",2031,120,120,100,53.501251652681,243.801821077166,68.0296514624097,62.0815495252491,92.8536271893679,1983.24076714048,1789.5,1705.82676126489,1835.5,1798,1519,1773,85.8725626359228
"2031/2032",2032,120,120,100,46.360016759264,224.188250095879,62.3167950977124,53.3644630547608,89.3600104339451,1996.58644248908,1878.5,1837.53639887018,1849,1902.5,1380,1885.5,88.0121972697134
"2032/2033",2033,121,121,100,51.0730565010781,200.978580358933,77.9562107103384,65.4013162542602,98.7817742181861,1969.94954747403,1739.5,1588.19350998768,1838,1721.5,1533,1721.5,84.3285099152336
"2033/2034",2034,120,120,100,47.2692967867191,215.199820157415,73.8860871825451,59.6975453049348,94.1524635201635,1887.43798199746,1680.5,1503.68574968064,1763,1652,1532,1618.5,79.2848798453324
"2034/2035",2035,120,120,100,45.3920006575956,182.834382637794,72.5855681174804,57.1579157034984,92.5327757269096,1888.68755211217,1686.5,1518.29213171344,1718.5,1660,1494,1604.5,79.3200862838457
"2035/2036",2036,120,120,100,44.7459770521643,192.270737396381,70.4914333305737,53.319953643524,91.0528576206253,1966.17384898259,1804,1751.13732695072,1822.5,1812,1417,1799,86.7269285189868
"2036/2037",2037,121,121,100,52.0020802536912,212.023440922981,75.8992388524644,67.3729301899973,98.3955543708543,2012.88037909979,1759,1594.22107250062,1877,1702,1630,1686.5,85.0138085477665
"2037/2038",2038,120,120,100,46.0461206744819,187.300626998002,68.1650165886134,54.9461586359956,90.957902849295,1966.19116492917,1864.5,1735.41461000051,1858.5,1836.5,1464,1820,83.2729615216003
"2038/2039",2039,120,120,100,36.3269160500033,164.028585259526,60.2582586807699,42.6100133444352,85.7331766673107,1980.64388204682,1947,1926.7795259928,1889,1972.5,1300,1949.5,87.923048238883
"2039/2040",2040,120,120,100,54.2425809164355,219.944591276056,64.7200555119484,60.8326415876274,91.2292759497672,2134.49102585315,1974.5,1867.82947241901,1966.5,2005,1578,1976,86.8207068895308
