"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,37.9223877296018,175.03068920963,69.545221254651,47.5455261889403,89.0121779060579,1791.33746943661,1601.5,1556.16546919157,1634,1607.5,1244,1573.5,81.0464615663621
"2002/2003",2003,120,120,100,47.6400633070637,208.548994631679,78.8182708106222,63.2189175571316,98.6104419956821,1898.48164484954,1656,1507.79515635955,1773,1629,1569,1622.5,82.7012234030445
"2003/2004",2004,120,120,100,58.021511471209,255.362508140671,67.2625536098336,66.632158133554,94.6167888289721,2129.26459346872,1906.5,1825.45412125445,1962.5,1940.5,1599,1934,89.1823865740927
"2004/2005",2005,121,121,100,46.5445636763999,213.995041602222,62.5905881953169,56.1051225610658,90.3630866789754,1969.72462777818,1811,1744.46048509021,1820,1833.5,1387,1793,86.1413527624734
"2005/2006",2006,120,120,100,46.6896646114699,207.346157631611,71.8203757952492,54.4273514140711,91.345213551178,1938.34018282258,1816,1704.18016862874,1834.5,1797,1515,1789,83.0205798395004
"2006/2007",2007,120,120,100,46.8060801548536,254.020144034359,68.0363046606,59.0001423925504,94.3308765978717,1913.81486425518,1717.5,1577.16523538854,1807.5,1666,1476,1656,82.155320684353
"2007/2008",2008,120,120,100,53.6844014299714,222.537961635594,80.4322026990214,66.5689598185656,98.5796005681879,2022.80474451146,1785,1551.20592251942,1913.5,1717,1754,1715.5,82.8967580862262
"2008/2009",2009,121,121,100,44.1944180478576,227.755782472698,65.3801809861991,52.3587585884371,90.4267184427654,1958.02509928638,1809.5,1694.75575566101,1811,1822,1408,1779.5,85.1062635638982
"2009/2010",2010,120,120,100,58.0884432460098,245.577563086024,67.6904969751104,66.1140180583433,94.2638548960135,2255.80715526517,2086.5,1927.02446619318,2086,2095,1753,2088.5,88.7358055327716
"2010/2011",2011,120,120,100,54.4012074435766,236.714731452848,69.8683521582859,62.7501762987529,93.6478648256462,2120.44373160847,1955.5,1844.68005447618,2001.5,1948,1626,1942.5,85.5921702466599
"2011/2012",2012,120,120,100,40.4883437863108,175.137161079474,78.5888079423384,53.7290207259204,94.5643403132855,1729.32419305389,1481,1364.90496188161,1590.5,1467.5,1339,1441.5,77.0305893752932
"2012/2013",2013,121,121,100,55.7419781234002,249.734095541612,70.932760750658,66.358402061217,95.8796069264546,2086.10850137485,1898,1760.35794619021,1947,1886,1652,1876,86.838823625686
"2013/2014",2014,120,120,100,29.5570626166771,134.746818739214,83.4587542832171,47.347641974878,95.3724650179095,1437.64058499761,1235.5,1140.62708080387,1347,1189,1050,1172.5,73.3241550581533
"2014/2015",2015,120,120,100,48.4749770225098,199.914226556847,69.7955307846075,57.4400504252524,91.7081634872928,1960.51467283217,1820.5,1656.42795111737,1845.5,1817,1535,1784.5,81.7406095544147
"2015/2016",2016,120,120,100,41.8936575440961,181.985853192926,72.239312132402,55.3406875450893,93.7554428906249,1827.29320879158,1674,1516.8880941045,1736.5,1614.5,1457,1603,79.8237749416917
"2016/2017",2017,121,121,100,41.6846648904408,204.86993615982,68.6551086108562,54.3496499990696,92.5599720578299,1818.74153317721,1616.5,1471.48439612254,1676.5,1594.5,1390,1529.5,78.7570366582045
"2017/2018",2018,120,120,100,47.7371796412914,195.173019861103,78.5847469473039,62.0743570705775,95.0666483274861,1815.75854111108,1576.5,1427.96554860499,1675.5,1554,1446,1539,78.5432533933531
"2018/2019",2019,120,120,100,48.3778768485336,181.383695260525,74.1377049514841,61.1221736612307,94.9666980495178,1952.23070491163,1712.5,1616.96885350497,1812,1690.5,1500,1674,83.6783713455034
"2019/2020",2020,120,120,100,43.7490142845961,197.602368731494,63.5140383070411,53.2009047999731,90.1022528554637,1962.57941439675,1808.5,1738.76695812169,1805,1840.5,1424,1796,84.3624049374712
"2020/2021",2021,121,121,100,52.445063598942,224.38340142415,77.234186698019,68.660404068951,99.5539112639345,1866.39041022611,1597.5,1446.57452513248,1738,1557.5,1513,1554,82.97887859408
