"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,33.6789974030015,142.511413279293,64.6986264251631,40.6784705709506,84.6027099893615,1705.32337205799,1584.5,1527.50762969889,1558.5,1602,1086,1543,78.5572816098941
"2002/2003",2003,120,120,100,45.0939456512391,191.726396206833,73.2655487671395,58.0250876018848,95.0968520494868,1952.13622688136,1743,1657.81116380111,1778.5,1751,1445,1735,85.5603353029239
"2003/2004",2004,120,120,100,49.824292092039,226.10640638438,62.4746566728781,55.1070318159535,89.4853552543589,2082.17774697261,1936,1928.43258341612,1934,1977,1454,1960.5,88.1056961149368
"2004/2005",2005,121,121,100,41.7540028229691,187.817525975761,58.2793295011943,46.9988977167219,84.8323776724901,1849.29475644796,1735.5,1705.15125199499,1704.5,1789,1202,1720.5,82.6882397465254
"2005/2006",2006,120,120,100,38.7969324193796,164.527304312896,66.97431294786,44.1598765357123,86.6680438601567,1841.71955685955,1797,1735.05065303883,1728,1813.5,1244,1798,82.3007374217681
"2006/2007",2007,120,120,100,42.285866341914,231.551732718077,63.2159559278205,52.1792351278353,90.0430446127035,1911.29450001962,1794,1646.38827114784,1831.5,1745.5,1445,1718.5,83.1349831796666
"2007/2008",2008,120,120,100,50.0370158639205,198.932035902157,74.6666203415835,60.4396545799972,94.8888317742759,2086.3348502756,1923,1759.56191262403,1955.5,1911,1668,1903,86.3407099525483
"2008/2009",2009,121,121,100,35.063015806027,185.133620136983,60.9051085477205,41.8408724737356,85.3610923539153,1849.31355461723,1712,1689.40136644067,1667,1782,1211,1702.5,83.1652945691565
"2009/2010",2010,120,120,100,47.7933575212442,201.237498234439,62.9364744419615,52.9540881395568,88.882593897449,2159.45220760032,2059.5,2015.74175398874,2016.5,2121.5,1486,2100.5,89.8568697467936
"2010/2011",2011,120,120,100,44.2951449163274,193.500123123197,64.971810126826,50.2790609813872,88.6598509462839,2038.13328201449,1935,1918.73306132657,1904.5,1965.5,1414,1953,85.6263215101972
"2011/2012",2012,120,120,100,38.4561748107187,155.016055572386,73.0592439761705,49.9269138508338,90.9763301608991,1752.56813976806,1546,1447.15878337935,1592,1554,1258,1505.5,79.2348250669463
"2012/2013",2013,121,121,100,49.8559225760986,223.116761324159,66.0172406402787,55.8576463646941,90.7628037752706,2031.23921920275,1909.5,1851.00195844592,1884,1942.5,1432,1923.5,89.1610002944701
"2013/2014",2014,120,120,100,33.1268212778312,142.738251527645,77.7267218459663,50.1301583415452,93.1046925583111,1479.39841684389,1288,1164.76981482521,1402,1239.5,1095,1206.5,72.0335786131561
"2014/2015",2015,120,120,100,41.3174240383409,167.952758782921,64.8817495174145,48.3723639513464,87.0882017265574,1889.58114272498,1758,1697.69092011441,1710.5,1818,1301,1757.5,81.5284581167355
"2015/2016",2016,120,120,100,38.4997008552204,160.534653938566,67.2872054656872,50.5606193809618,90.0977392968365,1794.88346104926,1691.5,1530.98610524767,1700,1646,1332,1602.5,79.6433309880429
"2016/2017",2017,121,121,100,38.3632554940153,182.206677731236,63.8013443841548,48.4494120266744,88.4674639046804,1815.45411142966,1637,1515.99887715382,1619.5,1665.5,1276,1571,78.8037196048085
"2017/2018",2018,120,120,100,47.5774504400902,183.866028267832,73.1168013903242,57.3499871608788,91.1702645647369,1840.08716736409,1663,1529.71963400945,1720,1643.5,1389,1603.5,79.0814716478612
"2018/2019",2019,120,120,100,46.0968885776105,165.902402487232,68.8196715991966,55.0908019232432,90.646680621615,1933.12787041481,1784.5,1685.60214714563,1806,1772.5,1377,1746.5,84.3503624608443
"2019/2020",2020,120,120,100,36.9895831769569,163.291454742433,59.0934637622711,44.4717133918066,84.893141522019,1848.50168764137,1727.5,1702.37519785523,1645.5,1798,1174,1717,83.2488196836753
"2020/2021",2021,121,121,100,54.2702166293377,226.023265456559,71.932094312778,64.8003364121681,95.2019149559133,1919.18826833639,1710.5,1582.18118271415,1802,1674,1494,1658.5,83.1898810452967
"2021/2022",2022,120,120,100,40.869964522939,165.881111234509,68.6082207069773,52.3584714812774,88.8444042565798,1732.17228180212,1500,1320.9406935751,1514,1535,1354,1399.5,73.0106934378186
"2022/2023",2023,120,120,100,47.9074087718306,165.103896053722,64.635170273144,55.5506294634686,89.5484104455115,2057.26041628897,1960,1894.53994302433,1920.5,1986.5,1445,1970.5,87.0551567899056
"2023/2024",2024,120,120,100,40.4922932415768,189.453701070567,56.7834004356201,44.9325616605662,83.191170794878,1917.70013554266,1843,1765.97423702252,1764,1881.5,1286,1798,83.1255884821762
"2024/2025",2025,121,121,100,48.7025626336633,197.407684055709,66.5636537501826,56.0952920005824,91.2354395374591,2108.39276047431,1985,1908.32065537433,1964,1985,1528,1974.5,88.266089860892
"2025/2026",2026,120,120,100,40.3311751777914,173.564124197305,82.7071999904202,56.3176516358174,96.2136202425056,1697.83791739971,1438,1268.11523463538,1580,1385,1407,1367,75.5649966633723
"2026/2027",2027,120,120,100,42.9313552605174,199.036911231095,60.2110369457983,49.6623907897719,86.9969324316428,1895.29905368977,1833.5,1751.6515966231,1778.5,1831.5,1298,1801,83.8961622287175
"2027/2028",2028,120,120,100,52.3994847346504,186.846698063688,76.5569103130963,65.5135938479181,96.4200999943709,2067.1058182369,1813.5,1695.14430644702,1939.5,1807.5,1640,1803,84.3985777712742
"2028/2029",2029,121,121,100,45.5816287406271,206.257779673611,64.8350111620934,54.612451466165,89.6348243967886,1849.12195799516,1710.5,1536.10963976944,1711.5,1696,1381,1627,79.4374407426026
"2029/2030",2030,120,120,100,42.519178950848,183.284339376491,68.4736877097731,52.8800386792715,90.4647733578209,1872.23136770914,1674.5,1587.15903832674,1736.5,1667.5,1418,1631.5,82.9465685732489
"2030/2031",2031,120,120,100,49.1439079336171,229.667625889965,65.3641941187099,55.319744709597,89.9424819359777,1925.55150596217,1792,1717.17052573122,1772,1807.5,1358,1779,84.6443854870226
"2031/2032",2032,120,120,100,41.787712181118,205.496289970131,60.018201496437,47.5853604282789,86.5499134159684,1889.16394026073,1789.5,1753.68899813858,1749.5,1812.5,1275,1776,84.7152146255335
"2032/2033",2033,121,121,100,49.5007836382296,198.644721637526,75.0802651139189,61.8096457610032,96.0454562749078,1976.31131900557,1761,1667.63264024915,1847.5,1763,1509,1761,86.7461435744767
"2033/2034",2034,120,120,100,43.3404413714676,196.988906320163,71.6093282042349,54.9823344927616,91.2383909184028,1796.25104500912,1601,1428.68490405893,1653.5,1580.5,1403,1517,78.9389886022682
"2034/2035",2035,120,120,100,41.8113038616934,160.421256034217,70.0907738805748,52.6802974081879,89.8608138058785,1794.4657462984,1588,1434.17581940942,1603,1589,1348,1506.5,77.9622996350745
"2035/2036",2036,120,120,100,40.9126170076528,170.068890973858,67.9484174411428,48.3777878209298,88.240988675542,1847.92738446491,1725.5,1681.45241092139,1718,1730.5,1263,1703.5,83.626236131181
"2036/2037",2037,121,121,100,48.7749671008142,199.918762291452,73.320532235313,62.0751049999032,95.6391499486585,1965.65877421582,1758,1597.38395661107,1822,1725.5,1551,1698,84.2980810554918
"2037/2038",2038,120,120,100,39.3640131330182,165.412040751964,66.0304770793403,47.504883436194,87.5934124913294,1831.20418513157,1771.5,1653.71961467379,1717,1759,1275,1719.5,80.250109024716
"2038/2039",2039,120,120,100,31.8988677312086,140.698113381164,57.9101303958039,37.5274303867029,82.7099578669606,1838.99288662345,1829,1827.41564660007,1745.5,1861.5,1109,1823.5,86.7647068286624
"2039/2040",2040,120,120,100,51.4299114543402,207.306808881851,62.4044261764504,57.3676698938275,88.2165366744513,2020.50680795507,1873,1776.27002363864,1855.5,1922.5,1479,1861,83.4051272577408
"2040/2041",2041,121,121,100,47.1154025928427,193.867382008336,63.156625421202,53.2341686287418,88.8824055561086,2068.80792264454,1974.5,1906.50927656814,1914.5,1997.5,1433,1970.5,88.7130445410294
"2041/2042",2042,120,120,100,27.3064188772402,99.4841048792727,64.6110710678848,31.8468180459081,80.1895958705668,1643.77490494847,1610,1665.87912128615,1505,1676,875,1610.5,79.6417287382001
"2042/2043",2043,120,120,100,52.7198167478877,224.659918493743,72.1139622700701,66.7224232312256,97.0938961820547,2072.62126135801,1824,1645.99665642995,1930.5,1753,1700,1745,85.690231749888
"2043/2044",2044,120,120,100,41.4327718080194,187.712660898224,62.2508417474599,47.3588300810742,87.4929980423375,1997.34780164241,1916.5,1893.50721920534,1851.5,1968.5,1333,1942.5,85.8431971591463
"2044/2045",2045,121,121,100,46.8153994184929,184.821750462393,77.9626813269585,56.0799399207002,94.1321631147407,1873.49787778212,1696,1598.36775700537,1735.5,1683.5,1416,1671,81.2910174483504
"2045/2046",2046,120,120,100,42.0374288984162,189.918473520226,67.1279954259173,53.3317363991087,90.051075822612,1840.17161514307,1611,1492.22188186764,1637.5,1660.5,1398,1575.5,78.8808961148598
