"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,31.9757615706409,152.972230688129,60.579264679635,38.2984151584573,81.7897241312333,1616.91446728441,1556.5,1458.12547329053,1504.5,1558.5,1065,1471,75.3773512476304
"2002/2003",2003,120,120,100,43.895749329388,207.054465218856,68.6942653532107,55.3273354229512,92.8902849430022,1913.30105230699,1719.5,1669.08584880631,1751.5,1744,1360,1722,86.7345105657347
"2003/2004",2004,120,120,100,41.9826204089985,220.594156954365,58.6169509011775,47.918537861222,86.5145899203728,1960.58758223402,1878,1838.31101187608,1833.5,1907,1332,1876,86.9869697068203
"2004/2005",2005,121,121,100,33.8312408049784,174.704833978175,55.0578701612473,39.9612077619168,81.2414983487647,1643.6890367377,1550.5,1453.84386814619,1470,1588.5,1028,1453,76.3351631473122
"2005/2006",2006,120,120,100,31.5772040592981,148.807811574397,63.3605666479476,35.8416193246327,82.6790984818312,1670.15901397309,1634,1606.04611143563,1547.5,1685.5,1037,1636,77.2707951255447
"2006/2007",2007,120,120,100,44.3026607626746,245.456636599952,59.128526795672,52.0936876228049,87.4938155616845,1867.26851427187,1749,1588.15977427366,1765,1713,1392,1660,81.6565770774789
"2007/2008",2008,120,120,100,49.5413080369585,213.318611596586,70.2816916947352,56.3404538392088,91.7670424350192,2055.78568309293,1956.5,1812.49698069573,1942,1944.5,1588,1935.5,87.3422915337151
"2008/2009",2009,121,121,100,29.3535097068234,181.10472844012,57.7088215091307,35.4137979320819,81.7000935246921,1661.31264059354,1523,1466.81856280795,1461.5,1605.5,1024,1461,74.8935029478735
"2009/2010",2010,120,120,100,41.0283967656789,199.3050046069,59.5002566585967,46.3030015936739,85.4179008342826,1932.39344474378,1874.5,1813.42266890173,1831.5,1894,1327,1845.5,83.8567022149743
"2010/2011",2011,120,120,100,34.3363709079262,181.204099921982,61.6565140641784,39.3498768760478,84.7659266542658,1865.303271293,1790.5,1802.70573970465,1733.5,1844,1180,1813,84.4018786687955
"2011/2012",2012,120,120,100,37.9092600335276,157.106272235237,68.9682411277688,47.5080997757905,88.3088028877216,1667.60378170292,1492,1369.93495940374,1506,1515.5,1206,1424,74.9858637210596
"2012/2013",2013,121,121,100,40.4985169020756,208.985765842616,62.2790554150326,46.1485377698799,86.9884140436485,1857.44428901256,1769.5,1768.07904558919,1733.5,1817.5,1217,1781,87.2322834651268
"2013/2014",2014,120,120,100,38.5569914642087,168.464637340748,73.5370498445036,50.8009422527471,89.9409570701619,1488.71693018766,1321.5,1182.25060400302,1402.5,1267,1094,1216.5,70.4902441626032
"2014/2015",2015,120,120,100,36.2147561239812,165.939860272454,60.8851313420306,42.7803069664879,84.3639756080451,1781.86241860553,1682.5,1614.09516164674,1617,1736,1178,1642,79.3503974893226
"2015/2016",2016,120,120,100,35.6881493692015,173.177283549243,63.4750921918028,46.148735249685,86.5543810162192,1680.88054184115,1584.5,1409.0209869542,1577,1562.5,1243,1480,73.5582004169589
"2016/2017",2017,121,121,100,38.1580292800675,198.877832222661,59.6119260219354,46.7567890773926,86.0139721693284,1771.2225426937,1611,1491.25199144991,1557,1655.5,1227,1534,77.6228281347874
"2017/2018",2018,120,120,100,45.3231376919475,194.526282065032,69.0843643357784,53.7968983310467,88.1313961687386,1752.8602007943,1593.5,1455.05230144471,1627,1587.5,1289,1524,77.8545830306471
"2018/2019",2019,120,120,100,41.9340220388565,174.544002225409,64.6497631963918,51.3873529420404,88.3717666598904,1825.30044809687,1702.5,1613.50642795249,1708.5,1682.5,1249,1640.5,82.3491008464107
"2019/2020",2020,120,120,100,34.9793531116989,162.861418580778,55.6073685726534,40.4064667591228,81.5870853394439,1687.19557168923,1593.5,1539.95872032656,1517.5,1639.5,1083,1522,78.1960219380539
"2020/2021",2021,121,121,100,49.1626540862359,218.135483209214,67.4263263005179,58.762458502814,92.5626600958064,1793.56124134183,1613,1520.70866061226,1662.5,1602,1288,1558,82.2719857552343
"2021/2022",2022,120,120,100,31.8218389402958,153.752897902208,64.908111501569,42.5146428286329,85.0787253484154,1593.01376130046,1378.5,1252.12985284243,1342,1467.5,1118,1305.5,70.0004047373964
"2022/2023",2023,120,120,100,40.2367570667523,156.360047681993,61.0248986632365,46.3005875968449,85.8841339368236,1873.64312727439,1786.5,1771.72014878464,1731,1852,1193,1802.5,84.3384976854354
"2023/2024",2024,120,120,100,37.2177141875494,191.356762904916,53.1355517573057,38.7593646006959,79.7940629350506,1811.9772032011,1752,1667.7611977037,1631,1821,1151,1699.5,79.0381517415308
"2024/2025",2025,121,121,100,46.2591000365595,198.273443897296,62.6348627282157,50.0537315098767,87.9068084942474,2012.18355190828,1933.5,1875.27178178006,1880,1952.5,1380,1923,86.7760789772319
"2025/2026",2026,120,120,100,44.2955695510999,201.439070585555,77.1001066030468,59.0834434897327,96.065147747082,1781.4392431814,1554.5,1346.38465505974,1662.5,1521.5,1439,1494.5,78.5694689599591
"2026/2027",2027,120,120,100,38.0619855088317,199.212570490767,56.4934708265656,43.1173906070931,83.6494796671079,1781.8785186485,1742.5,1662.33573109087,1664.5,1751.5,1150,1694,81.0491002311792
"2027/2028",2028,120,120,100,42.3207274276131,175.207911446642,72.7997128275428,54.7239883637397,92.9999201562309,1879.73396626899,1662,1597.13842170487,1746,1660.5,1391,1642,81.7305486084038
"2028/2029",2029,121,121,100,40.4212193101087,204.237370966978,61.0493492134571,49.7008209602598,86.4225569121315,1704.07370706533,1535,1391.45311263997,1518.5,1574.5,1196,1438.5,76.2948044240002
"2029/2030",2030,120,120,100,41.5267888925237,191.757403135003,63.9873966932123,49.6242914209865,88.2112778736363,1869.17035163466,1712,1623.47713585338,1728,1731.5,1322,1681.5,81.8102169425511
"2030/2031",2031,120,120,100,42.4221287311272,239.341438667147,61.2974316773865,47.1873311836211,86.7066910126886,1840.37908479274,1738.5,1692.9399774894,1707,1782,1227,1742.5,84.7782237580827
"2031/2032",2032,120,120,100,36.2087824187506,195.637191599524,56.4284533341722,42.1479884469112,83.3848413833132,1695.52446392518,1630,1558.23867797059,1567.5,1625,1094,1557.5,79.4513575175515
"2032/2033",2033,121,121,100,45.6638837808328,200.352758722024,70.7556712970897,56.0393381031866,93.1689669678407,1893.24562509361,1715,1654.36377192112,1764.5,1708.5,1408,1693.5,83.7416173813226
"2033/2034",2034,120,120,100,42.6859769568818,203.044097064571,67.5959678481911,52.35564647292,88.2503347097534,1753.74867796105,1550,1381.4518428961,1563,1576,1312,1470,74.5641790204586
