"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,42.6378686805179,199.898827274083,81.8234127719436,55.3222884605426,95.2794438842258,1741.0515754788,1516.5,1425.3664556462,1613,1508,1344,1500,78.309113987123
"2002/2003",2003,120,120,100,47.1869790333324,191.159527705118,92.6012105771539,64.1916405749575,101.843269842143,1624.97676837347,1338,1094.44518862936,1518,1251,1468,1249.5,74.4240182914801
"2003/2004",2004,120,120,100,59.5677813613941,253.072118698767,78.7860482489212,79.1435062375727,103.301490628203,1976.27604106183,1660.5,1437.67873101719,1832,1591.5,1743,1591.5,82.5365350943516
"2004/2005",2005,121,121,100,47.7978708154179,233.169824945557,73.3841140725229,65.5299284214018,99.2907092772823,1961.23620983411,1713.5,1554.24536128187,1819.5,1660,1602,1654,85.3463624691302
"2005/2006",2006,120,120,100,50.2380552799194,216.085316495912,84.4863561354729,65.1755478927205,97.4309497697402,1842.27657998923,1552,1384.09177096131,1712,1500.5,1538,1498,80.2155627662579
"2006/2007",2007,120,120,100,51.0026750807612,244.775253086729,79.7286003826612,67.2916941051128,101.020366999207,1736.28810873641,1395,1272.96907829738,1593.5,1360,1403,1358.5,77.4027502279371
"2007/2008",2008,120,120,100,48.9552178273922,207.45517908779,94.3385186070817,69.5002195356907,103.160070579038,1650.7508316895,1249,1016.58863731018,1529.5,1129,1518,1129,70.8468096930987
"2008/2009",2009,121,121,100,53.4915158314959,260.033953148571,76.9973890296224,65.4596250678513,97.8024919837489,1892.70665736929,1658.5,1462.90064951349,1772.5,1579.5,1586,1570.5,80.6209644898547
"2009/2010",2010,120,120,100,62.3564285956995,255.719347678284,79.4415529204959,80.2027783404194,102.821583725151,2046.07552759917,1664,1449.51335311114,1923.5,1589,1857,1588.5,83.0466717922068
"2010/2011",2011,120,120,100,61.751140751842,247.538035086187,82.0005098799366,78.1244911268877,101.557470053777,1990.43355211344,1656,1449.07304168401,1835,1581.5,1760,1581.5,77.099189713309
