"Season","End_year","Season_days","Data_days","Interpolated_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"1973/1974",1974,120,120,0,100,85.3751490374355,2166.77339925713,497
"1974/1975",1975,120,120,1,99.1666666666667,90.108840771449,3574.42261563176,295
"1975/1976",1976,120,120,0,100,81.4924404564085,1831.89919073234,711
"1976/1977",1977,121,121,0,100,83.3797735068879,1892.33693341023,741
"1977/1978",1978,120,120,0,100,78.1564958290718,2653.41265653929,829
"1978/1979",1979,120,120,0,100,67.4070232025451,1428.95247495844,1376
"1979/1980",1980,120,120,0,100,82.0133035527592,2356.61934381176,702
"1980/1981",1981,121,121,0,100,74.480523273674,2085.3869565358,1092
"1981/1982",1982,120,120,0,100,75.4249711500479,1946.22349655972,1082
"1982/1983",1983,120,120,0,100,83.3842623995049,2903.72372700047,579
"1983/1984",1984,120,120,0,100,81.4941286428309,2103.88411300268,811
"1984/1985",1985,121,121,0,100,72.4591936193649,2015.86367345182,1102
"1985/1986",1986,120,120,0,100,68.2299239547513,1795.49172280554,1297
"1986/1987",1987,120,120,0,100,73.3759614931764,2482.71000108868,1036
"1987/1988",1988,120,120,0,100,87.4751533397339,2824.0065198245,333
"1988/1989",1989,121,121,0,100,90.7761036808733,2624.23976362124,390
"1989/1990",1990,120,120,0,100,83.2457969393545,4574.23644674337,434
"1990/1991",1991,120,120,0,100,77.8336222759776,1888.61592141818,940
"1991/1992",1992,120,120,0,100,83.3178359893463,2058.22118918737,697
"1992/1993",1993,121,121,0,100,86.3986920791976,2731.73665932589,598
"1993/1994",1994,120,120,0,100,82.4874101938731,1856.56002650294,635
"1994/1995",1995,120,120,0,100,85.667176288061,5313.12842238159,357
"1995/1996",1996,120,120,0,100,72.3417776219803,1365.27843437623,1183
"1996/1997",1997,121,121,0,100,75.0368807048135,2676.31204778096,901
"1997/1998",1998,120,120,0,100,85.5616804942342,3954.66541887983,426
"1998/1999",1999,120,120,0,100,79.1243530166562,2024.77427557996,637
"1999/2000",2000,120,120,0,100,87.8088915595281,2354.8113097779,308
"2000/2001",2001,121,121,0,100,83.2541080508763,3710.12692308053,470
"2001/2002",2002,120,120,0,100,80.4865563048788,3334.23033663607,702
"2002/2003",2003,120,120,0,100,81.8731487594978,3150.81180681149,757
"2003/2004",2004,120,120,0,100,80.8426661250287,3740.63479214045,541
"2004/2005",2005,121,121,0,100,78.2374800854795,1793.24596535112,890
"2005/2006",2006,120,120,0,100,76.2588794245139,1930.69490564452,827
"2006/2007",2007,120,120,0,100,87.8080460810679,5692.40977507434,218
"2007/2008",2008,120,120,0,100,85.2358532385679,3070.34496676084,432
"2008/2009",2009,121,121,0,100,76.9295392920303,1722.30648023193,852
"2009/2010",2010,120,120,0,100,71.1804997865984,3277.68234589207,967
"2010/2011",2011,120,120,0,100,68.4392757193809,2905.25881426083,1009
"2011/2012",2012,120,120,0,100,80.8547675822547,3106.59802270681,501
"2012/2013",2013,121,121,0,100,77.3587227718081,2229.02431598306,841
"2013/2014",2014,120,120,0,100,91.4791652189169,3119.66831603786,141
"2014/2015",2015,120,120,0,100,83.8339078330664,2975.55629435694,373
"2015/2016",2016,120,120,0,100,81.9880591529127,6849.24235985242,278
"2016/2017",2017,121,121,0,100,84.4718410648511,2478.07940644957,626
"2017/2018",2018,120,120,0,100,83.7387918208524,2273.27707984205,453
"2018/2019",2019,120,120,0,100,84.3491557215038,4553.9626516588,352
