"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2001/2002",2002,120,120,100,1452,1737.5,83.7878172347713,4175.40420736708
"2002/2003",2003,120,120,100,1617,1818.5,81.8288615512145,3436.16770513456
"2003/2004",2004,120,120,100,1640,1535.5,81.7665552494712,1814.0630346144
"2004/2005",2005,121,121,100,1896,1849,87.1285554683807,2481.89194737867
"2005/2006",2006,120,120,100,1698,1965,88.702515021998,3695.42617020302
"2006/2007",2007,120,120,100,1671,1850,84.958246270658,2986.89278876845
"2007/2008",2008,120,120,100,1565,1436.5,77.1505730257228,1985.06648676645
"2008/2009",2009,121,121,100,1657,1724,81.5799774719062,2341.16418550658
"2009/2010",2010,120,120,100,1696,1841,83.2616603140634,2552.26828008832
"2010/2011",2011,120,120,100,1921,1915.5,87.9237341001126,2255.46590678557
"2011/2012",2012,120,120,100,1840,1788.5,82.8790921709644,2207.21503029682
"2012/2013",2013,121,121,100,1563,1638.5,84.1166212017786,2633.3091471357
"2013/2014",2014,120,120,100,1666,1576,79.1994626606377,1940.52064600599
"2014/2015",2015,120,120,100,960,976,65.9857214968852,3559.7417331771
"2015/2016",2016,120,120,100,1767,1825,85.1614093993662,2867.39589287073
"2016/2017",2017,121,121,100,1427,1510,79.2775064668331,4080.05538804026
"2017/2018",2018,120,120,100,1337,1461.5,76.1825749359537,3565.22127724113
"2018/2019",2019,120,120,100,1470,1342,73.6989800608762,2138.06767810229
"2019/2020",2020,120,120,100,1511,1646.5,83.1973772572192,3636.03140499606
"2020/2021",2021,121,121,100,1641,1891.5,86.6921038477708,4062.01664810465
"2021/2022",2022,120,120,100,1365,1226.5,74.0745042061376,2045.60735375108
"2022/2023",2023,120,120,100,1512,1437.5,77.7845807832955,3297.4566659783
"2023/2024",2024,120,120,100,1769,1944.5,86.1904315887182,3341.5069701965
"2024/2025",2025,121,121,100,1695,1902.5,87.4101952262254,3019.17001557839
"2025/2026",2026,120,120,100,1679,1687,82.4407698691875,3147.93332649558
"2026/2027",2027,120,120,100,1294,1218.5,73.4046507543117,1373.55242816126
"2027/2028",2028,120,120,100,1580,1645.5,83.8242150372466,2781.99963813811
"2028/2029",2029,121,121,100,1755,1642.5,83.7853626481383,1909.82990554255
"2029/2030",2030,120,120,100,1570,1631,82.1187526542708,2376.23235129844
"2030/2031",2031,120,120,100,1515,1747.5,86.5105077342923,3477.57282537757
"2031/2032",2032,120,120,100,1554,1515.5,77.6383384238925,2732.96581908572
"2032/2033",2033,121,121,100,1743,1817,84.122272470313,2469.37895594654
"2033/2034",2034,120,120,100,1602,1528.5,79.1670152067109,1738.42827619333
"2034/2035",2035,120,120,100,1465,1320,75.8884397365491,2066.76836919738
"2035/2036",2036,120,120,100,1629,1563,82.3919457200327,3024.59804137796
"2036/2037",2037,121,121,100,1587,1816,85.7842203100454,2979.58105481649
"2037/2038",2038,120,120,100,1609,1342,77.6581488045149,1344.05804922245
"2038/2039",2039,120,120,100,1628,1817.5,82.5990061205766,3480.72296334477
"2039/2040",2040,120,120,100,1602,2001,89.1421467573373,4337.84037120221
"2040/2041",2041,121,121,100,1726,1834.5,86.4629305789595,2882.27182853967
"2041/2042",2042,120,120,100,1941,1869.5,85.0675866827287,1687.11099445168
"2042/2043",2043,120,120,100,1289,1857.5,83.9687872890854,5810.57470636955
"2043/2044",2044,120,120,100,1793,1494.5,80.0690238314555,1292.91290895408
"2044/2045",2045,121,121,100,1928,1957.5,83.94663074648,2311.46663039969
"2045/2046",2046,120,120,100,1473,1405.5,77.5649151159832,1965.6038799216
"2046/2047",2047,120,120,100,1653,1477.5,77.9301434184772,2165.27725257725
"2047/2048",2048,120,120,100,1631,1678.5,78.7191663646254,2202.10455782292
"2048/2049",2049,121,121,100,1946,1877,86.2356048302554,1894.45876258193
"2049/2050",2050,120,120,100,1697,1460.5,79.5634426051611,1297.14338832581
