"SSP_Time","GCM","Year","Pheno"
"SSP1 2050","ACCESS-CM2",2001,NA
"SSP1 2050","ACCESS-CM2",2002,106.208333333333
"SSP1 2050","ACCESS-CM2",2003,100
"SSP1 2050","ACCESS-CM2",2004,93.125
"SSP1 2050","ACCESS-CM2",2005,93.0833333333333
"SSP1 2050","ACCESS-CM2",2006,95.125
"SSP1 2050","ACCESS-CM2",2007,94.5416666666667
"SSP1 2050","ACCESS-CM2",2008,101.5
"SSP1 2050","ACCESS-CM2",2009,96.3333333333333
"SSP1 2050","ACCESS-CM2",2010,96.25
"SSP1 2050","ACCESS-CM2",2011,94.125
"SSP1 2050","ACCESS-CM2",2012,104.208333333333
"SSP1 2050","ACCESS-CM2",2013,97.3333333333333
"SSP1 2050","ACCESS-CM2",2014,102.083333333333
"SSP1 2050","ACCESS-CM2",2015,111.25
"SSP1 2050","ACCESS-CM2",2016,105.083333333333
"SSP1 2050","ACCESS-CM2",2017,101.416666666667
"SSP1 2050","ACCESS-CM2",2018,96.5
"SSP1 2050","ACCESS-CM2",2019,117.125
"SSP1 2050","ACCESS-CM2",2020,98.9583333333333
"SSP1 2050","ACCESS-CM2",2021,93.9583333333333
"SSP1 2050","ACCESS-CM2",2022,95.0833333333333
"SSP1 2050","ACCESS-CM2",2023,101.375
"SSP1 2050","ACCESS-CM2",2024,100.25
"SSP1 2050","ACCESS-CM2",2025,90.0416666666667
"SSP1 2050","ACCESS-CM2",2026,78.1666666666667
"SSP1 2050","ACCESS-CM2",2027,86.2916666666667
"SSP1 2050","ACCESS-CM2",2028,86.9583333333333
"SSP1 2050","ACCESS-CM2",2029,92.375
"SSP1 2050","ACCESS-CM2",2030,103.958333333333
"SSP1 2050","ACCESS-CM2",2031,92.0833333333333
"SSP1 2050","ACCESS-CM2",2032,89.9583333333333
"SSP1 2050","ACCESS-CM2",2033,101.208333333333
"SSP1 2050","ACCESS-CM2",2034,102.166666666667
"SSP1 2050","ACCESS-CM2",2035,105.125
"SSP1 2050","ACCESS-CM2",2036,100.125
"SSP1 2050","ACCESS-CM2",2037,110.208333333333
"SSP1 2050","ACCESS-CM2",2038,106.208333333333
"SSP1 2050","ACCESS-CM2",2039,122.333333333333
"SSP1 2050","ACCESS-CM2",2040,93.875
"SSP1 2050","ACCESS-CM2",2041,84.2083333333333
"SSP1 2050","ACCESS-CM2",2042,103.958333333333
"SSP1 2050","ACCESS-CM2",2043,103.333333333333
"SSP1 2050","ACCESS-CM2",2044,94.0416666666667
"SSP1 2050","ACCESS-CM2",2045,106.083333333333
"SSP1 2050","ACCESS-CM2",2046,116.291666666667
"SSP1 2050","ACCESS-CM2",2047,98.9166666666667
"SSP1 2050","ACCESS-CM2",2048,103.166666666667
"SSP1 2050","ACCESS-CM2",2049,106.25
"SSP1 2050","ACCESS-CM2",2050,101
"SSP1 2050","ACCESS-CM2",2051,117.291666666667
"SSP1 2050","ACCESS-CM2",2052,113.041666666667
"SSP1 2050","ACCESS-CM2",2053,90
"SSP1 2050","ACCESS-CM2",2054,94
"SSP1 2050","ACCESS-CM2",2055,91.1666666666667
"SSP1 2050","ACCESS-CM2",2056,95.0833333333333
"SSP1 2050","ACCESS-CM2",2057,102.541666666667
"SSP1 2050","ACCESS-CM2",2058,98.2916666666667
"SSP1 2050","ACCESS-CM2",2059,99.9583333333333
"SSP1 2050","ACCESS-CM2",2060,102.958333333333
"SSP1 2050","ACCESS-CM2",2061,105.333333333333
"SSP1 2050","ACCESS-CM2",2062,109.25
"SSP1 2050","ACCESS-CM2",2063,100.458333333333
"SSP1 2050","ACCESS-CM2",2064,105.125
"SSP1 2050","ACCESS-CM2",2065,89.1666666666667
"SSP1 2050","ACCESS-CM2",2066,93.7916666666667
"SSP1 2050","ACCESS-CM2",2067,89.25
"SSP1 2050","ACCESS-CM2",2068,98
"SSP1 2050","ACCESS-CM2",2069,100.208333333333
"SSP1 2050","ACCESS-CM2",2070,91.4583333333333
"SSP1 2050","ACCESS-CM2",2071,96
"SSP1 2050","ACCESS-CM2",2072,91.1666666666667
"SSP1 2050","ACCESS-CM2",2073,89.4166666666667
"SSP1 2050","ACCESS-CM2",2074,98.7916666666667
"SSP1 2050","ACCESS-CM2",2075,99.2083333333333
"SSP1 2050","ACCESS-CM2",2076,98.25
"SSP1 2050","ACCESS-CM2",2077,98.4583333333333
"SSP1 2050","ACCESS-CM2",2078,109.958333333333
"SSP1 2050","ACCESS-CM2",2079,90.875
"SSP1 2050","ACCESS-CM2",2080,92.9583333333333
"SSP1 2050","ACCESS-CM2",2081,75.0833333333333
"SSP1 2050","ACCESS-CM2",2082,109
"SSP1 2050","ACCESS-CM2",2083,118.083333333333
"SSP1 2050","ACCESS-CM2",2084,93.1666666666667
"SSP1 2050","ACCESS-CM2",2085,101.083333333333
"SSP1 2050","ACCESS-CM2",2086,108.958333333333
"SSP1 2050","ACCESS-CM2",2087,107.875
"SSP1 2050","ACCESS-CM2",2088,92.4583333333333
"SSP1 2050","ACCESS-CM2",2089,102.041666666667
"SSP1 2050","ACCESS-CM2",2090,103.333333333333
"SSP1 2050","ACCESS-CM2",2091,114.375
"SSP1 2050","ACCESS-CM2",2092,106.25
"SSP1 2050","ACCESS-CM2",2093,109.291666666667
"SSP1 2050","ACCESS-CM2",2094,103.208333333333
"SSP1 2050","ACCESS-CM2",2095,120.916666666667
"SSP1 2050","ACCESS-CM2",2096,85.375
"SSP1 2050","ACCESS-CM2",2097,120.25
"SSP1 2050","ACCESS-CM2",2098,104.083333333333
"SSP1 2050","ACCESS-CM2",2099,102.208333333333
"SSP1 2050","ACCESS-CM2",2100,94.1666666666667
"SSP1 2050","AWI-CM-1-1-MR",2001,NA
"SSP1 2050","AWI-CM-1-1-MR",2002,110.375
"SSP1 2050","AWI-CM-1-1-MR",2003,104.291666666667
"SSP1 2050","AWI-CM-1-1-MR",2004,99.0833333333333
"SSP1 2050","AWI-CM-1-1-MR",2005,94.9583333333333
"SSP1 2050","AWI-CM-1-1-MR",2006,94.2916666666667
"SSP1 2050","AWI-CM-1-1-MR",2007,98.2083333333333
"SSP1 2050","AWI-CM-1-1-MR",2008,102.25
"SSP1 2050","AWI-CM-1-1-MR",2009,98.4166666666667
"SSP1 2050","AWI-CM-1-1-MR",2010,97.1666666666667
"SSP1 2050","AWI-CM-1-1-MR",2011,93.1666666666667
