"SSP_Time","GCM","Year","Frost"
"SSP1 2050","ACCESS-CM2",2002,12
"SSP1 2050","ACCESS-CM2",2003,4
"SSP1 2050","ACCESS-CM2",2004,0
"SSP1 2050","ACCESS-CM2",2005,12
"SSP1 2050","ACCESS-CM2",2006,0
"SSP1 2050","ACCESS-CM2",2007,14
"SSP1 2050","ACCESS-CM2",2008,0
"SSP1 2050","ACCESS-CM2",2009,8
"SSP1 2050","ACCESS-CM2",2010,0
"SSP1 2050","ACCESS-CM2",2011,4
"SSP1 2050","ACCESS-CM2",2012,0
"SSP1 2050","ACCESS-CM2",2013,0
"SSP1 2050","ACCESS-CM2",2014,3
"SSP1 2050","ACCESS-CM2",2015,44
"SSP1 2050","ACCESS-CM2",2016,0
"SSP1 2050","ACCESS-CM2",2017,5
"SSP1 2050","ACCESS-CM2",2018,0
"SSP1 2050","ACCESS-CM2",2019,0
"SSP1 2050","ACCESS-CM2",2020,0
"SSP1 2050","ACCESS-CM2",2021,0
"SSP1 2050","ACCESS-CM2",2022,0
"SSP1 2050","ACCESS-CM2",2023,0
"SSP1 2050","ACCESS-CM2",2024,7
"SSP1 2050","ACCESS-CM2",2025,18
"SSP1 2050","ACCESS-CM2",2026,2
"SSP1 2050","ACCESS-CM2",2027,0
"SSP1 2050","ACCESS-CM2",2028,0
"SSP1 2050","ACCESS-CM2",2029,0
"SSP1 2050","ACCESS-CM2",2030,2
"SSP1 2050","ACCESS-CM2",2031,4
"SSP1 2050","ACCESS-CM2",2032,0
"SSP1 2050","ACCESS-CM2",2033,0
"SSP1 2050","ACCESS-CM2",2034,2
"SSP1 2050","ACCESS-CM2",2035,26
"SSP1 2050","ACCESS-CM2",2036,0
"SSP1 2050","ACCESS-CM2",2037,0
"SSP1 2050","ACCESS-CM2",2038,0
"SSP1 2050","ACCESS-CM2",2039,6
"SSP1 2050","ACCESS-CM2",2040,0
"SSP1 2050","ACCESS-CM2",2041,4
"SSP1 2050","ACCESS-CM2",2042,1
"SSP1 2050","ACCESS-CM2",2043,0
"SSP1 2050","ACCESS-CM2",2044,0
"SSP1 2050","ACCESS-CM2",2045,0
"SSP1 2050","ACCESS-CM2",2046,0
"SSP1 2050","ACCESS-CM2",2047,0
"SSP1 2050","ACCESS-CM2",2048,4
"SSP1 2050","ACCESS-CM2",2049,0
"SSP1 2050","ACCESS-CM2",2050,3
"SSP1 2050","ACCESS-CM2",2051,0
"SSP1 2050","ACCESS-CM2",2052,7
"SSP1 2050","ACCESS-CM2",2053,6
"SSP1 2050","ACCESS-CM2",2054,1
"SSP1 2050","ACCESS-CM2",2055,8
"SSP1 2050","ACCESS-CM2",2056,0
"SSP1 2050","ACCESS-CM2",2057,7
"SSP1 2050","ACCESS-CM2",2058,7
"SSP1 2050","ACCESS-CM2",2059,4
"SSP1 2050","ACCESS-CM2",2060,0
"SSP1 2050","ACCESS-CM2",2061,0
"SSP1 2050","ACCESS-CM2",2062,0
"SSP1 2050","ACCESS-CM2",2063,0
"SSP1 2050","ACCESS-CM2",2064,7
"SSP1 2050","ACCESS-CM2",2065,0
"SSP1 2050","ACCESS-CM2",2066,0
"SSP1 2050","ACCESS-CM2",2067,0
"SSP1 2050","ACCESS-CM2",2068,15
"SSP1 2050","ACCESS-CM2",2069,0
"SSP1 2050","ACCESS-CM2",2070,37
"SSP1 2050","ACCESS-CM2",2071,2
"SSP1 2050","ACCESS-CM2",2072,48
"SSP1 2050","ACCESS-CM2",2073,0
"SSP1 2050","ACCESS-CM2",2074,2
"SSP1 2050","ACCESS-CM2",2075,0
"SSP1 2050","ACCESS-CM2",2076,0
"SSP1 2050","ACCESS-CM2",2077,0
"SSP1 2050","ACCESS-CM2",2078,0
"SSP1 2050","ACCESS-CM2",2079,0
"SSP1 2050","ACCESS-CM2",2080,0
"SSP1 2050","ACCESS-CM2",2081,0
"SSP1 2050","ACCESS-CM2",2082,0
"SSP1 2050","ACCESS-CM2",2083,0
"SSP1 2050","ACCESS-CM2",2084,0
"SSP1 2050","ACCESS-CM2",2085,0
"SSP1 2050","ACCESS-CM2",2086,0
"SSP1 2050","ACCESS-CM2",2087,0
"SSP1 2050","ACCESS-CM2",2088,0
"SSP1 2050","ACCESS-CM2",2089,3
"SSP1 2050","ACCESS-CM2",2090,9
"SSP1 2050","ACCESS-CM2",2091,0
"SSP1 2050","ACCESS-CM2",2092,0
"SSP1 2050","ACCESS-CM2",2093,0
"SSP1 2050","ACCESS-CM2",2094,0
"SSP1 2050","ACCESS-CM2",2095,0
"SSP1 2050","ACCESS-CM2",2096,0
"SSP1 2050","ACCESS-CM2",2097,0
"SSP1 2050","ACCESS-CM2",2098,3
"SSP1 2050","ACCESS-CM2",2099,7
"SSP1 2050","ACCESS-CM2",2100,3
"SSP1 2050","AWI-CM-1-1-MR",2002,7
"SSP1 2050","AWI-CM-1-1-MR",2003,0
"SSP1 2050","AWI-CM-1-1-MR",2004,0
"SSP1 2050","AWI-CM-1-1-MR",2005,0
