"Scen_year","Year","Pheno"
"1980",2001,NA
"1980",2002,133.333333333333
"1980",2003,122.208333333333
"1980",2004,125.416666666667
"1980",2005,130.041666666667
"1980",2006,107.416666666667
"1980",2007,118.291666666667
"1980",2008,131.875
"1980",2009,118.208333333333
"1980",2010,116.375
"1980",2011,116.041666666667
"1980",2012,120.375
"1980",2013,115.25
"1980",2014,128.208333333333
"1980",2015,140.166666666667
"1980",2016,135.125
"1980",2017,128.25
"1980",2018,121.125
"1980",2019,133.958333333333
"1980",2020,110.291666666667
"1980",2021,113.291666666667
"1980",2022,106.208333333333
"1980",2023,122.416666666667
"1980",2024,127.708333333333
"1980",2025,123.541666666667
"1980",2026,110
"1980",2027,120.208333333333
"1980",2028,117.166666666667
"1980",2029,108.291666666667
"1980",2030,124.916666666667
"1980",2031,122.041666666667
"1980",2032,129.166666666667
"1980",2033,131.041666666667
"1980",2034,115.875
"1980",2035,122.041666666667
"1980",2036,121.916666666667
"1980",2037,126.291666666667
"1980",2038,126.958333333333
"1980",2039,134.333333333333
"1980",2040,134.208333333333
"1980",2041,127.333333333333
"1980",2042,123.25
"1980",2043,111.5
"1980",2044,117.458333333333
"1980",2045,130.291666666667
"1980",2046,132.041666666667
"1980",2047,115.25
"1980",2048,117.125
"1980",2049,126
"1980",2050,118.708333333333
"1980",2051,135.125
"1980",2052,132.208333333333
"1980",2053,123.166666666667
"1980",2054,122.333333333333
"1980",2055,130.291666666667
"1980",2056,113.083333333333
"1980",2057,123.208333333333
"1980",2058,109.083333333333
"1980",2059,118.958333333333
"1980",2060,120.291666666667
"1980",2061,124.25
"1980",2062,124.666666666667
"1980",2063,126.833333333333
"1980",2064,128.291666666667
"1980",2065,102.166666666667
"1980",2066,110.958333333333
"1980",2067,124
"1980",2068,108.958333333333
"1980",2069,109.166666666667
"1980",2070,118.833333333333
"1980",2071,125.791666666667
"1980",2072,136.041666666667
"1980",2073,113
"1980",2074,117.041666666667
"1980",2075,110.041666666667
"1980",2076,139.208333333333
"1980",2077,119.958333333333
"1980",2078,128.916666666667
"1980",2079,124.125
"1980",2080,113.75
"1980",2081,101.166666666667
"1980",2082,123.208333333333
"1980",2083,148.166666666667
"1980",2084,104.416666666667
"1980",2085,140.25
"1980",2086,131.125
"1980",2087,118.333333333333
"1980",2088,99.25
"1980",2089,126.291666666667
"1980",2090,122.083333333333
"1980",2091,142.375
"1980",2092,121.333333333333
"1980",2093,124.375
"1980",2094,116
"1980",2095,135.333333333333
"1980",2096,111.166666666667
"1980",2097,134.125
"1980",2098,132.291666666667
"1980",2099,116.25
"1980",2100,118.166666666667
"1990",2001,NA
"1990",2002,130.333333333333
"1990",2003,114.458333333333
"1990",2004,120
"1990",2005,105.208333333333
"1990",2006,97.0416666666667
"1990",2007,106.125
"1990",2008,118.291666666667
"1990",2009,107.958333333333
"1990",2010,113.125
"1990",2011,110.125
"1990",2012,118
"1990",2013,107.375
"1990",2014,120.958333333333
"1990",2015,131.166666666667
"1990",2016,128.375
"1990",2017,121.041666666667
"1990",2018,115.708333333333
"1990",2019,129.041666666667
"1990",2020,106.125
"1990",2021,108.125
"1990",2022,102.083333333333
"1990",2023,114.041666666667
"1990",2024,114.208333333333
"1990",2025,118.25
"1990",2026,100.416666666667
"1990",2027,109.083333333333
"1990",2028,108.083333333333
"1990",2029,102.25
"1990",2030,121.708333333333
"1990",2031,108.375
"1990",2032,124.333333333333
"1990",2033,121.083333333333
"1990",2034,113.583333333333
"1990",2035,118.916666666667
"1990",2036,112.083333333333
"1990",2037,122.416666666667
"1990",2038,122.041666666667
"1990",2039,131.125
"1990",2040,119.041666666667
"1990",2041,119
"1990",2042,118.333333333333
"1990",2043,109.416666666667
"1990",2044,107.166666666667
"1990",2045,123.166666666667
"1990",2046,127.125
"1990",2047,105.291666666667
"1990",2048,114.208333333333
"1990",2049,120.25
"1990",2050,116.125
"1990",2051,131.125
"1990",2052,127.375
"1990",2053,118.125
"1990",2054,116.875
"1990",2055,115.083333333333
"1990",2056,106.041666666667
"1990",2057,115.291666666667
"1990",2058,104.875
"1990",2059,114.25
"1990",2060,113
"1990",2061,119.666666666667
"1990",2062,117.125
"1990",2063,108.208333333333
"1990",2064,124.458333333333
"1990",2065,98.3333333333333
"1990",2066,105.25
"1990",2067,116
"1990",2068,107.041666666667
"1990",2069,104.125
"1990",2070,115.875
"1990",2071,121.291666666667
"1990",2072,128.958333333333
"1990",2073,99.125
"1990",2074,111.041666666667
"1990",2075,107.166666666667
"1990",2076,130
"1990",2077,111.125
"1990",2078,123.583333333333
"1990",2079,118.958333333333
"1990",2080,107.25
"1990",2081,87.125
"1990",2082,116.083333333333
"1990",2083,144
"1990",2084,100.041666666667
"1990",2085,132.416666666667
"1990",2086,126.5
"1990",2087,113.291666666667
"1990",2088,96.625
"1990",2089,115.125
"1990",2090,117.166666666667
"1990",2091,128.208333333333
"1990",2092,115.208333333333
"1990",2093,120.125
"1990",2094,112.291666666667
"1990",2095,132.166666666667
"1990",2096,93.25
"1990",2097,128.25
"1990",2098,127.125
"1990",2099,111.458333333333
"1990",2100,113.208333333333
"2000",2001,NA
"2000",2002,122.458333333333
"2000",2003,112.291666666667
"2000",2004,114.333333333333
"2000",2005,102.541666666667
"2000",2006,95.375
"2000",2007,103.25
"2000",2008,110.166666666667
"2000",2009,103.958333333333
"2000",2010,102.958333333333
"2000",2011,104.25
"2000",2012,110.125
"2000",2013,105.333333333333
"2000",2014,115.083333333333
"2000",2015,127.5
"2000",2016,116.125
"2000",2017,106.291666666667
"2000",2018,112.166666666667
"2000",2019,125.083333333333
"2000",2020,103.041666666667
"2000",2021,102.083333333333
"2000",2022,99.0416666666667
"2000",2023,107.25
"2000",2024,105.083333333333
"2000",2025,107.541666666667
"2000",2026,96.3333333333333
"2000",2027,97
"2000",2028,97
"2000",2029,98.9166666666667
"2000",2030,116.125
"2000",2031,101.375
"2000",2032,110.458333333333
"2000",2033,107.375
"2000",2034,109.208333333333
"2000",2035,115.708333333333
"2000",2036,106.541666666667
"2000",2037,117.208333333333
"2000",2038,113.166666666667
"2000",2039,128.041666666667
"2000",2040,109.083333333333
"2000",2041,112.166666666667
"2000",2042,114.875
"2000",2043,107
"2000",2044,103.458333333333
"2000",2045,114.125
"2000",2046,121.875
"2000",2047,103.041666666667
"2000",2048,111.666666666667
"2000",2049,115.208333333333
"2000",2050,111.125
"2000",2051,127.958333333333
"2000",2052,123.125
"2000",2053,106.583333333333
"2000",2054,109.125
"2000",2055,102.416666666667
"2000",2056,101.375
"2000",2057,112.208333333333
"2000",2058,101.625
"2000",2059,111.125
"2000",2060,108.291666666667
"2000",2061,115.083333333333
"2000",2062,113.125
"2000",2063,105.333333333333
"2000",2064,121.25
"2000",2065,95.0416666666667
"2000",2066,102.083333333333
"2000",2067,103.083333333333
"2000",2068,105.416666666667
"2000",2069,99.2083333333333
"2000",2070,113.875
"2000",2071,114.958333333333
"2000",2072,112.208333333333
"2000",2073,95.4166666666667
"2000",2074,104.125
"2000",2075,104.125
"2000",2076,112.375
"2000",2077,101.458333333333
"2000",2078,119
"2000",2079,103
"2000",2080,100.166666666667
"2000",2081,82.2083333333333
"2000",2082,113
"2000",2083,136.208333333333
"2000",2084,98.3333333333333
"2000",2085,118.166666666667
"2000",2086,121.5
"2000",2087,110.041666666667
"2000",2088,95.4166666666667
"2000",2089,108.083333333333
"2000",2090,114.208333333333
"2000",2091,121.041666666667
"2000",2092,111.291666666667
"2000",2093,116.208333333333
"2000",2094,109.166666666667
"2000",2095,128.791666666667
"2000",2096,91.0833333333333
"2000",2097,125.166666666667
"2000",2098,118.166666666667
"2000",2099,109.375
"2000",2100,105.208333333333
"2010",2001,NA
"2010",2002,127.291666666667
"2010",2003,113
"2010",2004,116.083333333333
"2010",2005,103.166666666667
"2010",2006,96.125
"2010",2007,104.208333333333
"2010",2008,111.083333333333
"2010",2009,104.541666666667
"2010",2010,104
"2010",2011,105.041666666667
"2010",2012,110.625
"2010",2013,106.166666666667
"2010",2014,115.916666666667
"2010",2015,128.083333333333
"2010",2016,117.916666666667
"2010",2017,109.25
"2010",2018,113.166666666667
