"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,80.1578173600178,8989.84281849451,240
"2002/2003",2003,120,120,100,82.7842634205295,7730.07941472868,293
"2003/2004",2004,120,120,100,86.932696219332,4672.1541569301,340
"2004/2005",2005,121,121,100,89.2603032331804,6142.62031209812,162
"2005/2006",2006,120,120,100,84.1727886609659,8630.35577300342,59
"2006/2007",2007,120,120,100,84.4505257489142,6997.91185585369,288
"2007/2008",2008,120,120,100,83.0425629745279,4791.46601904999,382
"2008/2009",2009,121,121,100,87.1628829792685,5861.22281699546,361
"2009/2010",2010,120,120,100,88.224453423986,6519.82040708954,222
"2010/2011",2011,120,120,100,89.6426228565288,6001.97774902591,80
"2011/2012",2012,120,120,100,87.0327234122938,5527.29519548861,156
"2012/2013",2013,121,121,100,86.8186885773882,6216.67942481232,318
"2013/2014",2014,120,120,100,86.3514766147782,5000.10772970843,277
"2014/2015",2015,120,120,100,71.6768604739686,6572.93493506871,701
"2015/2016",2016,120,120,100,86.5920388900392,6832.64095367491,174
"2016/2017",2017,121,121,100,79.6319602237691,8211.67848028592,314
"2017/2018",2018,120,120,100,78.9504191353271,7426.40091208974,433
"2018/2019",2019,120,120,100,79.9795953016865,4766.34273424814,493
"2019/2020",2020,120,120,100,82.9661846346758,7918.98084915988,200
"2020/2021",2021,121,121,100,83.629024122702,8875.94219942857,168
"2021/2022",2022,120,120,100,81.1976435612364,4625.28708510473,528
"2022/2023",2023,120,120,100,81.0216345206286,6828.21264287201,261
"2023/2024",2024,120,120,100,86.999500326071,7764.72209324501,70
"2024/2025",2025,121,121,100,88.4822735022585,7321.07191325445,58
"2025/2026",2026,120,120,100,84.2022369272859,7099.54996833391,161
"2026/2027",2027,120,120,100,80.9522513073525,3700.93337570922,697
"2027/2028",2028,120,120,100,83.4797877734372,6493.19989949535,249
"2028/2029",2029,121,121,100,87.3234929639661,4912.72172323475,292
"2029/2030",2030,120,120,100,84.6780454835939,5728.70527442871,278
"2030/2031",2031,120,120,100,85.2491118773587,7728.26162293321,221
"2031/2032",2032,120,120,100,82.6750228381857,5995.51965677878,404
"2032/2033",2033,121,121,100,86.7828602053469,6095.0530238878,269
"2033/2034",2034,120,120,100,86.9750650119386,4583.65547996759,364
