"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,74.9570378230906,11500.3314453204,168
"2002/2003",2003,120,120,100,82.4996381570376,9812.53466978908,241
"2003/2004",2004,120,120,100,82.6776411722701,7031.04212230648,256
"2004/2005",2005,121,121,100,85.6721317782257,8318.14265433268,83
"2005/2006",2006,120,120,100,80.1315712886516,11291.5128471681,20
"2006/2007",2007,120,120,100,82.9851575362903,8866.86202189029,192
"2007/2008",2008,120,120,100,85.6494645977712,6303.16013877431,240
"2008/2009",2009,121,121,100,86.6866661006827,7979.75076522119,228
"2009/2010",2010,120,120,100,81.3264213885216,9003.28750560107,98
"2010/2011",2011,120,120,100,85.382046359166,8565.79636438703,55
"2011/2012",2012,120,120,100,86.6222395768614,7497.04372145224,52
"2012/2013",2013,121,121,100,82.1194759011253,8250.12384740019,213
"2013/2014",2014,120,120,100,87.667541172229,6278.7538447202,133
"2014/2015",2015,120,120,100,75.9836320945667,7096.80655747175,428
"2015/2016",2016,120,120,100,84.9630525589384,9034.05494623771,98
"2016/2017",2017,121,121,100,77.3589846100085,9904.79737939639,167
"2017/2018",2018,120,120,100,73.2049932818177,9608.52027204772,311
"2018/2019",2019,120,120,100,83.4648012981056,5951.84694529278,323
"2019/2020",2020,120,120,100,80.0957160790927,10090.7819227423,125
"2020/2021",2021,121,121,100,77.9266882036286,11701.7480251128,112
"2021/2022",2022,120,120,100,82.6207309043816,5669.542737799,394
"2022/2023",2023,120,120,100,83.204675617395,7808.93165875436,116
"2023/2024",2024,120,120,100,86.1951566125799,9865.21173817338,2
"2024/2025",2025,121,121,100,85.1239498062041,9572.12944251602,6
"2025/2026",2026,120,120,100,75.7469741372774,10020.4267294812,114
"2026/2027",2027,120,120,100,81.3286426474883,5402.90696311952,532
"2027/2028",2028,120,120,100,84.0635401991021,8231.72389342962,125
"2028/2029",2029,121,121,100,87.2995195537587,6652.33682833053,172
"2029/2030",2030,120,120,100,85.5173594599764,7186.93881850271,140
"2030/2031",2031,120,120,100,78.6146182979669,10330.9773670714,148
"2031/2032",2032,120,120,100,79.7671719267632,7926.33064711979,256
"2032/2033",2033,121,121,100,87.5857304519104,7785.72350974707,137
"2033/2034",2034,120,120,100,85.868486344365,6325.72306660283,207
"2034/2035",2035,120,120,100,85.1410790155851,5755.63583097188,286
"2035/2036",2036,120,120,100,82.4594037222305,8128.62387399143,113
"2036/2037",2037,121,121,100,85.7947098993327,9006.73012752645,196
"2037/2038",2038,120,120,100,89.0945225542118,4356.7027697959,261
"2038/2039",2039,120,120,100,82.5118999229508,9795.91797613911,147
"2039/2040",2040,120,120,100,77.9989536248077,12454.8786509004,11
"2040/2041",2041,121,121,100,84.7030873184658,9228.80800469918,103
"2041/2042",2042,120,120,100,88.2863130836986,7075.75639278488,96
"2042/2043",2043,120,120,100,66.1188913340984,14400.5661867224,185
"2043/2044",2044,120,120,100,89.3479195124401,5378.06533108326,239
"2044/2045",2045,121,121,100,90.8285107911088,7715.86325436132,50
"2045/2046",2046,120,120,100,86.5506116890128,5726.67912806012,294
"2046/2047",2047,120,120,100,88.5360532250443,6138.64894849248,203
"2047/2048",2048,120,120,100,83.6660787784767,7232.84258106397,355
"2048/2049",2049,121,121,100,91.3570733540337,7220.58509915881,61
"2049/2050",2050,120,120,100,91.8239792038557,4841.32564796973,158
"2050/2051",2051,120,120,100,87.8315070028348,4100.59451843938,233
"2051/2052",2052,120,120,100,80.1959523195765,8244.22150165727,151
"2052/2053",2053,121,121,100,78.1240804624058,10590.5659011099,204
"2053/2054",2054,120,120,100,75.3306845439056,11266.7130349237,200
"2054/2055",2055,120,120,100,83.0795884281342,10154.6726354659,19
"2055/2056",2056,120,120,100,86.4016946996426,7680.39574882761,133
"2056/2057",2057,121,121,100,82.2282696907259,9201.4421406989,52
"2057/2058",2058,120,120,100,81.5402207214083,8109.97855072003,293
"2058/2059",2059,120,120,100,85.99054276072,10180.2032411285,31
"2059/2060",2060,120,120,100,84.2763313377154,5524.7726695044,304
"2060/2061",2061,121,121,100,85.8748133289018,9162.37281781062,63
"2061/2062",2062,120,120,100,79.5396275065195,9706.98503329791,18
"2062/2063",2063,120,120,100,84.3219319244417,5872.11017861683,383
"2063/2064",2064,120,120,100,84.0877022899385,6295.67003735621,312
"2064/2065",2065,121,121,100,79.8749610870018,8717.70406483673,315
"2065/2066",2066,120,120,100,79.7329094158649,9841.46623427235,178
"2066/2067",2067,120,120,100,87.6534736086796,8304.47577763721,29
"2067/2068",2068,120,120,100,88.0289414060462,4799.24207731895,194
"2068/2069",2069,121,121,100,79.457413374028,11522.1110778991,49
"2069/2070",2070,120,120,100,82.0865208121268,7680.97592458036,189
"2070/2071",2071,120,120,100,83.0661270764558,7809.26731998753,182
"2071/2072",2072,120,120,100,79.9671700086346,8210.86151369661,131
"2072/2073",2073,121,121,100,78.1562621338908,10316.7598515674,140
"2073/2074",2074,120,120,100,78.8796636850493,11035.481351627,146
"2074/2075",2075,120,120,100,76.079624926515,9901.94169652928,380
"2075/2076",2076,120,120,100,71.1883858410329,11397.8073936086,199
"2076/2077",2077,121,121,100,84.1914689623463,11025.0326863108,24
"2077/2078",2078,120,120,100,86.4305522500927,5599.05532857869,226
"2078/2079",2079,120,120,100,88.7891815360308,5215.67574536707,326
"2079/2080",2080,120,120,100,83.6532407429331,8292.96036376618,115
"2080/2081",2081,121,121,100,81.2882791662123,10863.7858857904,68
"2081/2082",2082,120,120,100,86.3130730346384,8764.88484921772,108
"2082/2083",2083,120,120,100,85.183011639394,8449.08659319952,76
"2083/2084",2084,120,120,100,77.160800450989,11203.0706096487,145
"2084/2085",2085,121,121,100,83.2453355929847,5900.79610230494,251
"2085/2086",2086,120,120,100,87.5954238423983,7619.0124147851,119
"2086/2087",2087,120,120,100,86.9419696292953,6737.41464941483,257
"2087/2088",2088,120,120,100,87.9358206437828,6762.81647726335,83
"2088/2089",2089,121,121,100,81.4586637692373,8182.89092651382,276
"2089/2090",2090,120,120,100,88.5825425010335,6996.70428511221,157
"2090/2091",2091,120,120,100,89.0834948837273,4420.07387426496,273
"2091/2092",2092,120,120,100,85.2845717662894,6433.40522880945,191
"2092/2093",2093,121,121,100,88.4610807433146,5835.31824458577,114
"2093/2094",2094,120,120,100,81.2813269976832,9751.68516878597,105
"2094/2095",2095,120,120,100,84.1560504283825,8206.8573076725,239
"2095/2096",2096,120,120,100,88.2316874087301,7671.47297079582,67
"2096/2097",2097,121,121,100,80.4006200637396,11713.97020764,82
"2097/2098",2098,120,120,100,74.152815608024,10395.3949603569,170
"2098/2099",2099,120,120,100,84.7086690391006,7011.88256980572,202
"2099/2100",2100,120,120,100,81.3997311901112,8017.5371534843,297
