"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,82.0073145641381,8114.17655794205,248
"2002/2003",2003,120,120,100,86.8560264604936,6490.74791161162,275
"2003/2004",2004,120,120,100,87.8106117946056,4091.44799946985,355
"2004/2005",2005,121,121,100,89.136571079506,5567.00418855727,176
"2005/2006",2006,120,120,100,83.1551324401984,8211.65352441964,75
"2006/2007",2007,120,120,100,84.9243374967949,6284.33809974382,300
"2007/2008",2008,120,120,100,85.9321711950901,3902.39413072751,349
"2008/2009",2009,121,121,100,86.0789372289155,5291.14574691141,412
"2009/2010",2010,120,120,100,87.4396697085895,5967.9936963151,223
"2010/2011",2011,120,120,100,88.9818784253173,5868.99988600542,110
"2011/2012",2012,120,120,100,88.6737200034215,4819.71426380728,151
"2012/2013",2013,121,121,100,88.1718454063066,5395.66373956983,315
"2013/2014",2014,120,120,100,85.9157321206744,4455.62648643937,302
"2014/2015",2015,120,120,100,74.1932569223904,5390.76232754998,664
"2015/2016",2016,120,120,100,88.3748925821778,5791.13997741381,168
"2016/2017",2017,121,121,100,79.640296356396,7338.45014645951,327
"2017/2018",2018,120,120,100,81.3914557675703,6433.88177909586,426
"2018/2019",2019,120,120,100,81.734053033294,3885.72575446125,509
"2019/2020",2020,120,120,100,85.1686731597415,7071.54575285735,199
"2020/2021",2021,121,121,100,85.3600572109985,8128.73773519974,194
"2021/2022",2022,120,120,100,79.8915818170744,3943.44445906929,571
"2022/2023",2023,120,120,100,83.0307938287165,5810.87462054845,268
"2023/2024",2024,120,120,100,89.5498785239188,6887.80625126464,83
"2024/2025",2025,121,121,100,90.9084274668016,6522.78266984783,64
"2025/2026",2026,120,120,100,83.3148080443593,6548.31073541567,189
"2026/2027",2027,120,120,100,81.6431233535982,3258.88352367422,764
"2027/2028",2028,120,120,100,85.2725222388967,5684.75093949703,264
"2028/2029",2029,121,121,100,88.7652258901949,4331.66381228087,295
"2029/2030",2030,120,120,100,85.9634295802525,4886.38379029906,261
"2030/2031",2031,120,120,100,87.9807054032608,6675.03151646582,214
"2031/2032",2032,120,120,100,84.9697814091978,4969.16720680892,380
"2032/2033",2033,121,121,100,88.4429045595762,5398.33671296481,285
"2033/2034",2034,120,120,100,88.7007842962594,4035.33410156099,395
