"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,78.8169533728239,8995.01281994041,237
"2002/2003",2003,120,120,100,84.9960957269312,7573.21456318483,279
"2003/2004",2004,120,120,100,86.3519735271413,4893.57644368426,347
"2004/2005",2005,121,121,100,88.1372741263323,6194.2076460098,155
"2005/2006",2006,120,120,100,85.3430421932195,8781.37575858406,47
"2006/2007",2007,120,120,100,85.6221253992977,6980.45267575944,285
"2007/2008",2008,120,120,100,84.7108581157354,4640.07562409638,360
"2008/2009",2009,121,121,100,88.0498741269698,5913.3289665567,333
"2009/2010",2010,120,120,100,87.2757033332407,6703.78030654148,206
"2010/2011",2011,120,120,100,89.7521331706332,6252.93442192883,87
"2011/2012",2012,120,120,100,87.6408245573843,5518.76463889424,140
"2012/2013",2013,121,121,100,86.3694637893273,6222.47175829229,318
"2013/2014",2014,120,120,100,85.1947943310563,4924.3529367001,258
"2014/2015",2015,120,120,100,72.4814794523497,6141.66266112437,644
"2015/2016",2016,120,120,100,88.4353362796387,6755.69769002497,169
"2016/2017",2017,121,121,100,78.9031900860487,8109.3427613501,307
"2017/2018",2018,120,120,100,78.2743111605309,7399.28031147993,415
"2018/2019",2019,120,120,100,81.2036047347406,4550.69135927781,465
"2019/2020",2020,120,120,100,83.0187153909865,7896.31064006081,194
"2020/2021",2021,121,121,100,83.9110178448673,9014.25461629848,174
"2021/2022",2022,120,120,100,80.6142887270894,4455.71300664893,523
"2022/2023",2023,120,120,100,84.3473496176707,6490.3848467744,233
"2023/2024",2024,120,120,100,87.9298313652175,7673.81440474349,44
"2024/2025",2025,121,121,100,88.6792208460542,7284.12616425287,50
"2025/2026",2026,120,120,100,83.3750646430531,7395.28851241688,174
"2026/2027",2027,120,120,100,81.4646523818433,3842.26211589202,726
"2027/2028",2028,120,120,100,86.0408662655527,6371.28916410776,237
"2028/2029",2029,121,121,100,86.9460678326141,4947.87739322172,280
"2029/2030",2030,120,120,100,85.7196063548618,5600.87291570008,244
"2030/2031",2031,120,120,100,84.6787970468577,7838.61161722336,223
"2031/2032",2032,120,120,100,82.7049909280609,5993.1434729551,381
"2032/2033",2033,121,121,100,87.0299371389319,6030.33989337925,243
"2033/2034",2034,120,120,100,86.0663328090541,4630.12555456767,348
"2034/2035",2035,120,120,100,83.6112523448528,4473.29501893092,465
"2035/2036",2036,120,120,100,81.9731445525485,6410.92521563033,209
"2036/2037",2037,121,121,100,88.1675571412588,7002.78518567141,264
"2037/2038",2038,120,120,100,86.617361752883,3356.50091530383,357
"2038/2039",2039,120,120,100,83.8065834304261,7836.23340130411,256
"2039/2040",2040,120,120,100,85.4897891467072,9664.70217935974,46
"2040/2041",2041,121,121,100,88.5511637525615,6816.31080432143,135
"2041/2042",2042,120,120,100,92.1168405109238,4912.4703372512,154
"2042/2043",2043,120,120,100,77.0258708877836,11663.6141422722,232
"2043/2044",2044,120,120,100,88.4869128410537,3738.2252770178,312
"2044/2045",2045,121,121,100,89.7297003250196,5848.36727779591,163
"2045/2046",2046,120,120,100,85.4208610019641,4547.46911337413,479
"2046/2047",2047,120,120,100,85.6801341499686,4728.36800585873,335
"2047/2048",2048,120,120,100,85.3325414201499,5459.43321028398,458
"2048/2049",2049,121,121,100,92.5996353524251,5242.6204015729,119
"2049/2050",2050,120,120,100,89.2374370507905,3602.01502405899,265
"2050/2051",2051,120,120,100,86.8133146677083,2794.27257790137,326
"2051/2052",2052,120,120,100,83.1516920020877,6341.45506806672,238
"2052/2053",2053,121,121,100,81.0042031883113,8146.9223897988,268
"2053/2054",2054,120,120,100,83.8373942013004,8598.76685365289,234
"2054/2055",2055,120,120,100,87.0909659009112,7849.209489014,47
"2055/2056",2056,120,120,100,86.4117740488964,5879.86364217428,225
"2056/2057",2057,121,121,100,83.8453869223395,7370.0669876528,104
"2057/2058",2058,120,120,100,84.3277944447473,6212.56405623723,384
"2058/2059",2059,120,120,100,88.0948874720916,7664.8798053856,92
"2059/2060",2060,120,120,100,83.4398020586623,4220.16528259031,430
"2060/2061",2061,121,121,100,86.8727111085573,7502.4342657011,170
"2061/2062",2062,120,120,100,78.132530156603,8389.07152519375,186
"2062/2063",2063,120,120,100,84.0278021688291,4194.10296127945,463
"2063/2064",2064,120,120,100,87.6962182243587,4162.04670088366,393
"2064/2065",2065,121,121,100,82.933982012617,6796.59615720529,411
"2065/2066",2066,120,120,100,85.4521902448614,7221.5676706247,233
"2066/2067",2067,120,120,100,90.4372411825043,6195.78853190318,68
"2067/2068",2068,120,120,100,85.7582409283823,3689.1630056398,406
"2068/2069",2069,121,121,100,82.4006303358856,9459.01998617221,165
"2069/2070",2070,120,120,100,81.877115124189,6226.79696674459,333
"2070/2071",2071,120,120,100,85.387230003098,6024.54132344294,301
"2071/2072",2072,120,120,100,84.7257875083051,6014.45074745268,198
"2072/2073",2073,121,121,100,79.7877410641559,8156.40304055065,203
"2073/2074",2074,120,120,100,83.9610602360099,8720.16882291902,210
"2074/2075",2075,120,120,100,76.1347679745249,8429.1832045177,484
"2075/2076",2076,120,120,100,78.7641516697022,8843.92323671188,285
"2076/2077",2077,121,121,100,88.3989205350208,8434.2884041816,49
"2077/2078",2078,120,120,100,86.1574857465966,3856.83317854721,336
"2078/2079",2079,120,120,100,86.8812802616467,3858.61465446465,496
"2079/2080",2080,120,120,100,87.1715316845857,6195.17038108874,197
"2080/2081",2081,121,121,100,86.5511943569036,8143.77199385501,82
"2081/2082",2082,120,120,100,86.2445984135284,7186.6421200661,266
"2082/2083",2083,120,120,100,85.772935507599,6598.07351243589,145
"2083/2084",2084,120,120,100,83.4912492942367,8880.95927839074,236
"2084/2085",2085,121,121,100,84.3708596865981,4160.72803360783,365
"2085/2086",2086,120,120,100,85.9751510415645,5750.11378145684,271
"2086/2087",2087,120,120,100,86.3923363132217,5336.52951538749,366
"2087/2088",2088,120,120,100,90.2233502758263,5014.49294131529,186
"2088/2089",2089,121,121,100,82.8464125587325,6501.94361730758,388
"2089/2090",2090,120,120,100,89.2412927406767,5209.90586591978,260
"2090/2091",2091,120,120,100,86.6143401176814,3300.89073105901,423
"2091/2092",2092,120,120,100,86.2310832069888,4997.81868395302,331
"2092/2093",2093,121,121,100,88.9843491942684,4242.73883267678,311
"2093/2094",2094,120,120,100,84.3084153690797,7788.38349443767,214
"2094/2095",2095,120,120,100,83.1276206279672,6607.37257744651,333
"2095/2096",2096,120,120,100,89.6720748747775,5751.35396383703,111
"2096/2097",2097,121,121,100,82.4628265641477,9532.32732262742,116
"2097/2098",2098,120,120,100,76.8279754954547,8484.45100382343,272
"2098/2099",2099,120,120,100,85.4546509199954,5593.19955692813,340
"2099/2100",2100,120,120,100,81.5269518107216,6142.02613364998,374
