"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,72.8878268826306,11541.1094915743,152
"2002/2003",2003,120,120,100,77.267205697788,10176.9069709914,251
"2003/2004",2004,120,120,100,87.0128651275604,6467.21182801249,243
"2004/2005",2005,121,121,100,89.2259732571844,8269.9711882156,103
"2005/2006",2006,120,120,100,78.7395174676566,11364.1050278645,22
"2006/2007",2007,120,120,100,80.0161202837138,9462.21641334641,267
"2007/2008",2008,120,120,100,82.8213183611688,6377.47041594936,206
"2008/2009",2009,121,121,100,85.1244315063134,7879.08481241262,228
"2009/2010",2010,120,120,100,82.1956125345675,9024.30910537241,177
"2010/2011",2011,120,120,100,86.1633462343661,8488.68588220363,62
"2011/2012",2012,120,120,100,86.7965545402578,7515.05594551144,90
"2012/2013",2013,121,121,100,80.5339932430245,8574.02115361567,214
"2013/2014",2014,120,120,100,85.4889291201118,6821.33863606188,202
"2014/2015",2015,120,120,100,69.6522321042064,8045.18116158433,492
"2015/2016",2016,120,120,100,84.4230113077399,9131.56896568462,133
"2016/2017",2017,121,121,100,74.2088462554302,10506.1798635467,229
"2017/2018",2018,120,120,100,75.9192355416171,9430.46420787321,315
"2018/2019",2019,120,120,100,79.496867842297,6405.84030970605,359
"2019/2020",2020,120,120,100,78.4061348353384,10177.0850813284,96
"2020/2021",2021,121,121,100,77.9805553243636,11497.4633046712,110
"2021/2022",2022,120,120,100,77.5113089931374,6288.99072652985,426
"2022/2023",2023,120,120,100,78.2078492036103,8807.97162581817,168
"2023/2024",2024,120,120,100,83.2576871057468,10421.053602674,24
"2024/2025",2025,121,121,100,84.9438721643205,9633.14770236984,28
"2025/2026",2026,120,120,100,81.4758885175461,9132.46338261291,68
"2026/2027",2027,120,120,100,83.3445424492156,4908.08360017603,509
"2027/2028",2028,120,120,100,84.8087712976439,8420.16646622866,151
"2028/2029",2029,121,121,100,85.4664286832931,7024.71508615324,211
"2029/2030",2030,120,120,100,83.2649671744171,7850.23291299446,205
"2030/2031",2031,120,120,100,81.2073414969263,10004.8433836037,144
"2031/2032",2032,120,120,100,81.8468755345066,7904.12590729957,272
"2032/2033",2033,121,121,100,86.1634231547228,8295.90114652505,173
"2033/2034",2034,120,120,100,86.0707083395414,6385.65581150586,256
"2034/2035",2035,120,120,100,79.7181384520954,6309.80447752681,343
"2035/2036",2036,120,120,100,79.7515271368702,8527.66315794457,140
"2036/2037",2037,121,121,100,83.7293935499847,9471.22041464597,211
"2037/2038",2038,120,120,100,86.4220751241191,4929.37032162258,265
"2038/2039",2039,120,120,100,78.4790016808374,10524.7486234866,231
"2039/2040",2040,120,120,100,78.9676680045259,12468.4222439318,18
"2040/2041",2041,121,121,100,84.7492297706267,9078.35617899336,102
"2041/2042",2042,120,120,100,89.1337682597514,7009.13150331099,92
"2042/2043",2043,120,120,100,65.4626224052308,14845.9135491056,222
"2043/2044",2044,120,120,100,88.1886440123253,5453.53416158538,219
"2044/2045",2045,121,121,100,85.8737967625893,8421.90452746442,154
"2045/2046",2046,120,120,100,83.2109975296389,6690.33774005808,366
