"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,81.9080694964475,8253.90988338707,262
"2002/2003",2003,120,120,100,83.7869301342632,7030.02558721436,331
"2003/2004",2004,120,120,100,86.3031777242447,4427.70899645361,371
"2004/2005",2005,121,121,100,88.9023109965839,5609.35557345377,160
"2005/2006",2006,120,120,100,87.7489823988421,7863.34310025652,49
"2006/2007",2007,120,120,100,85.3460058028726,6268.37409290805,289
"2007/2008",2008,120,120,100,85.1107721100407,4251.32139186957,447
"2008/2009",2009,121,121,100,88.0353724148467,5313.24275787442,358
"2009/2010",2010,120,120,100,87.2187249681601,5990.03095194534,216
"2010/2011",2011,120,120,100,92.2005323702854,5322.9937537862,89
"2011/2012",2012,120,120,100,87.3643078447856,4974.24015692296,160
"2012/2013",2013,121,121,100,86.9669213939969,5527.50181254291,347
"2013/2014",2014,120,120,100,85.062881048226,4431.92869695718,283
"2014/2015",2015,120,120,100,70.9353076875309,5884.65378603199,730
"2015/2016",2016,120,120,100,87.3424631223349,6193.02006143192,189
"2016/2017",2017,121,121,100,79.6829126353809,7428.6030876562,333
"2017/2018",2018,120,120,100,75.8678551021208,6965.82951922668,473
"2018/2019",2019,120,120,100,80.5975731166986,4176.67832270055,509
"2019/2020",2020,120,120,100,84.2181627491,7214.69008633564,228
"2020/2021",2021,121,121,100,85.1444901281593,8278.50393152353,179
"2021/2022",2022,120,120,100,81.3074737284528,3974.25313220243,541
"2022/2023",2023,120,120,100,83.4803405824459,5956.19011118961,260
"2023/2024",2024,120,120,100,88.7055956119225,6828.28397892648,30
"2024/2025",2025,121,121,100,88.226957557617,6667.02290761797,75
"2025/2026",2026,120,120,100,83.2920198423817,6854.02902275487,210
"2026/2027",2027,120,120,100,79.6888787084354,3564.13821349852,802
"2027/2028",2028,120,120,100,85.4421520823748,5921.25745763537,263
"2028/2029",2029,121,121,100,88.7132101886455,4237.60297731357,276
"2029/2030",2030,120,120,100,85.5036836627319,4982.2266527093,268
"2030/2031",2031,120,120,100,85.8742473342904,7284.13783038827,253
"2031/2032",2032,120,120,100,81.4566226221896,5585.00379936257,439
"2032/2033",2033,121,121,100,86.838792809117,5409.78481726907,268
"2033/2034",2034,120,120,100,85.7494746635057,4151.74049609061,398
"2034/2035",2035,120,120,100,81.9551466262774,4097.45148831885,519
"2035/2036",2036,120,120,100,82.159474248986,5979.26568083931,235
