"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,81.4637800633586,8055.64137971252,280
"2002/2003",2003,120,120,100,84.5593123864034,6754.64540173141,312
"2003/2004",2004,120,120,100,85.6940649084694,4230.38231586391,453
"2004/2005",2005,121,121,100,88.277023654094,5410.66228364845,185
"2005/2006",2006,120,120,100,86.5029590383422,7777.18416182284,88
"2006/2007",2007,120,120,100,85.5915507003785,6215.86526550696,327
"2007/2008",2008,120,120,100,84.8742395627169,4101.63677310618,446
"2008/2009",2009,121,121,100,85.5714997144073,5179.07460874389,409
"2009/2010",2010,120,120,100,86.3930396446174,5879.99248783663,276
"2010/2011",2011,120,120,100,89.679758250996,5426.05446137115,122
"2011/2012",2012,120,120,100,88.3699838291063,4782.49407202972,191
"2012/2013",2013,121,121,100,87.4351340790445,5614.24468195939,423
"2013/2014",2014,120,120,100,85.8083514906182,4325.22669967357,326
"2014/2015",2015,120,120,100,73.6137215532583,5665.0005795639,810
"2015/2016",2016,120,120,100,88.9947598407146,5972.00409313582,218
"2016/2017",2017,121,121,100,82.2981390428936,7330.93171586539,392
"2017/2018",2018,120,120,100,78.5556548611626,6644.21779031213,495
"2018/2019",2019,120,120,100,80.1428607873213,4120.36273588007,569
"2019/2020",2020,120,120,100,84.8165230298355,7020.26413750462,253
"2020/2021",2021,121,121,100,83.7354493374673,7976.02973495191,216
"2021/2022",2022,120,120,100,81.3768189566749,4011.50810664031,613
"2022/2023",2023,120,120,100,85.5672428108473,5868.37191543169,326
"2023/2024",2024,120,120,100,88.2774068625349,6874.894412508,98
"2024/2025",2025,121,121,100,90.7547292132863,6360.0094390579,92
"2025/2026",2026,120,120,100,85.3394575684474,6427.34564932785,231
"2026/2027",2027,120,120,100,79.9591972523062,3309.54492211901,807
"2027/2028",2028,120,120,100,86.111659480986,5522.9624476044,288
"2028/2029",2029,121,121,100,86.7478454661641,4437.16222657915,375
"2029/2030",2030,120,120,100,84.1335412463559,5042.29362126463,347
"2030/2031",2031,120,120,100,86.6800168794343,6955.52017129399,268
"2031/2032",2032,120,120,100,82.0084229267941,5354.1600484848,458
"2032/2033",2033,121,121,100,87.9844666031377,5314.78893129947,305
"2033/2034",2034,120,120,100,88.4080636024346,4065.48864248255,448
"2034/2035",2035,120,120,100,81.8211746558763,4052.47506604996,568
"2035/2036",2036,120,120,100,83.8459271166166,5730.96558208531,259
"2036/2037",2037,121,121,100,87.2831440228665,6200.23178119585,297
"2037/2038",2038,120,120,100,84.9958372894898,2936.76934809051,487
"2038/2039",2039,120,120,100,81.7644722280311,7018.67909737164,298
"2039/2040",2040,120,120,100,87.2991758617945,8534.47590604192,96
"2040/2041",2041,121,121,100,89.7209402903272,5999.89860236039,201
"2041/2042",2042,120,120,100,91.8179282390674,4220.26631971821,226
"2042/2043",2043,120,120,100,77.2483387671518,10546.3177879616,257
"2043/2044",2044,120,120,100,87.0400500176638,3307.70839854889,393
"2044/2045",2045,121,121,100,88.6488690291053,5164.1104427469,203
"2045/2046",2046,120,120,100,83.2650288124305,4127.10060616629,580
"2046/2047",2047,120,120,100,84.5686865107764,4181.17431162205,394
"2047/2048",2048,120,120,100,83.7519499022774,4818.47897717403,518
"2048/2049",2049,121,121,100,90.7662316004325,4592.06116480427,199
"2049/2050",2050,120,120,100,86.9726665131757,3172.33574822033,366
"2050/2051",2051,120,120,100,84.4081474882596,2444.14840031322,405
"2051/2052",2052,120,120,100,85.457109480727,5600.44403950963,308
"2052/2053",2053,121,121,100,81.919162985816,7254.41244652634,318
"2053/2054",2054,120,120,100,85.1709751041217,7535.4829036477,272
"2054/2055",2055,120,120,100,87.9951865895555,6966.72139316564,100
"2055/2056",2056,120,120,100,86.8980904813343,5248.62804647442,305
"2056/2057",2057,121,121,100,81.2130251790204,6624.13997763256,146
"2057/2058",2058,120,120,100,83.9137269558059,5480.3670378183,467
"2058/2059",2059,120,120,100,86.8837806018419,6763.24507242208,129
"2059/2060",2060,120,120,100,81.2004227031139,3827.67551605031,557
"2060/2061",2061,121,121,100,88.9978276559368,6753.02205109084,232
"2061/2062",2062,120,120,100,77.2354231226182,7669.10076541081,285
"2062/2063",2063,120,120,100,83.4106962223323,3729.51658888813,529
"2063/2064",2064,120,120,100,85.3824427662421,3605.22868157737,470
"2064/2065",2065,121,121,100,81.9695463478201,6089.25634936802,481
"2065/2066",2066,120,120,100,86.6340883885787,6299.24582382478,282
"2066/2067",2067,120,120,100,89.334638645294,5467.3014704613,109
"2067/2068",2068,120,120,100,85.4981939955651,3215.27358379867,513
"2068/2069",2069,121,121,100,85.6704444032785,8399.31746558938,243
"2069/2070",2070,120,120,100,83.1697674807692,5609.07022569794,402
"2070/2071",2071,120,120,100,85.1511444733478,5280.84333972633,361
"2071/2072",2072,120,120,100,84.986954179567,5249.78587574139,303
"2072/2073",2073,121,121,100,81.5936368672847,7413.64327037334,266
"2073/2074",2074,120,120,100,86.154131113135,7651.80280997697,228
"2074/2075",2075,120,120,100,74.3329396150239,7709.77980815526,524
"2075/2076",2076,120,120,100,80.176641298196,7830.1262737615,353
"2076/2077",2077,121,121,100,87.7125257502685,7439.21243456751,86
"2077/2078",2078,120,120,100,84.9461688692045,3399.42318671383,451
"2078/2079",2079,120,120,100,86.500942847375,3264.31659328192,575
"2079/2080",2080,120,120,100,88.138584332668,5423.5960460864,235
"2080/2081",2081,121,121,100,88.0216880239259,7191.11064300127,100
"2081/2082",2082,120,120,100,84.0812307389315,6477.0762995081,341
"2082/2083",2083,120,120,100,86.9466076353438,5915.89620726928,215
"2083/2084",2084,120,120,100,82.9330116687797,7938.51203483343,261
"2084/2085",2085,121,121,100,83.2428059503127,3603.17115304712,481
"2085/2086",2086,120,120,100,85.8210777249369,5048.39727185946,328
"2086/2087",2087,120,120,100,84.3578886629602,4809.38279627543,436
"2087/2088",2088,120,120,100,88.1905015284738,4389.95645962562,272
"2088/2089",2089,121,121,100,83.8625336395253,5867.66719391011,464
"2089/2090",2090,120,120,100,89.4936154620318,4624.95549591538,326
"2090/2091",2091,120,120,100,85.7126510539438,2861.37718584947,508
"2091/2092",2092,120,120,100,85.7774099938633,4483.61418448389,437
"2092/2093",2093,121,121,100,86.3502189222454,3784.63027469628,434
"2093/2094",2094,120,120,100,85.7418353682424,6922.89762266818,270
"2094/2095",2095,120,120,100,85.1404358459749,5934.67903089244,420
"2095/2096",2096,120,120,100,88.3008081025528,5127.8240979854,185
"2096/2097",2097,121,121,100,82.1936786256811,8701.70558977965,173
"2097/2098",2098,120,120,100,76.8698143617221,7728.20180777833,368
"2098/2099",2099,120,120,100,85.4531472422732,5030.83236726653,400
"2099/2100",2100,120,120,100,82.3680020438132,5448.04547598865,437
