"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,79.1515068905724,9812.90423810383,206
"2002/2003",2003,120,120,100,83.4933033265658,8425.14317054144,271
"2003/2004",2004,120,120,100,86.568737090639,5224.36116922891,282
"2004/2005",2005,121,121,100,88.2541029935977,6893.56760711299,147
"2005/2006",2006,120,120,100,82.8343557325858,9591.95678410184,36
"2006/2007",2007,120,120,100,83.1608443348172,7760.84139448742,275
"2007/2008",2008,120,120,100,83.5635138795001,5235.57164101605,306
"2008/2009",2009,121,121,100,87.6664151298912,6552.35883213824,304
"2009/2010",2010,120,120,100,86.9909574830322,7341.04845560505,188
"2010/2011",2011,120,120,100,88.7223848384187,6783.52651368594,66
"2011/2012",2012,120,120,100,86.5313954252504,6143.26349894621,115
"2012/2013",2013,121,121,100,86.4874524776233,6827.26204344817,251
"2013/2014",2014,120,120,100,85.7335353638787,5624.17364284827,247
"2014/2015",2015,120,120,100,70.5420578061376,6900.02750456834,602
"2015/2016",2016,120,120,100,86.6211950596537,7486.36117563513,145
"2016/2017",2017,121,121,100,78.5630784566133,8859.65951744048,273
"2017/2018",2018,120,120,100,77.3986757316338,8100.99959314056,388
"2018/2019",2019,120,120,100,80.9177497341525,5175.1242823787,436
"2019/2020",2020,120,120,100,83.0057546360254,8620.75683432329,160
"2020/2021",2021,121,121,100,81.3617568222535,9787.58787688147,146
"2021/2022",2022,120,120,100,79.5067149206134,5011.07160830451,475
"2022/2023",2023,120,120,100,78.9177108942104,7326.79006106337,213
"2023/2024",2024,120,120,100,87.0053481382088,8489.92858516914,31
"2024/2025",2025,121,121,100,87.6241080771983,8104.34454312362,40
"2025/2026",2026,120,120,100,81.7830426802734,7902.77740213112,135
"2026/2027",2027,120,120,100,81.9343228498046,4241.48941046186,651
"2027/2028",2028,120,120,100,83.7385897084096,7150.27415346238,215
"2028/2029",2029,121,121,100,88.0820099178641,5471.26532716211,241
"2029/2030",2030,120,120,100,84.2467494738439,6306.42617585417,223
"2030/2031",2031,120,120,100,84.3863274575965,8490.69932972034,192
"2031/2032",2032,120,120,100,82.4737873823133,6539.70790917473,335
"2032/2033",2033,121,121,100,85.8709680229276,6800.9394408646,232
"2033/2034",2034,120,120,100,86.2909569921421,5183.27996551711,327
"2034/2035",2035,120,120,100,81.8686619569753,5127.57960329205,432
"2035/2036",2036,120,120,100,81.7952935581625,7175.02414693823,186
"2036/2037",2037,121,121,100,85.8580479520078,7918.98599995999,246
"2037/2038",2038,120,120,100,86.6866536530761,3891.45341971423,329
"2038/2039",2039,120,120,100,80.5680492741567,8726.99985658377,259
"2039/2040",2040,120,120,100,81.0634872733517,10581.2258363958,28
"2040/2041",2041,121,121,100,87.8513017197565,7572.54477442894,118
"2041/2042",2042,120,120,100,91.4852216993922,5535.32112195762,121
"2042/2043",2043,120,120,100,72.2871790244672,12653.6285674786,222
"2043/2044",2044,120,120,100,90.8124600013853,4125.77037836518,266
"2044/2045",2045,121,121,100,88.9570341432391,6679.48257090012,165
"2045/2046",2046,120,120,100,84.0792480698474,5289.7744546649,442
"2046/2047",2047,120,120,100,85.2284290703237,5395.36309848912,309
"2047/2048",2048,120,120,100,82.2204266804565,6146.07247145334,443
"2048/2049",2049,121,121,100,91.4113092074203,5899.76898040203,106
"2049/2050",2050,120,120,100,88.6563448532652,4153.86867750157,230
"2050/2051",2051,120,120,100,87.4792907544033,3153.56500861142,296
"2051/2052",2052,120,120,100,81.8550868431239,7007.6000040737,204
"2052/2053",2053,121,121,100,80.8180263497161,8968.6237501693,234
"2053/2054",2054,120,120,100,81.0111170541413,9376.55238773068,211
"2054/2055",2055,120,120,100,84.3424451471983,8645.47157165036,36
"2055/2056",2056,120,120,100,83.9681962006525,6619.60716842068,203
"2056/2057",2057,121,121,100,82.5734993437591,8071.70059037115,88
"2057/2058",2058,120,120,100,81.4442073974915,6861.73373230454,354
"2058/2059",2059,120,120,100,87.1466264390656,8399.42021629959,79
"2059/2060",2060,120,120,100,82.7288908972278,4737.0877704192,392
"2060/2061",2061,121,121,100,84.9774426653767,8505.5386202652,165
"2061/2062",2062,120,120,100,76.3248944894895,9298.43447714392,170
"2062/2063",2063,120,120,100,85.0303020919,4557.85624695383,413
"2063/2064",2064,120,120,100,88.1375087400293,4466.0516256839,334
"2064/2065",2065,121,121,100,80.7758585439569,7417.89350588899,370
"2065/2066",2066,120,120,100,83.9152575115022,7852.03859949019,187
"2066/2067",2067,120,120,100,89.5558191918899,6911.7014532201,52
"2067/2068",2068,120,120,100,86.5078552911727,4184.19811012968,367
"2068/2069",2069,121,121,100,79.3059889750621,10470.2401247444,156
"2069/2070",2070,120,120,100,81.3277443264469,6996.72402210534,304
"2070/2071",2071,120,120,100,84.1359173008859,6718.46608858462,277
"2071/2072",2072,120,120,100,84.857572462699,6530.91676019132,166
"2072/2073",2073,121,121,100,78.5031641149126,8833.24524319824,175
"2073/2074",2074,120,120,100,81.029039739522,9652.80108043365,194
"2074/2075",2075,120,120,100,74.0030571170573,9248.16981154121,472
"2075/2076",2076,120,120,100,78.8046676655558,9545.78286604304,252
"2076/2077",2077,121,121,100,85.6860847983335,9238.4450467471,39
"2077/2078",2078,120,120,100,88.1318509730572,4254.44649625849,283
"2078/2079",2079,120,120,100,86.9034036789435,4432.7768217437,472
"2079/2080",2080,120,120,100,87.0589584396712,6822.90109556168,174
"2080/2081",2081,121,121,100,86.4449441163615,8841.59885919839,54
"2081/2082",2082,120,120,100,83.8777203440732,8085.00911900401,258
"2082/2083",2083,120,120,100,84.0800089077038,7345.7117454987,128
"2083/2084",2084,120,120,100,80.7970212836826,9689.21073459089,225
"2084/2085",2085,121,121,100,83.7438247145164,4594.4863532465,333
"2085/2086",2086,120,120,100,86.330049696915,6454.30542513542,254
"2086/2087",2087,120,120,100,84.4882397237961,6014.81035938673,345
"2087/2088",2088,120,120,100,88.1756506320471,5645.17942990363,171
"2088/2089",2089,121,121,100,81.1802278307568,7219.81574520841,359
"2089/2090",2090,120,120,100,88.5914189530977,5868.68870373629,238
"2090/2091",2091,120,120,100,86.8404297650286,3768.96021011099,392
"2091/2092",2092,120,120,100,85.7566649422279,5648.07638588175,280
"2092/2093",2093,121,121,100,89.6383834554526,4735.35683192406,257
"2093/2094",2094,120,120,100,81.6087989156786,8715.68634908739,201
"2094/2095",2095,120,120,100,82.7351493528204,7473.10275003407,318
"2095/2096",2096,120,120,100,87.3062083166897,6360.67387375422,102
"2096/2097",2097,121,121,100,80.0432247156732,10361.7786505744,113
"2097/2098",2098,120,120,100,74.974085177073,9228.37287603598,231
"2098/2099",2099,120,120,100,84.3258402902193,6365.01583963819,312
"2099/2100",2100,120,120,100,81.9269132736972,6835.00609983131,367
