"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,82.4429816111557,7912.76729803374,293
"2002/2003",2003,120,120,100,86.1154064924066,6028.65879595539,323
"2003/2004",2004,120,120,100,86.5296839032969,4083.17362258735,377
"2004/2005",2005,121,121,100,86.3190271800593,5813.89386301953,215
"2005/2006",2006,120,120,100,81.4100963742012,8362.6161322688,111
"2006/2007",2007,120,120,100,84.252399582697,6124.55137407308,314
"2007/2008",2008,120,120,100,85.6615938660369,3808.23401555413,417
"2008/2009",2009,121,121,100,85.0683719006818,5417.61444155057,446
"2009/2010",2010,120,120,100,85.712737767147,5813.2262005196,227
"2010/2011",2011,120,120,100,87.1593301964801,5747.53481912508,137
"2011/2012",2012,120,120,100,88.1143238050117,4847.46587430395,211
"2012/2013",2013,121,121,100,89.4609818039851,4716.79677547526,297
"2013/2014",2014,120,120,100,83.4232326975039,4659.68528203585,392
"2014/2015",2015,120,120,100,76.7398069945691,4878.82578532456,679
"2015/2016",2016,120,120,100,90.0432531759866,5480.88998325251,173
"2016/2017",2017,121,121,100,81.0564464854228,6958.05868679308,343
"2017/2018",2018,120,120,100,77.8306625026767,6355.70797524718,455
"2018/2019",2019,120,120,100,81.5689594117075,3510.94442047179,542
"2019/2020",2020,120,120,100,84.1331775169601,6968.46383723407,281
"2020/2021",2021,121,121,100,82.5883704801627,8161.74143722304,234
"2021/2022",2022,120,120,100,81.4578620402513,3444.2124940888,599
"2022/2023",2023,120,120,100,83.9679080466103,5403.29830303416,306
"2023/2024",2024,120,120,100,89.6904304647255,6442.76917681424,79
"2024/2025",2025,121,121,100,87.5943424883485,6622.61545248865,116
"2025/2026",2026,120,120,100,80.5259053363366,7046.95106805163,307
"2026/2027",2027,120,120,100,77.5248411661132,3879.85054237349,927
"2027/2028",2028,120,120,100,83.768682661721,5869.44988946524,329
"2028/2029",2029,121,121,100,88.9699584022842,3946.13501809724,320
"2029/2030",2030,120,120,100,86.3103516726055,4550.13650686131,273
"2030/2031",2031,120,120,100,86.2423348382436,6797.00807703962,279
"2031/2032",2032,120,120,100,84.1420300524951,4770.48655721731,424
"2032/2033",2033,121,121,100,84.9384175205441,5419.19374444569,294
"2033/2034",2034,120,120,100,85.3870097667404,4065.23596059065,469
"2034/2035",2035,120,120,100,84.2749409177204,3510.18249189109,550
"2035/2036",2036,120,120,100,85.9687900602585,5526.87853727397,255
"2036/2037",2037,121,121,100,86.8163688792883,6093.55745483004,308
"2037/2038",2038,120,120,100,83.5189744305544,2963.09933351027,480
"2038/2039",2039,120,120,100,85.0781325025209,6875.21923467563,310
"2039/2040",2040,120,120,100,86.8389582512073,8323.41000742,57
"2040/2041",2041,121,121,100,90.4734422161009,5626.58974871784,160
"2041/2042",2042,120,120,100,90.6838897449043,4084.71962505346,152
"2042/2043",2043,120,120,100,78.1334980151005,9795.52042844566,207
"2043/2044",2044,120,120,100,88.7226256448557,3004.84318520688,377
"2044/2045",2045,121,121,100,91.6224351903711,4752.13983930461,184
"2045/2046",2046,120,120,100,86.458522756182,3406.19713052502,513
"2046/2047",2047,120,120,100,86.0024679186517,3865.30209012143,377
"2047/2048",2048,120,120,100,85.3664020780207,4062.29632057715,464
"2048/2049",2049,121,121,100,90.6324429033293,4524.69897254137,178
"2049/2050",2050,120,120,100,89.6629425642068,2673.51126718801,269
"2050/2051",2051,120,120,100,85.0290608874784,2390.04737057351,439
"2051/2052",2052,120,120,100,82.6372271985256,5788.57784400182,379
"2052/2053",2053,121,121,100,83.3653915234581,6847.49356790213,343
"2053/2054",2054,120,120,100,83.8790518489441,7706.45036395732,288
"2054/2055",2055,120,120,100,88.8334128378638,6649.58128786692,88
"2055/2056",2056,120,120,100,88.9286239757103,4674.86145219067,263
"2056/2057",2057,121,121,100,82.2954914077745,6634.51592386561,174
"2057/2058",2058,120,120,100,82.2319644851823,5465.16672566719,453
"2058/2059",2059,120,120,100,86.474439584993,6773.15756641608,149
"2059/2060",2060,120,120,100,83.6778871049446,3013.38264068123,491
"2060/2061",2061,121,121,100,87.8767309262057,6460.04387187585,211
"2061/2062",2062,120,120,100,78.2237292374884,7298.0474770586,273
"2062/2063",2063,120,120,100,83.3101569348291,3524.03190157469,503
"2063/2064",2064,120,120,100,87.3406437428894,3200.99116423912,451
"2064/2065",2065,121,121,100,83.8509445174241,5845.15785480011,466
"2065/2066",2066,120,120,100,81.5521451118784,7011.42199600209,365
"2066/2067",2067,120,120,100,90.8056796719284,5085.4994751187,96
"2067/2068",2068,120,120,100,83.9336975822735,3514.71569965687,556
"2068/2069",2069,121,121,100,79.1239052585697,9069.34799830895,247
"2069/2070",2070,120,120,100,84.4189470954407,5409.6695865076,423
"2070/2071",2071,120,120,100,83.3684296102037,5337.63943450246,337
"2071/2072",2072,120,120,100,85.4413463734618,4989.63892834075,268
"2072/2073",2073,121,121,100,83.1681187352133,6990.01754238084,232
"2073/2074",2074,120,120,100,79.7232543502378,8282.78184215445,242
"2074/2075",2075,120,120,100,74.8695800265377,7419.52415285911,508
"2075/2076",2076,120,120,100,79.7560938297247,7781.19076302648,365
"2076/2077",2077,121,121,100,86.3576267925491,7467.1271013869,93
"2077/2078",2078,120,120,100,88.3837600058814,3087.0531902872,410
"2078/2079",2079,120,120,100,83.5397234986413,3653.02724610921,599
"2079/2080",2080,120,120,100,86.8794521669151,5613.77363602538,229
"2080/2081",2081,121,121,100,87.8931165711874,7204.69086490199,122
"2081/2082",2082,120,120,100,86.8396922021257,5922.88276653551,285
"2082/2083",2083,120,120,100,89.2454555630557,5304.61110932846,164
"2083/2084",2084,120,120,100,84.6687197309129,7514.89296051487,254
"2084/2085",2085,121,121,100,80.2265669971021,3792.26604875363,465
"2085/2086",2086,120,120,100,83.9689263246,4851.27631625161,359
"2086/2087",2087,120,120,100,89.0971176482763,3907.32261948753,369
"2087/2088",2088,120,120,100,88.9597895060087,4095.0209914241,249
"2088/2089",2089,121,121,100,84.4241596125557,5285.51006849296,425
"2089/2090",2090,120,120,100,90.5788779529757,4014.92922766972,247
"2090/2091",2091,120,120,100,85.6419129137103,2722.27295222133,506
