"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,79.0863912797577,9552.32021279554,212
"2002/2003",2003,120,120,100,83.1098571279288,8266.37683424016,280
"2003/2004",2004,120,120,100,86.6097302181284,4991.03028613358,316
"2004/2005",2005,121,121,100,88.4030613894519,6583.50186644617,154
"2005/2006",2006,120,120,100,84.8024165401572,9130.34371659847,50
"2006/2007",2007,120,120,100,84.1278762219403,7482.56218181161,281
"2007/2008",2008,120,120,100,83.2446380790569,5089.61812260223,333
"2008/2009",2009,121,121,100,86.6845694914682,6293.01280824118,339
"2009/2010",2010,120,120,100,87.269852853145,6974.7688947611,212
"2010/2011",2011,120,120,100,88.9066498711372,6489.19427761296,77
"2011/2012",2012,120,120,100,86.5702889538115,5909.19528978202,140
"2012/2013",2013,121,121,100,83.9439671424343,6790.22812510619,292
"2013/2014",2014,120,120,100,85.653571052713,5323.73625017633,246
"2014/2015",2015,120,120,100,69.3932783222128,6917.81606454111,651
"2015/2016",2016,120,120,100,85.1992612812605,7344.18400109373,166
"2016/2017",2017,121,121,100,79.5888807303641,8631.42979557649,290
"2017/2018",2018,120,120,100,78.1189656608508,7869.45270156162,411
"2018/2019",2019,120,120,100,79.1368383322479,5195.5412475781,452
"2019/2020",2020,120,120,100,83.5449134170312,8332.55640461994,172
"2020/2021",2021,121,121,100,83.566080802806,9348.28879039246,149
"2021/2022",2022,120,120,100,81.051927731216,4954.06711518927,495
"2022/2023",2023,120,120,100,78.8950128985116,7267.61252030847,234
"2023/2024",2024,120,120,100,87.1540755527617,8396.33195060422,68
"2024/2025",2025,121,121,100,88.1963821358927,7814.68226177222,46
"2025/2026",2026,120,120,100,85.2843715976396,7364.77173224627,123
"2026/2027",2027,120,120,100,81.5634574425567,3821.41775403288,638
"2027/2028",2028,120,120,100,84.039440542103,6825.28167828312,221
"2028/2029",2029,121,121,100,87.4737201873554,5329.36040693591,259
"2029/2030",2030,120,120,100,84.3380266767595,6182.24162487639,259
"2030/2031",2031,120,120,100,85.7822824762834,8120.72834550496,200
"2031/2032",2032,120,120,100,81.7622302965365,6352.70555250812,358
"2032/2033",2033,121,121,100,87.9167722976845,6503.24312113691,248
"2033/2034",2034,120,120,100,87.2484868835991,4958.12218948407,341
"2034/2035",2035,120,120,100,80.1946107780113,5105.7123837308,460
"2035/2036",2036,120,120,100,82.707237763756,6933.98029911285,205
"2036/2037",2037,121,121,100,85.8289833867912,7656.91824456677,249
"2037/2038",2038,120,120,100,85.8055186598876,3759.38730835635,350
"2038/2039",2039,120,120,100,81.4293821955735,8568.70150687359,276
"2039/2040",2040,120,120,100,83.2492090928208,10235.7960281819,44
"2040/2041",2041,121,121,100,88.3910165585821,7390.1292138882,135
"2041/2042",2042,120,120,100,90.9476416252,5342.47347896174,144
"2042/2043",2043,120,120,100,74.0067946773961,12434.3562454125,241
"2043/2044",2044,120,120,100,88.9146067413667,4043.47287845099,274
"2044/2045",2045,121,121,100,88.5372138454077,6532.39413131727,178
"2045/2046",2046,120,120,100,83.2739449451074,5280.85829071933,472
"2046/2047",2047,120,120,100,83.8630607832947,5326.76756256446,338
"2047/2048",2048,120,120,100,82.1002570730434,6068.10583999613,458
"2048/2049",2049,121,121,100,92.067101732202,5656.65503976308,115
"2049/2050",2050,120,120,100,87.9591480019726,4098.90380737884,273
"2050/2051",2051,120,120,100,86.7635761534475,2997.93418806233,305
"2051/2052",2052,120,120,100,81.3566190360443,6806.17559963418,211
"2052/2053",2053,121,121,100,79.7360378552812,8773.02073279722,258
"2053/2054",2054,120,120,100,82.5898723324972,8892.00280438829,209
"2054/2055",2055,120,120,100,84.144683878535,8421.36170086497,43
