"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,83.6281388684273,5717.27576694302,381
"2002/2003",2003,120,120,100,82.9336736672535,4871.41719040093,445
"2003/2004",2004,120,120,100,84.2830416417233,2668.85201475129,656
"2004/2005",2005,121,121,100,88.5736494616801,3549.86998524866,323
"2005/2006",2006,120,120,100,88.1886643015627,5163.03540352109,179
"2006/2007",2007,120,120,100,85.8113342735953,4222.79477587662,431
"2007/2008",2008,120,120,100,79.6546879952958,2896.77605510812,685
"2008/2009",2009,121,121,100,83.7353639972421,3410.9711451311,537
"2009/2010",2010,120,120,100,86.5688714440207,3759.9683005336,413
"2010/2011",2011,120,120,100,89.1956802812463,3293.4898260273,194
"2011/2012",2012,120,120,100,85.8744624315862,3190.75709463959,357
"2012/2013",2013,121,121,100,85.9284961039602,3823.75977621251,586
"2013/2014",2014,120,120,100,83.3838980802614,2835.30614724138,548
"2014/2015",2015,120,120,100,68.2739782041042,4681.60731975501,1127
"2015/2016",2016,120,120,100,87.2687299266117,4155.39491438738,356
"2016/2017",2017,121,121,100,80.9095503799649,5462.62514368002,554
"2017/2018",2018,120,120,100,75.0615215692155,4847.25584943034,672
"2018/2019",2019,120,120,100,77.025983691728,3031.81572544109,789
"2019/2020",2020,120,120,100,84.6624133679561,5010.76564626163,438
"2020/2021",2021,121,121,100,86.4666047815326,5570.55733085889,280
"2021/2022",2022,120,120,100,76.888306301053,2910.63792909449,837
"2022/2023",2023,120,120,100,80.1740369564018,4508.6956918498,517
"2023/2024",2024,120,120,100,88.9666014087211,4745.8800030034,211
"2024/2025",2025,121,121,100,89.251601836083,4318.11214427953,239
"2025/2026",2026,120,120,100,86.0199957701116,4292.83090546099,370
"2026/2027",2027,120,120,100,77.1037584176565,2043.15390197351,1021
"2027/2028",2028,120,120,100,83.5306511839626,3895.12804261618,474
"2028/2029",2029,121,121,100,85.8139418131982,2861.15212069685,543
"2029/2030",2030,120,120,100,83.829267176453,3462.34796075244,540
"2030/2031",2031,120,120,100,85.9006033356227,4842.96889982582,406
"2031/2032",2032,120,120,100,79.8626150505252,3825.952437039,622
"2032/2033",2033,121,121,100,85.421947601385,3557.73120259284,475
"2033/2034",2034,120,120,100,83.2108588005467,2611.66456800327,678
"2034/2035",2035,120,120,100,78.1173911674759,2982.04125209013,767
"2035/2036",2036,120,120,100,82.8467069445751,4199.47538352339,417
"2036/2037",2037,121,121,100,87.2704569770576,4298.04712092271,411
"2037/2038",2038,120,120,100,81.0099372378481,2002.76121744188,749
"2038/2039",2039,120,120,100,84.2489425260665,4927.13714434206,388
"2039/2040",2040,120,120,100,88.9474199648212,6060.52327912161,216
"2040/2041",2041,121,121,100,87.7912369740407,4212.37039499683,359
"2041/2042",2042,120,120,100,88.677709158721,2614.12979002157,370
"2042/2043",2043,120,120,100,81.5895668497997,7852.95571460668,329
"2043/2044",2044,120,120,100,83.9522366688516,2002.72947807144,582
"2044/2045",2045,121,121,100,86.3253875593928,3472.08198409248,316
"2045/2046",2046,120,120,100,81.0314332851367,2935.69883684302,765
"2046/2047",2047,120,120,100,82.2730561029957,3056.64057103731,580
"2047/2048",2048,120,120,100,80.6468526282933,3283.32971161371,643
"2048/2049",2049,121,121,100,89.4490869949777,2912.82258970151,335
"2049/2050",2050,120,120,100,83.0713467515989,2074.21260255901,565
"2050/2051",2051,120,120,100,80.6504373459629,1570.8799254382,680
"2051/2052",2052,120,120,100,82.0702406856526,4105.81445781561,498
"2052/2053",2053,121,121,100,83.1502428351523,5431.54989220155,468
"2053/2054",2054,120,120,100,87.0162571745577,5218.43922693236,334
"2054/2055",2055,120,120,100,87.1774516265286,4866.11698874692,254
"2055/2056",2056,120,120,100,83.5523405314807,3833.35527998488,521
"2056/2057",2057,121,121,100,78.4526638988473,5200.66439669486,363
"2057/2058",2058,120,120,100,81.3604998508845,3759.50387298735,635
"2058/2059",2059,120,120,100,88.3871642458153,4570.58741360251,238
"2059/2060",2060,120,120,100,77.3620790123368,2749.72180244233,846
"2060/2061",2061,121,121,100,85.8949159602598,4814.50514946133,384
"2061/2062",2062,120,120,100,72.9821800946538,6116.45944439806,543
"2062/2063",2063,120,120,100,80.2622863726119,2340.83232549159,697
"2063/2064",2064,120,120,100,84.0912601366726,2170.21944931289,672
"2064/2065",2065,121,121,100,82.5016873791992,4063.87467940338,613
"2065/2066",2066,120,120,100,85.2618189615969,4079.90678421408,388
"2066/2067",2067,120,120,100,88.1842407753556,3706.40884051099,263
"2067/2068",2068,120,120,100,83.0941025173634,2000.68289899081,717
"2068/2069",2069,121,121,100,87.7331737774948,5874.39803798031,365
"2069/2070",2070,120,120,100,80.1231065245684,4065.01130842697,615
"2070/2071",2071,120,120,100,83.3905899971342,3560.40747765545,498
"2071/2072",2072,120,120,100,83.2347916828239,3623.77447511256,500
"2072/2073",2073,121,121,100,83.4276394815079,5312.5880586477,421
"2073/2074",2074,120,120,100,86.9086444257919,5330.64862739481,285
"2074/2075",2075,120,120,100,71.8667072275111,6221.82604671828,648
