"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,81.7141724229186,8671.32943431483,233
"2002/2003",2003,120,120,100,83.3124371860736,7587.24761558956,301
"2003/2004",2004,120,120,100,85.8286679059501,4485.29044863692,420
"2004/2005",2005,121,121,100,89.9152459418145,5770.1547171374,166
"2005/2006",2006,120,120,100,85.3735728112161,8301.97437643126,78
"2006/2007",2007,120,120,100,83.3638274406719,6896.96585172164,308
"2007/2008",2008,120,120,100,83.8014445577078,4608.35678471159,365
"2008/2009",2009,121,121,100,86.3462690681072,5555.88880989712,367
"2009/2010",2010,120,120,100,86.8759313527985,6391.62585786753,282
"2010/2011",2011,120,120,100,89.249394805867,5951.13888300594,95
"2011/2012",2012,120,120,100,87.9966682802365,5286.85551422671,169
"2012/2013",2013,121,121,100,85.6917000633266,6263.18349520001,378
"2013/2014",2014,120,120,100,85.6972287186311,4781.27253409592,296
"2014/2015",2015,120,120,100,70.0591323165695,6507.12657044164,806
"2015/2016",2016,120,120,100,85.4238866655878,6623.33830269263,209
"2016/2017",2017,121,121,100,78.5040339228303,8182.42118406529,374
"2017/2018",2018,120,120,100,78.9272575382524,7086.49010713282,449
"2018/2019",2019,120,120,100,78.6899476654203,4708.25689762621,512
"2019/2020",2020,120,120,100,84.2982400045848,7673.05629957444,211
"2020/2021",2021,121,121,100,84.1281881263785,8535.58747361903,190
"2021/2022",2022,120,120,100,79.5753422098974,4713.34271107288,583
"2022/2023",2023,120,120,100,79.2975508936834,6793.67199850106,289
"2023/2024",2024,120,120,100,87.272256082776,7664.51476571197,99
"2024/2025",2025,121,121,100,89.6956653328116,6930.03382257442,64
"2025/2026",2026,120,120,100,85.401261641161,6592.062007637,154
"2026/2027",2027,120,120,100,82.0040553746189,3291.75768592814,674
"2027/2028",2028,120,120,100,84.6005582008074,6159.33915496198,266
"2028/2029",2029,121,121,100,86.8576226068667,4968.21446362836,347
"2029/2030",2030,120,120,100,83.3490208686703,5678.67067876458,339
"2030/2031",2031,120,120,100,85.5450825268604,7375.19661561772,231
"2031/2032",2032,120,120,100,82.6603138681758,5848.70676972857,389
"2032/2033",2033,121,121,100,86.6201175415763,5904.49840114824,296
"2033/2034",2034,120,120,100,87.346109347327,4378.00653643301,393
"2034/2035",2035,120,120,100,80.3249506467437,4641.96382356808,517
"2035/2036",2036,120,120,100,84.4574917619821,6362.15532674966,232
"2036/2037",2037,121,121,100,87.1040215929415,6865.19243570743,275
"2037/2038",2038,120,120,100,84.2351276420623,3432.70145663526,459
"2038/2039",2039,120,120,100,81.9233428695488,7850.73228150373,301
"2039/2040",2040,120,120,100,85.0452261693499,9330.77378083812,85
"2040/2041",2041,121,121,100,86.2032891490444,6547.25495233014,173
"2041/2042",2042,120,120,100,89.8684606535044,4675.77730721561,192
"2042/2043",2043,120,120,100,75.6140520046365,11558.3302991563,265
"2043/2044",2044,120,120,100,86.8004346822972,3657.37909142906,339
"2044/2045",2045,121,121,100,86.7985773109949,5972.02913142508,214
"2045/2046",2046,120,120,100,81.3135522042694,4878.88149022963,528
"2046/2047",2047,120,120,100,84.1841226151719,4841.61150725838,377
"2047/2048",2048,120,120,100,80.5888646248441,5617.85623583244,506
"2048/2049",2049,121,121,100,91.9337570788912,5035.74698349508,157
"2049/2050",2050,120,120,100,86.0763107457815,3843.51446861727,363
"2050/2051",2051,120,120,100,84.9315125203966,2664.41614864487,356
"2051/2052",2052,120,120,100,83.0850838540227,6084.45856525796,242
"2052/2053",2053,121,121,100,82.8773930587413,7896.55022955779,280
"2053/2054",2054,120,120,100,82.9928441320462,8098.66711618006,237
"2054/2055",2055,120,120,100,85.0956560316017,7783.70992598124,75
"2055/2056",2056,120,120,100,84.5040338166964,5986.28742238786,279
"2056/2057",2057,121,121,100,81.8790495907415,7221.86172694154,120
"2057/2058",2058,120,120,100,81.0922100743301,6060.25491373613,440
"2058/2059",2059,120,120,100,87.2585138284121,7338.11761080613,86
"2059/2060",2060,120,120,100,81.3912825821817,4452.52337053325,532
"2060/2061",2061,121,121,100,85.4664247787314,7674.54325928725,234
"2061/2062",2062,120,120,100,73.1895344331779,8792.77352936566,313
"2062/2063",2063,120,120,100,83.9104506513468,3993.44135900494,487
"2063/2064",2064,120,120,100,87.0662028563165,3784.82374280505,385
"2064/2065",2065,121,121,100,81.5628820285237,6759.37306166533,445
"2065/2066",2066,120,120,100,86.9558425470113,6483.42216930911,192
"2066/2067",2067,120,120,100,88.524750065335,6131.00079659745,118
"2067/2068",2068,120,120,100,85.1310790123262,3583.28520348202,463
"2068/2069",2069,121,121,100,82.0023515244975,9208.03536416683,238
"2069/2070",2070,120,120,100,81.1532958815405,6255.51145354379,372
"2070/2071",2071,120,120,100,84.3779799044059,5982.16089661699,363
"2071/2072",2072,120,120,100,85.522101275219,5621.33054813556,276
"2072/2073",2073,121,121,100,80.0716705171999,7938.92667441536,239
"2073/2074",2074,120,120,100,83.6273279342349,8326.17080803309,214
"2074/2075",2075,120,120,100,74.0810291163343,8493.07614184637,517
"2075/2076",2076,120,120,100,81.2251959708956,8358.75089807156,320
"2076/2077",2077,121,121,100,86.8731246896659,8155.25747316051,69
"2077/2078",2078,120,120,100,86.5800565441659,3580.11649245117,389
"2078/2079",2079,120,120,100,86.0290631968765,3721.57552267332,533
"2079/2080",2080,120,120,100,85.903646791201,5903.93061032798,227
"2080/2081",2081,121,121,100,86.9316788763044,7748.33694898337,68
"2081/2082",2082,120,120,100,81.7719154928673,7603.10567795672,361
"2082/2083",2083,120,120,100,82.9545551907213,6775.29306099191,207
"2083/2084",2084,120,120,100,81.6848556332643,8860.54658120219,268
"2084/2085",2085,121,121,100,83.8066203925991,3815.30503038038,439
"2085/2086",2086,120,120,100,85.137644797629,5711.95464586094,305
"2086/2087",2087,120,120,100,81.7172801412635,5771.88952186424,432
"2087/2088",2088,120,120,100,88.2163043804285,5030.41858534422,280
"2088/2089",2089,121,121,100,79.7824373031526,6686.31304043159,433
"2089/2090",2090,120,120,100,88.108254199904,5309.62463832088,320
"2090/2091",2091,120,120,100,85.1403296918688,3459.19558964949,470
"2091/2092",2092,120,120,100,84.2696057427183,5333.36732446216,419
"2092/2093",2093,121,121,100,86.0865478798314,4264.71244899556,410
"2093/2094",2094,120,120,100,81.7484547186941,7727.45116578974,231
"2094/2095",2095,120,120,100,82.4684743389134,6827.20233647712,397
"2095/2096",2096,120,120,100,86.7369072126894,5893.23233028688,166
"2096/2097",2097,121,121,100,78.5030792340931,9635.93733954709,157
"2097/2098",2098,120,120,100,74.4357467014433,8483.66026043799,320
"2098/2099",2099,120,120,100,82.7957344969982,5880.16776576918,394
"2099/2100",2100,120,120,100,81.5092137502961,6136.44168992061,418
