"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,80.1851017241225,8132.98615827812,220
"2002/2003",2003,120,120,100,84.2381812140869,6913.93918254576,306
"2003/2004",2004,120,120,100,87.352277816716,3934.78750300483,322
"2004/2005",2005,121,121,100,90.5109928879508,5422.8845271407,157
"2005/2006",2006,120,120,100,87.4414575316335,7805.078413182,57
"2006/2007",2007,120,120,100,86.5151306408204,6212.69599353429,295
"2007/2008",2008,120,120,100,82.6609078200929,4087.46442328655,384
"2008/2009",2009,121,121,100,87.3679841237883,5085.08998550812,376
"2009/2010",2010,120,120,100,88.9001669489585,5709.94166207709,223
"2010/2011",2011,120,120,100,91.71368986629,5298.00365467835,78
"2011/2012",2012,120,120,100,86.7622169596959,4778.35602995916,131
"2012/2013",2013,121,121,100,87.0784498682358,5384.88911373331,269
"2013/2014",2014,120,120,100,86.0488716078839,4408.77060530917,275
"2014/2015",2015,120,120,100,68.3480237734209,6076.94865761825,715
"2015/2016",2016,120,120,100,88.0035949673688,6016.77899703314,168
"2016/2017",2017,121,121,100,79.0775797220131,7482.27492626803,305
"2017/2018",2018,120,120,100,76.9653631699143,6690.95408982248,446
"2018/2019",2019,120,120,100,77.9164779433254,4211.09945841017,502
"2019/2020",2020,120,120,100,84.9656635813094,7095.72538852831,190
"2020/2021",2021,121,121,100,86.5260547179009,8028.52737393929,145
"2021/2022",2022,120,120,100,80.0421039086291,4024.00683211,508
"2022/2023",2023,120,120,100,80.7340608932523,6191.46577094425,242
"2023/2024",2024,120,120,100,89.5191262846042,6855.78423241363,60
"2024/2025",2025,121,121,100,90.4252512248654,6555.62715741014,51
"2025/2026",2026,120,120,100,84.5987885353084,6351.03622484906,160
"2026/2027",2027,120,120,100,80.0681445140126,3120.3911475793,732
"2027/2028",2028,120,120,100,84.0524364654184,5908.38011000725,251
"2028/2029",2029,121,121,100,89.3558366395459,4070.74435075466,246
"2029/2030",2030,120,120,100,86.5778307257069,4932.22658654209,250
"2030/2031",2031,120,120,100,85.9624171509231,6736.2419047826,196
"2031/2032",2032,120,120,100,84.1890774455242,5163.3891405249,371
"2032/2033",2033,121,121,100,87.8576044106612,5362.76562304562,287
"2033/2034",2034,120,120,100,87.2055349485809,3882.70662085898,360
"2034/2035",2035,120,120,100,80.9659305735631,4080.42044027057,499
"2035/2036",2036,120,120,100,84.9589254623115,5861.20106082177,196
"2036/2037",2037,121,121,100,87.5335850074362,6355.95643404359,258
"2037/2038",2038,120,120,100,83.9942135437177,2962.86876519909,397
"2038/2039",2039,120,120,100,82.599128713081,7253.02549279016,292
"2039/2040",2040,120,120,100,87.4737774958876,8769.75162878726,26
"2040/2041",2041,121,121,100,91.1081577036284,6037.45768508408,130
"2041/2042",2042,120,120,100,90.6567201278813,4183.13114561932,134
"2042/2043",2043,120,120,100,77.5641335566552,10797.0634620562,240
"2043/2044",2044,120,120,100,89.3143819642783,2968.30718262354,284
"2044/2045",2045,121,121,100,88.7238550201264,5247.7363912384,205
"2045/2046",2046,120,120,100,82.6960773060046,4159.2437289115,509
"2046/2047",2047,120,120,100,84.359362444502,4364.2237601676,326
"2047/2048",2048,120,120,100,83.7736990436597,4846.45773623465,456
"2048/2049",2049,121,121,100,92.8813960955667,4388.61994722765,123
"2049/2050",2050,120,120,100,87.4124091555213,3116.75460473308,278
"2050/2051",2051,120,120,100,86.8085619913727,2168.56096549751,334
"2051/2052",2052,120,120,100,82.1484880241114,5820.28369213687,215
"2052/2053",2053,121,121,100,82.2857274913858,7477.99259860814,269
"2053/2054",2054,120,120,100,85.2005352965389,7667.88106660871,221
"2054/2055",2055,120,120,100,87.4453035271554,7067.30441139732,33
"2055/2056",2056,120,120,100,83.8662780743298,5343.74957575183,241
"2056/2057",2057,121,121,100,81.7627020448372,6893.24840567587,99
"2057/2058",2058,120,120,100,83.2698109617113,5566.09806768736,424
