"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,53.6775338619296,19095.1918084948,62
"2002/2003",2003,120,120,100,59.761522931567,17164.5618217437,136
"2003/2004",2004,120,120,100,73.6487290753186,12311.3138309122,49
"2004/2005",2005,121,121,100,71.1189337132702,15417.9908097206,12
"2005/2006",2006,120,120,100,58.7884180836772,19623.6942565718,0
"2006/2007",2007,120,120,100,62.6781114528355,16617.8390443143,158
"2007/2008",2008,120,120,100,77.0062732669105,11792.1654551687,50
"2008/2009",2009,121,121,100,71.3061993752552,14519.6344036993,56
"2009/2010",2010,120,120,100,61.9012420478928,16225.641918816,59
"2010/2011",2011,120,120,100,68.5191194449922,16177.1955581021,25
"2011/2012",2012,120,120,100,76.217184141299,14292.3557585672,25
"2012/2013",2013,121,121,100,66.5007319574247,14902.6355305512,70
"2013/2014",2014,120,120,100,75.7169490739832,12774.1850361775,80
"2014/2015",2015,120,120,100,71.0727075002321,12153.9645767717,155
"2015/2016",2016,120,120,100,63.7687217005218,16186.3184913669,22
"2016/2017",2017,121,121,100,59.6717154493156,17029.4540473407,90
"2017/2018",2018,120,120,100,64.8281552677324,15597.7230600019,73
"2018/2019",2019,120,120,100,75.727557815894,11428.2856168591,103
"2019/2020",2020,120,120,100,59.3596777065677,17265.4029355948,6
"2020/2021",2021,121,121,100,57.6746098530671,19556.951185944,12
"2021/2022",2022,120,120,100,73.7666327357801,11173.4605773112,221
"2022/2023",2023,120,120,100,68.509129960119,14877.7235367678,49
"2023/2024",2024,120,120,100,58.2413603674972,18221.8149346404,4
"2024/2025",2025,121,121,100,67.2141023331224,17260.0922054134,5
"2025/2026",2026,120,120,100,64.2027008967962,16338.046892938,30
"2026/2027",2027,120,120,100,76.5666854700985,9491.61775363493,187
"2027/2028",2028,120,120,100,66.3029272986441,15043.6981326211,5
"2028/2029",2029,121,121,100,76.2231873564606,13166.7746185153,76
"2029/2030",2030,120,120,100,71.3535266109916,13994.3414241183,84
"2030/2031",2031,120,120,100,61.3212054621563,17124.2675499977,36
"2031/2032",2032,120,120,100,69.7774573278084,13665.0750902924,115
"2032/2033",2033,121,121,100,72.3497673562988,15045.196895448,22
"2033/2034",2034,120,120,100,76.1716967707794,12131.6249112622,43
"2034/2035",2035,120,120,100,79.0551650129341,11274.8302346696,102
"2035/2036",2036,120,120,100,73.0840021355148,14753.5605245084,7
"2036/2037",2037,121,121,100,62.1917619316505,16504.849869336,126
"2037/2038",2038,120,120,100,82.8667174723023,9831.06931804307,118
"2038/2039",2039,120,120,100,62.8106739835794,17980.7685727719,136
"2039/2040",2040,120,120,100,50.1787870244843,20827.6467839465,0
"2040/2041",2041,121,121,100,67.7150231251085,16170.9281230196,12
"2041/2042",2042,120,120,100,75.4357777775945,13796.8771738596,8
"2042/2043",2043,120,120,100,40.96261769067,23090.6159329405,137
"2043/2044",2044,120,120,100,80.9666843005225,11139.4900769237,108
"2044/2045",2045,121,121,100,72.7070439696863,15550.1311422177,9
"2045/2046",2046,120,120,100,78.0306390345277,11882.9777015969,144
"2046/2047",2047,120,120,100,78.8705522161272,12181.2527642725,52
"2047/2048",2048,120,120,100,68.2866240059902,13984.1694827517,240
"2048/2049",2049,121,121,100,74.8426520189569,14363.3602202111,29
"2049/2050",2050,120,120,100,81.438332727952,10864.6736128083,15
"2050/2051",2051,120,120,100,87.5016610028397,8733.78933165967,88
"2051/2052",2052,120,120,100,70.9683488054434,14301.6562909,12
"2052/2053",2053,121,121,100,61.0808010670653,17412.6452109776,131
"2053/2054",2054,120,120,100,54.9774750653987,18750.5474104895,102
"2054/2055",2055,120,120,100,63.4451507317599,18188.3992587496,0
"2055/2056",2056,120,120,100,71.1540055552514,14236.5609029308,19
"2056/2057",2057,121,121,100,71.8578184525368,15774.7097025365,11
"2057/2058",2058,120,120,100,68.2861864944662,14765.6937976517,115
"2058/2059",2059,120,120,100,65.6649191306269,17855.6131163733,0
"2059/2060",2060,120,120,100,75.7325272993976,10745.9826785633,149
"2060/2061",2061,121,121,100,64.0286925400178,17583.0694676237,34
"2061/2062",2062,120,120,100,62.4408126798535,17314.5029476192,13
"2062/2063",2063,120,120,100,77.2456938263676,11420.7165936455,161
"2063/2064",2064,120,120,100,78.5245320151025,11241.3460792266,37
"2064/2065",2065,121,121,100,61.3152370316657,16019.0380818266,118
"2065/2066",2066,120,120,100,63.0262667876341,16515.0759331677,31
"2066/2067",2067,120,120,100,68.9540746640369,15761.1444616159,6
"2067/2068",2068,120,120,100,78.7092156028075,10667.5252750674,113
"2068/2069",2069,121,121,100,51.3839125208297,20385.0850786623,20
"2069/2070",2070,120,120,100,69.7797936289517,14336.2945351135,115
"2070/2071",2071,120,120,100,68.2995715267389,15087.47036424,113
"2071/2072",2072,120,120,100,71.9479491602433,14026.2685729964,32
"2072/2073",2073,121,121,100,65.1957167136025,17160.2776168333,30
"2073/2074",2074,120,120,100,54.1541099899287,19401.04085737,94
"2074/2075",2075,120,120,100,62.5014226926496,16401.1187908184,235
"2075/2076",2076,120,120,100,55.9209834066933,18136.6282608286,36
"2076/2077",2077,121,121,100,60.2945374285891,19405.495302557,7
"2077/2078",2078,120,120,100,81.5089036862464,10663.8001272148,42
"2078/2079",2079,120,120,100,74.9220941233971,11448.1452487493,163
"2079/2080",2080,120,120,100,66.8451824695312,15566.9519416578,74
"2080/2081",2081,121,121,100,57.7475838212758,18732.6141536906,5
"2081/2082",2082,120,120,100,61.443418827268,17177.6521633286,62
"2082/2083",2083,120,120,100,69.6370886510977,15936.7891203761,63
"2083/2084",2084,120,120,100,54.4629962787594,19409.4561446533,104
"2084/2085",2085,121,121,100,80.336231855269,10925.4434719253,92
"2085/2086",2086,120,120,100,71.8170421689847,14652.0644047614,20
"2086/2087",2087,120,120,100,69.3457023898591,13717.5688551497,99
"2087/2088",2088,120,120,100,76.1581876919627,13448.8193127532,20
"2088/2089",2089,121,121,100,63.1272874506321,15191.9225624232,173
"2089/2090",2090,120,120,100,73.7494489743603,13968.8028351627,39
"2090/2091",2091,120,120,100,80.4710988286715,10319.4009790067,170
"2091/2092",2092,120,120,100,69.61405760874,13099.0986883426,57
"2092/2093",2093,121,121,100,79.6069827282026,11748.6430278067,24
"2093/2094",2094,120,120,100,60.7891890136398,17353.9334524749,51
"2094/2095",2095,120,120,100,63.7190810342472,15349.5498059019,73
