"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,69.0582249592262,14024.3308762174,107
"2002/2003",2003,120,120,100,75.1055098420423,12087.7216092271,197
"2003/2004",2004,120,120,100,83.1775258362659,8261.44089209856,151
"2004/2005",2005,121,121,100,82.4526305809724,10672.2807540085,61
"2005/2006",2006,120,120,100,71.6071039319951,14213.8391504826,10
"2006/2007",2007,120,120,100,78.7052691246868,11623.9644298212,205
"2007/2008",2008,120,120,100,83.8130360819198,8015.90047246334,136
"2008/2009",2009,121,121,100,81.5061391906064,10189.7455030301,171
"2009/2010",2010,120,120,100,78.9792499548414,11127.2490614465,98
"2010/2011",2011,120,120,100,81.217339027698,11039.3472136699,50
"2011/2012",2012,120,120,100,84.7630265281744,9735.59091273416,68
"2012/2013",2013,121,121,100,79.3273041524421,10165.8919546537,125
"2013/2014",2014,120,120,100,83.2579000769701,8728.53304014076,152
"2014/2015",2015,120,120,100,72.3359129318139,9053.72787035326,324
"2015/2016",2016,120,120,100,80.7641579332251,11205.6055311593,57
"2016/2017",2017,121,121,100,71.3233787956947,12456.3679977497,147
"2017/2018",2018,120,120,100,73.5930115588635,11323.5752052427,205
"2018/2019",2019,120,120,100,80.3595020904577,7724.2159433784,272
"2019/2020",2020,120,120,100,74.6782678300451,12517.8407909079,57
"2020/2021",2021,121,121,100,74.6706176687508,14129.0085730045,62
"2021/2022",2022,120,120,100,78.4459556550787,7472.96013174928,289
"2022/2023",2023,120,120,100,77.9690566027602,10587.7396549196,114
"2023/2024",2024,120,120,100,79.4253974683061,12824.1927330755,7
"2024/2025",2025,121,121,100,78.7185156649189,12208.8868689183,19
"2025/2026",2026,120,120,100,76.6000920928391,11738.4821486783,51
"2026/2027",2027,120,120,100,81.7701733438939,6618.59502382344,384
"2027/2028",2028,120,120,100,78.6530504661391,10681.5611623516,83
"2028/2029",2029,121,121,100,84.5267573914057,8716.99244077411,138
"2029/2030",2030,120,120,100,80.7290242096901,9526.21395625407,124
"2030/2031",2031,120,120,100,74.8700542361757,12307.8357866001,94
"2031/2032",2032,120,120,100,78.4210474148827,9473.75233635865,173
"2032/2033",2033,121,121,100,81.6520932235576,10408.2505901856,91
"2033/2034",2034,120,120,100,84.2847467774686,8153.25848973636,172
"2034/2035",2035,120,120,100,81.1453931190572,7666.06045983825,243
"2035/2036",2036,120,120,100,79.1294929561773,10397.5227309004,68
"2036/2037",2037,121,121,100,80.5538174714866,11653.2402423746,165
"2037/2038",2038,120,120,100,87.2664693871939,6412.99060705863,201
"2038/2039",2039,120,120,100,75.6920932599951,12926.9324220484,188
"2039/2040",2040,120,120,100,70.8548890139373,15142.4187053232,0
"2040/2041",2041,121,121,100,81.4128107786737,11198.0276452876,54
"2041/2042",2042,120,120,100,87.519625580856,8939.43864569813,37
"2042/2043",2043,120,120,100,60.8996429151557,17276.0912170261,165
"2043/2044",2044,120,120,100,88.8053892427106,6973.82389327371,160
"2044/2045",2045,121,121,100,85.9187508648729,10385.2282479126,71
"2045/2046",2046,120,120,100,82.4008701119246,7936.3231913005,256
"2046/2047",2047,120,120,100,84.4610070205836,8238.79379080841,159
"2047/2048",2048,120,120,100,79.4926696391794,9346.48638650496,329
"2048/2049",2049,121,121,100,86.9297528379475,9495.58737879666,66
"2049/2050",2050,120,120,100,87.7977531136203,6851.31924196379,81
"2050/2051",2051,120,120,100,88.5291838723469,5397.31568437815,178
"2051/2052",2052,120,120,100,78.8968247099419,10319.8050801069,88
"2052/2053",2053,121,121,100,74.1000512680594,12598.692547794,164
"2053/2054",2054,120,120,100,69.6188016290516,13610.5824019695,144
"2054/2055",2055,120,120,100,76.5621718926495,12850.5836176602,1
"2055/2056",2056,120,120,100,82.9011798818037,9799.44463503268,103
"2056/2057",2057,121,121,100,79.9847775987728,11450.8216692377,41
"2057/2058",2058,120,120,100,75.7272605039052,10390.0006930353,234
"2058/2059",2059,120,120,100,78.1162696961583,12619.0189950988,10
"2059/2060",2060,120,120,100,81.47686109396,7171.29380817525,247
"2060/2061",2061,121,121,100,77.783586085714,12470.962615015,96
"2061/2062",2062,120,120,100,73.4874967040778,12896.9449579613,58
"2062/2063",2063,120,120,100,85.0121487944007,7313.06380685326,278
"2063/2064",2064,120,120,100,86.1985383623614,7214.80483728182,127
"2064/2065",2065,121,121,100,74.1385737533192,11183.2918711519,244
"2065/2066",2066,120,120,100,76.0614413107187,11774.5030268244,107
"2066/2067",2067,120,120,100,84.3075348366956,10696.7477686843,25
"2067/2068",2068,120,120,100,83.9200397088498,7088.05130062439,202
"2068/2069",2069,121,121,100,66.9343425877951,15104.5887185661,81
"2069/2070",2070,120,120,100,77.8617111783224,10235.7785728713,182
"2070/2071",2071,120,120,100,77.9331295992324,10524.404436348,198
"2071/2072",2072,120,120,100,81.8550166777914,9674.87615286652,89
"2072/2073",2073,121,121,100,74.66980694218,12382.8551110141,95
"2073/2074",2074,120,120,100,70.7969535697448,14146.840337147,158
"2074/2075",2075,120,120,100,70.9013154519071,12410.7241200451,352
"2075/2076",2076,120,120,100,67.7703700277943,13446.9191848012,140
"2076/2077",2077,121,121,100,75.3424681863253,13793.3436879572,17
"2077/2078",2078,120,120,100,87.1376810901675,6718.14550306182,103
"2078/2079",2079,120,120,100,82.7334726256668,7478.53538954444,297
"2079/2080",2080,120,120,100,81.2497029840688,10752.8633638741,105
"2080/2081",2081,121,121,100,77.376046731044,13142.5980386734,16
"2081/2082",2082,120,120,100,75.4303823774881,12133.0094178868,160
"2082/2083",2083,120,120,100,80.2290907984916,11049.024300158,88
"2083/2084",2084,120,120,100,71.9867626357955,14071.1967915632,172
"2084/2085",2085,121,121,100,83.896593137837,7310.10082842316,195
"2085/2086",2086,120,120,100,81.2677130208394,10172.7076936122,130
"2086/2087",2087,120,120,100,81.2053033253233,9173.55075439438,241
"2087/2088",2088,120,120,100,87.6179137169438,9030.52496805601,97
"2088/2089",2089,121,121,100,75.3447414377042,10673.39067847,253
"2089/2090",2090,120,120,100,85.1940619161232,9247.70924605709,103
"2090/2091",2091,120,120,100,87.1821200046743,6605.00834538322,254
"2091/2092",2092,120,120,100,82.6710109326377,8780.94024050236,139
"2092/2093",2093,121,121,100,86.8135645361945,7595.74677707534,79
"2093/2094",2094,120,120,100,72.7713179561015,12651.3210129282,111
"2094/2095",2095,120,120,100,74.6657871545285,10933.1755067511,185
"2095/2096",2096,120,120,100,83.2404429229355,10108.8795737177,50
"2096/2097",2097,121,121,100,72.9877322644352,14324.4319139393,72
"2097/2098",2098,120,120,100,72.8071015862661,12556.2210968491,99
"2098/2099",2099,120,120,100,80.5558889080421,9481.48701604642,143
"2099/2100",2100,120,120,100,77.4781645520761,10130.4870314961,252
