"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,81.4887473768526,8239.87264638471,274
"2002/2003",2003,120,120,100,83.6470307397922,6947.59091666088,338
"2003/2004",2004,120,120,100,85.7579189096002,4493.78814092954,401
"2004/2005",2005,121,121,100,90.3749806243387,5614.34292607201,166
"2005/2006",2006,120,120,100,88.3750165649467,7761.73110030656,57
"2006/2007",2007,120,120,100,84.703350328361,6154.25617144111,297
"2007/2008",2008,120,120,100,83.6248516101804,4261.16665411531,465
"2008/2009",2009,121,121,100,87.0148020678848,5373.62818224868,375
"2009/2010",2010,120,120,100,87.282618294458,5898.98196761566,215
"2010/2011",2011,120,120,100,91.5016755577442,5299.38026478689,99
"2011/2012",2012,120,120,100,87.1085542593526,5008.74027164315,179
"2012/2013",2013,121,121,100,86.7036154099194,5534.42791477195,365
"2013/2014",2014,120,120,100,84.5185491587929,4317.24756843376,281
"2014/2015",2015,120,120,100,72.5145154337031,5787.93021437875,756
"2015/2016",2016,120,120,100,86.3267003000706,6199.38249037939,197
"2016/2017",2017,121,121,100,81.0469113496088,7271.98983119754,343
"2017/2018",2018,120,120,100,77.1339294986105,6933.42226553289,481
"2018/2019",2019,120,120,100,80.906031176004,4171.17543861037,522
"2019/2020",2020,120,120,100,84.2084799723129,7166.41425048327,231
"2020/2021",2021,121,121,100,85.1243224277414,8188.62845515809,179
"2021/2022",2022,120,120,100,81.1998467325207,3939.17497787508,562
"2022/2023",2023,120,120,100,83.6520240620293,5868.97840185068,268
"2023/2024",2024,120,120,100,88.3461881870494,6854.90544750751,39
"2024/2025",2025,121,121,100,89.5858294819618,6660.87610224378,83
"2025/2026",2026,120,120,100,84.3958589631302,6822.44019702077,225
"2026/2027",2027,120,120,100,79.7922035399406,3525.42180617549,820
"2027/2028",2028,120,120,100,85.3537554308264,5831.84888831037,269
"2028/2029",2029,121,121,100,88.6434825899123,4234.03330443497,286
"2029/2030",2030,120,120,100,85.3218812616519,4924.02647788217,273
"2030/2031",2031,120,120,100,83.8616784837632,7263.30621130974,268
