"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,83.1577378797589,7341.09757182933,292
"2002/2003",2003,120,120,100,84.6079346026698,6223.86794428145,333
"2003/2004",2004,120,120,100,85.234894050156,3561.53781913867,478
"2004/2005",2005,121,121,100,90.7537283149343,4818.01026024891,208
"2005/2006",2006,120,120,100,88.3562690391676,7012.74410635704,109
"2006/2007",2007,120,120,100,84.9127215038767,5652.58069782006,351
"2007/2008",2008,120,120,100,83.8037381627341,3688.43232333538,493
"2008/2009",2009,121,121,100,86.7348566310511,4589.07605232124,439
"2009/2010",2010,120,120,100,86.9164878716595,5200.45852603088,310
"2010/2011",2011,120,120,100,91.4899663151552,4762.63540452905,125
"2011/2012",2012,120,120,100,88.1438262470888,4244.95067556528,215
"2012/2013",2013,121,121,100,86.7056069806015,5050.21770762943,433
"2013/2014",2014,120,120,100,84.9865597912085,3925.4731676724,368
"2014/2015",2015,120,120,100,69.4825575770878,5518.34030358668,912
"2015/2016",2016,120,120,100,87.703570089338,5387.83309277368,236
"2016/2017",2017,121,121,100,79.3460314162307,6836.61087404168,427
"2017/2018",2018,120,120,100,77.8401111586772,6074.47839199565,523
"2018/2019",2019,120,120,100,78.5241291656475,3846.48894586507,605
"2019/2020",2020,120,120,100,85.6805049846098,6390.18721859227,277
"2020/2021",2021,121,121,100,85.1140952849792,7210.33452969883,223
"2021/2022",2022,120,120,100,79.9711690509967,3740.36455484224,655
"2022/2023",2023,120,120,100,81.382380033283,5602.82178660342,357
"2023/2024",2024,120,120,100,88.3508907432661,6230.11147247953,114
"2024/2025",2025,121,121,100,90.6266093272829,5753.02431191457,103
"2025/2026",2026,120,120,100,85.9468628220961,5603.85562537657,228
"2026/2027",2027,120,120,100,79.6245405975437,2779.81417426327,834
"2027/2028",2028,120,120,100,85.4179315071092,5098.73744196375,333
"2028/2029",2029,121,121,100,86.7420862838453,3896.98894489161,381
"2029/2030",2030,120,120,100,84.4086874850077,4582.92643107567,376
"2030/2031",2031,120,120,100,87.0468934389237,6149.03578462754,266
"2031/2032",2032,120,120,100,83.4563618218735,4766.28279539337,474
"2032/2033",2033,121,121,100,86.0470497081433,4829.07508895406,347
"2033/2034",2034,120,120,100,86.5505126659837,3578.22830582084,485
"2034/2035",2035,120,120,100,79.6824917563172,3776.51050552074,607
"2035/2036",2036,120,120,100,84.5347021757725,5281.69903095206,283
"2036/2037",2037,121,121,100,88.3511897757799,5693.40198818315,318
"2037/2038",2038,120,120,100,83.277019746688,2679.65685568517,542
"2038/2039",2039,120,120,100,83.4147409852658,6519.4628087515,336
"2039/2040",2040,120,120,100,88.2148660261983,7792.09805827448,117
"2040/2041",2041,121,121,100,89.3790974341555,5389.41387889534,204
"2041/2042",2042,120,120,100,90.2704743697395,3714.55043286271,247
"2042/2043",2043,120,120,100,80.6413810034928,9798.81846887618,270
"2043/2044",2044,120,120,100,85.7768036986472,2830.55564537412,412
"2044/2045",2045,121,121,100,88.6807095078202,4745.03361752583,242
"2045/2046",2046,120,120,100,81.2530167423574,3884.96805398259,627
"2046/2047",2047,120,120,100,83.9000336522677,3892.94490143331,421
"2047/2048",2048,120,120,100,81.3533218073117,4403.8101094598,555
"2048/2049",2049,121,121,100,91.9206699011893,4006.53368090838,199
"2049/2050",2050,120,120,100,84.8030744158486,2885.97697071219,406
"2050/2051",2051,120,120,100,84.8341309074594,2064.22165071359,432
"2051/2052",2052,120,120,100,82.7231430172124,5121.23128111986,326
"2052/2053",2053,121,121,100,82.1738176551762,6686.47961934796,326
"2053/2054",2054,120,120,100,87.0469855736628,6817.73682407243,276
"2054/2055",2055,120,120,100,87.762312396686,6362.60170467943,116
"2055/2056",2056,120,120,100,85.7290453285041,4825.03234888427,325
"2056/2057",2057,121,121,100,81.7985164685906,6199.78724421468,163
"2057/2058",2058,120,120,100,82.6656481879681,4990.35521531384,496
"2058/2059",2059,120,120,100,87.8190149498714,6034.13087077532,131
"2059/2060",2060,120,120,100,80.6129230615779,3484.98129562847,593
"2060/2061",2061,121,121,100,87.0168263290743,6356.47559364978,250
"2061/2062",2062,120,120,100,74.6210660899997,7474.66063716589,360
"2062/2063",2063,120,120,100,82.0289113735871,3200.7533450583,548
"2063/2064",2064,120,120,100,86.0728214551327,2959.14139276464,477
"2064/2065",2065,121,121,100,82.6770615688347,5545.00097320508,510
"2065/2066",2066,120,120,100,86.9731360520582,5562.61788556259,281
"2066/2067",2067,120,120,100,90.4391144270048,4897.86631198414,135
"2067/2068",2068,120,120,100,84.5939701564403,2812.77560087945,547
"2068/2069",2069,121,121,100,84.8270705426239,7851.49968749098,282
"2069/2070",2070,120,120,100,81.7840052278116,5246.14514990803,444
"2070/2071",2071,120,120,100,83.9998827556119,4796.32026426587,420
"2071/2072",2072,120,120,100,84.4208496791616,4607.18230923358,321
"2072/2073",2073,121,121,100,80.9788949656231,6727.51788295899,280
"2073/2074",2074,120,120,100,85.000495043374,7042.58952941932,233
"2074/2075",2075,120,120,100,74.0881974338408,7367.53076978307,544
