"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,81.7726664560327,8701.9716424074,222
"2002/2003",2003,120,120,100,83.8547397957826,7504.27771765384,283
"2003/2004",2004,120,120,100,88.2741898919027,4465.64836093844,377
"2004/2005",2005,121,121,100,90.4367164086282,5751.7624721707,140
"2005/2006",2006,120,120,100,83.0811445675281,8407.76597347599,58
"2006/2007",2007,120,120,100,84.7180223050456,6871.46148483944,298
"2007/2008",2008,120,120,100,85.4306704062427,4412.28351056715,296
"2008/2009",2009,121,121,100,88.8818715151351,5512.55511018331,354
"2009/2010",2010,120,120,100,87.1697121876687,6479.53903826012,256
"2010/2011",2011,120,120,100,89.0391579418581,6144.09989100636,89
"2011/2012",2012,120,120,100,87.3669071333675,5205.06849226647,130
"2012/2013",2013,121,121,100,84.915031105591,6320.15876127733,351
"2013/2014",2014,120,120,100,86.6636891330593,4675.72892361088,259
"2014/2015",2015,120,120,100,69.8967947998788,6283.11803304637,695
"2015/2016",2016,120,120,100,86.969129763288,6559.37420086912,188
"2016/2017",2017,121,121,100,77.7689546955144,8094.18065515603,316
"2017/2018",2018,120,120,100,79.7502539232919,7037.73822870455,415
"2018/2019",2019,120,120,100,79.762141219463,4647.50500313495,480
"2019/2020",2020,120,120,100,84.837768114965,7581.46278535202,158
"2020/2021",2021,121,121,100,84.8804975200655,8544.84079178958,171
"2021/2022",2022,120,120,100,79.6298213725668,4605.03598049982,551
"2022/2023",2023,120,120,100,82.2742303336427,6634.92101294012,234
"2023/2024",2024,120,120,100,86.7677577134359,7684.48738425155,86
"2024/2025",2025,121,121,100,90.055243876579,6894.90708065103,43
"2025/2026",2026,120,120,100,86.8301375077408,6566.3088180325,101
"2026/2027",2027,120,120,100,82.7423466200066,3147.10177713679,650
"2027/2028",2028,120,120,100,85.7526683814231,6024.54969248641,230
"2028/2029",2029,121,121,100,86.9225597370578,4932.90141601395,295
"2029/2030",2030,120,120,100,83.68290757983,5581.23298897059,288
"2030/2031",2031,120,120,100,87.271429093762,7202.73574128002,205
"2031/2032",2032,120,120,100,82.7558438829983,5688.28802414378,351
"2032/2033",2033,121,121,100,87.9603431922178,5817.8481376227,261
"2033/2034",2034,120,120,100,87.101884191251,4355.3045374169,358
"2034/2035",2035,120,120,100,80.3428887428418,4505.78474455979,473
"2035/2036",2036,120,120,100,84.5629846702677,6154.89042892726,188
"2036/2037",2037,121,121,100,88.2728053087603,6718.93428634061,246
"2037/2038",2038,120,120,100,85.2243610960695,3277.81373208668,400
"2038/2039",2039,120,120,100,82.4043383956932,7945.77484744275,290
"2039/2040",2040,120,120,100,86.8301276142802,9291.17259449093,55
"2040/2041",2041,121,121,100,90.3911813398063,6426.93280461989,136
"2041/2042",2042,120,120,100,91.5385588511981,4746.69129838562,160
"2042/2043",2043,120,120,100,76.6802849736732,11601.6433547623,257
"2043/2044",2044,120,120,100,87.7588241236272,3708.36686536577,313
"2044/2045",2045,121,121,100,87.1127053565688,5964.19035180984,200
"2045/2046",2046,120,120,100,83.8038970927309,4787.87301015016,495
"2046/2047",2047,120,120,100,84.5225746423048,4671.64565313607,342
"2047/2048",2048,120,120,100,81.8444336595076,5571.82079224335,483
"2048/2049",2049,121,121,100,92.6611532963188,4949.56981045846,143
"2049/2050",2050,120,120,100,87.0719741344355,3743.94489405118,317
"2050/2051",2051,120,120,100,86.4780479465708,2504.75257015694,322
"2051/2052",2052,120,120,100,83.4980371266292,5903.02843655599,210
"2052/2053",2053,121,121,100,82.1073297788289,7755.53620128753,250
"2053/2054",2054,120,120,100,85.689874789985,8062.54298068164,205
"2054/2055",2055,120,120,100,85.3376856842897,7792.04518009443,44
"2055/2056",2056,120,120,100,86.1449990844212,5797.59891816555,254
"2056/2057",2057,121,121,100,82.2167417473611,7046.14062829083,98
"2057/2058",2058,120,120,100,82.0960025496379,6102.78825199045,429
"2058/2059",2059,120,120,100,87.8676361096923,7278.60959444242,63
"2059/2060",2060,120,120,100,81.398275176598,4330.3862609081,493
"2060/2061",2061,121,121,100,85.8841839935876,7606.13558595721,196
"2061/2062",2062,120,120,100,75.2448554413022,8768.4780637715,286
"2062/2063",2063,120,120,100,83.864058611196,4043.07146279048,480
"2063/2064",2064,120,120,100,88.1663985501727,3763.33846358489,351
"2064/2065",2065,121,121,100,80.5036309763909,6952.68925126828,436
"2065/2066",2066,120,120,100,87.4247866480364,6560.13127406407,173
"2066/2067",2067,120,120,100,90.0621547336596,6043.86601969134,87
"2067/2068",2068,120,120,100,86.5476554532888,3485.42989994492,409
"2068/2069",2069,121,121,100,83.5047447769903,9306.00862786733,207
"2069/2070",2070,120,120,100,81.6817154645159,6203.95946049038,332
"2070/2071",2071,120,120,100,84.4522430819015,5974.77367149666,335
"2071/2072",2072,120,120,100,86.8958496357136,5493.68713825569,231
"2072/2073",2073,121,121,100,80.4943162231611,7896.54974920303,180
"2073/2074",2074,120,120,100,84.7726989566418,8332.35122943018,202
"2074/2075",2075,120,120,100,74.7654469539757,8307.40999542363,480
"2075/2076",2076,120,120,100,81.0410382042082,8261.81654614396,268
"2076/2077",2077,121,121,100,87.223246063586,8199.09174840804,51
"2077/2078",2078,120,120,100,86.1022478615705,3518.53868400585,342
"2078/2079",2079,120,120,100,85.308155370376,3714.0500414744,511
"2079/2080",2080,120,120,100,87.1167149118955,5993.48103373032,200
"2080/2081",2081,121,121,100,86.417993811101,7882.73143564444,60
"2081/2082",2082,120,120,100,81.8386001423023,7701.16897955164,329
"2082/2083",2083,120,120,100,84.747106067236,6639.32286724914,167
"2083/2084",2084,120,120,100,80.9597833502376,8893.62519618589,257
"2084/2085",2085,121,121,100,83.983639045,3745.02972329315,396
"2085/2086",2086,120,120,100,84.5028190455978,5627.25111767836,271
