"Season","End_year","Season_days","Data_days","Perc_complete","Chill_Portions","GDH","Frost_H"
"2001/2002",2002,120,120,100,66.7392985840021,13830.2150437202,125
"2002/2003",2003,120,120,100,74.6470029859646,12288.1294498908,208
"2003/2004",2004,120,120,100,86.2451375536368,8056.2003509278,134
"2004/2005",2005,121,121,100,83.0547185276516,10366.6026226787,47
"2005/2006",2006,120,120,100,71.8396760119546,13769.8836098559,2
"2006/2007",2007,120,120,100,79.1698726785282,11474.4301141154,218
"2007/2008",2008,120,120,100,81.9580998393538,7947.56196388952,137
"2008/2009",2009,121,121,100,84.5710207538245,9878.19912622485,153
"2009/2010",2010,120,120,100,78.0617771146635,11004.5039783933,104
"2010/2011",2011,120,120,100,80.6371108408534,10582.6258473096,44
"2011/2012",2012,120,120,100,84.3043599768484,9492.78503397829,58
"2012/2013",2013,121,121,100,80.0056008936219,10272.5085800859,138
"2013/2014",2014,120,120,100,84.2081212564026,8541.37709689257,156
"2014/2015",2015,120,120,100,70.7091597709673,9358.21868468798,330
"2015/2016",2016,120,120,100,80.3524133565331,11200.0635282367,65
"2016/2017",2017,121,121,100,72.1302846838435,12344.8535333343,140
"2017/2018",2018,120,120,100,74.0744465064854,11230.7273184236,211
"2018/2019",2019,120,120,100,79.6385244921626,7836.96167695103,268
"2019/2020",2020,120,120,100,74.2882289352378,12261.83477236,55
"2020/2021",2021,121,121,100,73.636903716445,13860.4679032164,38
"2021/2022",2022,120,120,100,77.933034317954,7633.94979211153,302
"2022/2023",2023,120,120,100,76.3757298223277,10569.2299857121,115
"2023/2024",2024,120,120,100,78.5107586909189,12721.9288745048,6
"2024/2025",2025,121,121,100,79.9725629825639,11966.8280026664,16
"2025/2026",2026,120,120,100,79.4551814622514,11186.7164714972,44
"2026/2027",2027,120,120,100,83.8075878092027,6145.69021362392,357
"2027/2028",2028,120,120,100,80.890234005285,10437.1028579688,86
"2028/2029",2029,121,121,100,83.8562283104238,8573.23988487152,135
"2029/2030",2030,120,120,100,78.6078398083164,9518.04587198328,130
"2030/2031",2031,120,120,100,76.262203126405,12035.4876702349,81
"2031/2032",2032,120,120,100,77.6779484435224,9525.92105788039,187
"2032/2033",2033,121,121,100,82.1971015318418,10189.0655855122,97
"2033/2034",2034,120,120,100,84.5051551452252,7955.34364755685,168
"2034/2035",2035,120,120,100,79.727397346282,7737.73303582799,247
"2035/2036",2036,120,120,100,77.7062846656545,10330.2638573027,61
"2036/2037",2037,121,121,100,76.7391328246658,11564.4557261323,179
"2037/2038",2038,120,120,100,84.8789318299432,6256.56011594879,201
"2038/2039",2039,120,120,100,73.928713746207,12807.2088642023,185
"2039/2040",2040,120,120,100,70.5522053855484,15022.9372533695,2
"2040/2041",2041,121,121,100,81.3944136446771,11202.7042841651,71
"2041/2042",2042,120,120,100,86.2773418546922,8869.97347432282,43
"2042/2043",2043,120,120,100,58.2868300327837,17371.9145615227,174
"2043/2044",2044,120,120,100,88.3265294367893,6812.81131786108,155
"2044/2045",2045,121,121,100,83.81919518213,10425.5390600483,77
"2045/2046",2046,120,120,100,80.9938736927352,8148.86900012754,276
"2046/2047",2047,120,120,100,83.4524790288297,8236.53664037073,161
"2047/2048",2048,120,120,100,78.8534218517489,9542.4422971746,343
"2048/2049",2049,121,121,100,86.9941101888307,9257.18024083693,60
"2049/2050",2050,120,120,100,88.1185509500237,6904.77328394679,98
"2050/2051",2051,120,120,100,89.6309842891151,5218.72534514591,177
"2051/2052",2052,120,120,100,80.7372553537798,10047.1622376381,83
"2052/2053",2053,121,121,100,73.3632776239947,12614.4960907344,165
"2053/2054",2054,120,120,100,72.2585136953576,13245.3140503895,128
"2054/2055",2055,120,120,100,77.6594782525635,12674.094063486,0
"2055/2056",2056,120,120,100,81.1710588148662,9882.22497084364,107
"2056/2057",2057,121,121,100,79.8229949085635,11252.2843282772,36
"2057/2058",2058,120,120,100,76.0573036641472,10287.2538906531,245
"2058/2059",2059,120,120,100,79.2270931617477,12308.3200667808,10
"2059/2060",2060,120,120,100,79.3573295616161,7358.25643477403,269
"2060/2061",2061,121,121,100,76.5611958102581,12440.011390375,92
"2061/2062",2062,120,120,100,69.7455915982673,12890.9867029041,52
"2062/2063",2063,120,120,100,86.5432358015742,7117.64193271194,274
"2063/2064",2064,120,120,100,87.0064733026747,7081.57614937332,134
"2064/2065",2065,121,121,100,74.2319727978374,10968.9919959577,213
"2065/2066",2066,120,120,100,77.2633611552337,11233.755694354,101
