"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,31.0808582068184,120.904024966631,62.3704132065566,37.4418169670914,83.3395825801633,1724.78925340495,1696,1690.05184379877,1655.5,1715,1053,1674,79.82614520334
"2002/2003",2003,120,120,100,33.084343457074,104.143400550257,67.2558634780645,39.387936279651,84.5879160076257,1870.07665945102,1781.5,1855.88134432495,1689,1894.5,1099,1858.5,85.5156979382698
"2003/2004",2004,120,120,100,49.3932318853489,175.580318306734,69.8123566477171,60.6365425837049,93.0760489816729,2071.10305306078,1877,1780.61789468034,1901.5,1877.5,1536,1855,86.5804863808797
"2004/2005",2005,121,121,100,48.6164384758236,173.924902801296,63.9183091999248,54.123419879661,88.9258580327005,2144.51463353033,2076.5,2021.41778110236,1992,2116,1483,2085.5,90.1701510979478
"2005/2006",2006,120,120,100,38.4285085095361,149.092193921963,58.8603777679008,41.6217330466832,82.7092179617282,1913.35937081987,1947,1919.06342495461,1835.5,1953,1217,1929.5,85.299526315171
"2006/2007",2007,120,120,100,37.7408290699639,149.5172700168,64.4734594447965,42.7982404018168,85.7528148531405,1936.84146595354,1862,1898.73025955241,1778,1936.5,1239,1904,85.182394274814
"2007/2008",2008,120,120,100,46.1645873644312,162.536423307537,72.83396400969,56.3634454100963,92.8570924077098,2051.97381654868,1890.5,1802.08557273456,1936.5,1891,1537,1883,86.5377854045324
"2008/2009",2009,121,121,100,35.1911078111346,163.097103420033,66.7680517981625,44.6113649352591,89.9916910678775,1950.94175018826,1803,1827.49019973891,1802.5,1844.5,1283,1836.5,88.3746332681424
"2009/2010",2010,120,120,100,42.7993029426427,147.693975839961,65.9554672148376,49.2959876006739,87.6343321997958,2000.08926728852,1913,1911.48055497754,1875.5,1933,1325,1922.5,87.2090851925659
"2010/2011",2011,120,120,100,47.7024432774106,160.55348737151,64.0876906112432,51.92213392286,87.3246417839337,2132.69675578574,2095,2076.88345414547,2008.5,2122,1457,2121.5,90.2025507657829
"2011/2012",2012,120,120,100,50.066029209077,161.190899276492,66.4667228267841,56.8272940198295,89.9271789829663,2174.87201251323,2084,2024.0467614052,2019.5,2105.5,1549,2091.5,87.521007058099
"2012/2013",2013,121,121,100,44.2404334986612,164.908733396135,67.4621790341688,53.696532751443,90.6926283197478,2002.34303330012,1853.5,1817.83252442168,1855.5,1878,1369,1857,86.8332744089446
"2013/2014",2014,120,120,100,51.4296679438912,158.844545602481,70.6593317947376,59.1652654147916,91.6994599754418,2144.0469096213,2008,1891.73018106992,1979.5,2015.5,1596,1994.5,85.5873959124524
"2014/2015",2015,120,120,100,35.0697299575506,128.861901923835,76.7149873113433,53.7462474946466,93.7709147588961,1667.16777020898,1389,1192.45159325109,1528,1297.5,1352,1233,72.6228749583124
"2015/2016",2016,120,120,100,42.7157878398557,138.296394388222,64.3540498397548,48.9484264227144,87.1244465456627,2035.99943403675,1948,1971.45665755328,1907,2001.5,1350,1978,87.184295618003
"2016/2017",2017,121,121,100,40.2203653754339,150.679527257189,65.9208342400357,49.0949175210791,87.5293631210236,1857.68638553617,1739.5,1626.83671587623,1724,1747,1301,1683.5,80.5310797080815
"2017/2018",2018,120,120,100,32.4997559410611,122.764741037901,69.4890004099068,44.160598554385,88.0581313294813,1731.14906019422,1592,1542.30912445541,1613,1588.5,1158,1540,78.4848885198935
"2018/2019",2019,120,120,100,46.167722023347,140.548966443105,77.6701899087091,57.2652569654755,92.8078038762567,1982.45978074152,1791.5,1689.74735127909,1837.5,1799,1541,1770,81.7863979346776
"2019/2020",2020,120,120,100,35.0584444165105,136.49557200568,63.3008361829718,43.3803767206603,86.0529986351493,1876.81240596568,1793.5,1746.5815897781,1749,1797,1228,1766,83.3373635123485
"2020/2021",2021,121,121,100,36.1256139345225,130.26964758745,60.2103590337949,42.0494299224718,83.8884328634861,1866.89900023602,1777.5,1824.89768309987,1706,1862,1104,1801,84.2873469959404
"2021/2022",2022,120,120,100,51.0396042928724,169.812205212534,76.96777269026,62.3071726171257,94.0498052956012,1934.78955551794,1782.5,1591.02854949093,1843,1697,1577,1689.5,82.050302506937
"2022/2023",2023,120,120,100,50.6264191865221,155.59872066154,68.130987687239,57.3649371908746,89.6756530461839,2016.34634741121,1904.5,1778.4620201846,1898,1903.5,1493,1864,84.3174320590228
"2023/2024",2024,120,120,100,38.7923622727722,151.109401907877,59.3590347685445,42.1941560875905,84.2116025457528,2050.00872219494,2029,2049.04764164684,1911,2081,1271,2054.5,88.0989977017839
"2024/2025",2025,121,121,100,44.2819729762857,145.12693734565,63.2027752329957,48.9555827857062,86.4770067635669,2063.080008002,2043,2017.02762357677,1955.5,2064.5,1352,2038,88.836984454495
"2025/2026",2026,120,120,100,39.9993880240446,135.127800797915,65.6013799960622,48.9889221591935,87.1897842047277,1945.05574806871,1862,1774.41396151992,1818,1840,1348,1807,82.2260969970257
"2026/2027",2027,120,120,100,38.9837999530408,156.383608377269,79.5773684938494,55.9801341897918,95.8198232466661,1802.32975048621,1514,1460.93622654716,1647.5,1519,1293,1509.5,80.697548699085
"2027/2028",2028,120,120,100,44.6686912614618,122.454185417967,68.362258114529,53.5814838524316,89.5372832996829,1979.5987534158,1897.5,1831.39141793684,1889,1873.5,1404,1858,85.8528537470243
