"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,42.2468468600844,181.014239767978,68.7478444002529,50.3403155491698,90.0601814768416,1891.4356071179,1759.5,1710.71211522385,1775.5,1756,1353,1742,83.6416311496989
"2002/2003",2003,120,120,100,41.79013072593,171.796801754016,74.7720231314932,50.6483342706134,90.2332049175205,1958.33749755664,1825,1738.48705897275,1818.5,1834.5,1448,1816.5,83.0965923763637
"2003/2004",2004,120,120,100,50.1991710818509,210.281375370763,76.553390974766,65.121621726527,98.9778117226998,1983.55089732674,1715.5,1557.48279996132,1837.5,1685.5,1638,1678,84.2685577497534
"2004/2005",2005,121,121,100,57.4507856962467,237.445987018336,70.0808987946376,68.6292596768548,96.5489443002716,2214.77627620245,2034.5,1851.24925560122,2078.5,2018,1791,2005.5,88.768114175728
"2005/2006",2006,120,120,100,52.1670713861683,220.352074100657,64.6134319436071,58.8774337119659,91.1387369049048,2130.21966876134,2010.5,1937.76693097487,2021,2005.5,1583,1998,88.3125120273954
"2006/2007",2007,120,120,100,50.5534717248905,223.169391493598,70.9737527717538,57.6627726791128,91.90984687429,2028.31198655162,1883,1778.00553506344,1891.5,1907,1548,1884,85.4543399378666
"2007/2008",2008,120,120,100,51.9073953771355,199.505489033925,80.5658470706955,65.3145032929353,97.9806428067548,1905.34513216994,1652.5,1473.14382547228,1787.5,1601,1561,1597,79.7270748799332
"2008/2009",2009,121,121,100,49.4755013650804,236.724605293082,73.1649061399716,59.3902928784799,95.8374605523605,2014.37350155065,1816.5,1690.19631567274,1878,1811.5,1600,1808.5,83.6691986799617
"2009/2010",2010,120,120,100,49.5061093020791,201.125872830214,73.0363063293026,59.2618802106543,93.6900562275158,2088.33740731216,1907.5,1821.80192964922,1930.5,1932,1559,1929,86.5608905595041
"2010/2011",2011,120,120,100,60.1526167557647,235.545727580396,70.4861959191034,70.3310810410092,95.726500866592,2290.84776990909,2106,1929.32044007794,2156.5,2076.5,1882,2076.5,89.5080780053647
"2011/2012",2012,120,120,100,58.20096211925,210.064223268001,73.327740735443,70.5172656836278,97.3883276619317,2180.1733231944,1987.5,1778.35941667662,2070.5,1942,1802,1938,85.8582823713591
"2012/2013",2013,121,121,100,44.077476305387,193.831495514954,74.411279500329,58.5612146190776,96.4891420116918,1944.11299873185,1713.5,1616.16799833377,1783,1721,1449,1714,85.9344039703101
"2013/2014",2014,120,120,100,51.0683607202019,204.162893904256,78.0012560441757,66.5129089410621,97.8800302667899,2031.71046278383,1750.5,1595.06848336003,1891.5,1703.5,1704,1698,83.2975910328714
"2014/2015",2015,120,120,100,26.3685140767263,115.139332964947,85.1483633563772,43.8626719864625,94.55403568395,1358.19262529231,1086.5,956.741961916718,1229,1052,1014,1003,68.2552159157651
"2015/2016",2016,120,120,100,51.839471621849,192.61182774419,71.0015268225462,61.4828805712203,94.0754597017755,2100.69086496381,1909,1798.64061619027,1949,1934,1587,1925,87.2745313663809
"2016/2017",2017,121,121,100,41.3538061636049,188.235147060613,72.7344641510147,54.5313933945547,93.4080702934477,1810.16620153502,1608.5,1465.19944643685,1671.5,1574,1393,1534,80.8983401763739
"2017/2018",2018,120,120,100,39.0679158629131,167.424581738998,76.6735525654073,50.3183043249954,92.8451996060313,1732.65404264785,1542,1430.72546240909,1607.5,1522,1295,1492,75.0531970503498
"2018/2019",2019,120,120,100,43.9257835159109,162.659923708559,86.2403041892279,60.5643605887334,97.3054893821926,1800.37325970505,1550,1348.38357408315,1682.5,1484,1485,1462,77.0158726849772
"2019/2020",2020,120,120,100,42.5815997913051,194.782479775925,69.6949705171535,54.9813573194742,93.0030982778587,1928.21653874966,1739.5,1626.94061725866,1810,1691,1456,1677,84.6609706441695
"2020/2021",2021,121,121,100,46.352529943605,206.46796579214,66.0366196992025,55.6351620755873,91.9664761012415,2058.43559510588,1899.5,1826.62828906449,1896,1935,1526,1901.5,86.451565629734
"2021/2022",2022,120,120,100,42.2569228163929,178.113514696584,85.5871691961111,60.9922438033732,97.9796914589781,1720.10541868681,1456,1274.48377167843,1627,1367.5,1453,1366.5,76.8764385734062
"2022/2023",2023,120,120,100,47.9945986818411,171.047561292578,75.4994221871621,64.1338813964743,96.2917871212788,1881.22069797564,1655,1451.06771933294,1772,1572.5,1538,1548,80.4437390437715
"2023/2024",2024,120,120,100,51.2159480270825,236.551027123537,65.352025111269,59.5261934345215,92.3027954179386,2162.02570906331,1992.5,1893.29024047383,2012.5,1992.5,1650,1982.5,89.1107816214508
"2024/2025",2025,121,121,100,53.1753999902181,203.726432199428,69.6133589620177,63.6175935940061,94.8935005504512,2184.36771874152,1942.5,1896.3777425842,2033.5,1996,1625,1994.5,89.2543874411931
"2025/2026",2026,120,120,100,46.8012692857026,195.721202222391,71.8494609239705,60.8591741506079,94.6410418084045,2060.24914821079,1860,1701.59847131999,1928,1827.5,1602,1819.5,86.0540989334027
"2026/2027",2027,120,120,100,41.9049671257574,185.807423493317,87.2617009367689,58.5942412704979,98.5187385492492,1670.16537747801,1365.5,1251.35206818351,1529,1326.5,1375,1324,77.2898686323269
"2027/2028",2028,120,120,100,47.1858232100476,154.499877421815,75.7213327689673,61.9378157726685,95.910757981773,1999.84160859071,1770.5,1658.05826211448,1869,1756.5,1562,1745.5,83.5229005981319
"2028/2029",2029,121,121,100,59.6076649965657,256.974886755358,75.4295319718187,73.183891656204,98.9835321217533,2052.81779916921,1818,1631.4992838386,1940,1768.5,1718,1767,85.9032426582344
"2029/2030",2030,120,120,100,52.7600939926369,209.53924085432,76.2265168482681,65.7240973548741,96.6715168495746,1970.40056309788,1746,1611.531372349,1836.5,1720,1533,1717,83.8213669579077
"2030/2031",2031,120,120,100,47.033886746825,229.123728665284,67.4275038717254,56.9246571474978,92.8006138583752,1957.65324948536,1779.5,1698.6007656648,1831.5,1792,1437,1781,85.892064739719
"2031/2032",2032,120,120,100,47.2191850676437,207.147436720783,76.1213102282389,59.5587635955419,95.0149112212562,1881.44329839903,1654,1494.62002661929,1742.5,1631,1515,1608,79.8551233682392
"2032/2033",2033,121,121,100,57.0057228550969,210.3523917715,75.0216740345776,65.168461122523,96.0244218624757,2096.1521437573,1896.5,1765.00065980352,1944,1902.5,1648,1882,85.4085755326196
"2033/2034",2034,120,120,100,52.9405424035644,223.399565031404,77.6647625521066,67.392145280459,98.8971357414483,1950.32535964427,1675.5,1530.31276440047,1816.5,1642,1589,1642,83.6179023869099
"2034/2035",2035,120,120,100,45.9480565770429,167.363132594644,83.1540201199439,62.280563607477,98.5081415555642,1785.12469496892,1564,1350.29991130427,1689.5,1483,1480,1480.5,78.031591742094
"2035/2036",2036,120,120,100,50.7430542245958,192.146161975295,73.2177123263168,65.673971234783,96.1089269999719,1985.09004172387,1761,1575.90976035359,1868,1711.5,1630,1695,82.8347559843014
"2036/2037",2037,121,121,100,46.9896572364188,197.212986787165,73.2081942383829,56.3678369196278,93.479666404352,2019.97926437305,1828,1788.26048832317,1850,1851.5,1458,1844.5,87.2763128961815
"2037/2038",2038,120,120,100,55.3866425301307,196.178401058455,83.8263863707288,72.5431974175115,100.974184643954,1931.2057317851,1620.5,1382.05480110985,1813.5,1544,1702,1539.5,80.998462294705
"2038/2039",2039,120,120,100,45.2994386347373,184.197923564493,71.9878346725487,52.7613094125809,90.5220626962269,1978.33138299866,1883,1765.75463104105,1863.5,1862.5,1495,1853.5,84.1167518905513
"2039/2040",2040,120,120,100,40.4914269246189,177.980673568368,63.5344683503436,49.4683744102482,89.0941037679147,2050.60006773146,1948.5,1919.83962566871,1906.5,1972,1400,1956,88.940453555645
"2040/2041",2041,121,121,100,50.1590085399005,207.95710112275,71.0543925206808,62.4078008485029,95.1825056513742,2107.79476838949,1916,1800.98481045252,1955,1913,1587,1906,87.5504457291845
"2041/2042",2042,120,120,100,58.4296640164987,188.453416377896,75.810424703137,71.6945232365936,98.0890658916535,2243.84710625507,2009.5,1847.28546480262,2082.5,2006.5,1847,2006,88.6499423416781
"2042/2043",2043,120,120,100,31.2265636605235,138.302676338932,66.5566400308831,37.1115434643319,83.8448662961178,1769.41204947748,1689.5,1712.30299559996,1621.5,1773.5,1081,1724,81.5532906808157
"2043/2044",2044,120,120,100,56.5925842494184,232.240422788218,79.7642555350003,73.932841319122,100.8428671912,2069.44036642925,1784,1534.5435198753,1952,1695.5,1840,1695,83.4352429758555
"2044/2045",2045,121,121,100,59.1292715567117,214.635774042435,72.7439188909139,66.7339558529454,95.5812906083088,2218.1864912622,2052,1889.61416671079,2089,2034.5,1831,2027.5,86.6460410945429
"2045/2046",2046,120,120,100,42.881205947519,188.3543838757,79.6583799485116,57.269981183105,97.2852752063542,1808.48489536843,1554,1424.70888644313,1663,1507,1477,1501,81.029240337838
"2046/2047",2047,120,120,100,52.1065724523233,186.844728029589,78.8639810325826,67.6218503632488,98.5895778316651,1979.15331835666,1719,1514.75820855893,1843.5,1676,1694,1650.5,82.2622487106373
"2047/2048",2048,120,120,100,48.4864135392693,168.537062023756,83.9021037241019,57.4599054761153,92.5210008614946,1921.46407649197,1748.5,1663.41998353447,1770,1777.5,1462,1764.5,80.5718807789044
"2048/2049",2049,121,121,100,60.9619529215878,246.606544477934,71.4224553708775,73.3178822245191,98.7118375640187,2265.22611176554,2058.5,1863.64156965029,2123,2027.5,1854,2027.5,89.5705447398304
"2049/2050",2050,120,120,100,54.7880789307734,220.835503140219,78.8755968670307,71.8092755746449,100.954291131733,2040.12139323339,1721,1522.46602888528,1902.5,1642.5,1793,1642.5,83.0728918156556
"2050/2051",2051,120,120,100,61.569992307746,234.849898030522,82.9776409034995,79.2234541650399,102.749533761989,2006.10712597764,1665,1365.9464163862,1905,1555.5,1866,1548.5,81.0676411931299
"2051/2052",2052,120,120,100,48.8546668518401,195.164391459706,74.0788470544359,64.70035814657,96.8607791581694,1939.99070687141,1668,1507.88169772353,1801.5,1641.5,1555,1617,82.0390114426036
"2052/2053",2053,121,121,100,44.8629211722312,171.245549818987,75.644112465238,53.5574832806963,90.8435171041046,1905.35117626894,1758.5,1620.32870289018,1788.5,1737,1462,1708,83.1428960734993
"2053/2054",2054,120,120,100,46.2456452216126,171.193970180286,70.3823804083431,54.9014216125784,90.4453727628626,1992.87740159334,1867.5,1807.01909951946,1849.5,1893,1446,1878,87.0936501287815
"2054/2055",2055,120,120,100,52.5932770319992,200.272654550914,67.4549807624424,63.6801045620297,93.2660649988055,2123.65635946972,1921,1843.15643975443,1969,1959.5,1590,1943,87.1760641093797
"2055/2056",2056,120,120,100,47.3368496726203,199.302979154235,74.8787220172475,60.6691032425678,95.8088881418558,1975.41127456597,1747,1595.22404696545,1854,1720,1579,1707,83.7339501624074
"2056/2057",2057,121,121,100,56.659392396135,204.7889706224,73.6968538673513,70.856559601951,96.2104119689922,2034.50541687186,1786.5,1463.649785849,1908,1696.5,1754,1638,78.9609867217596
"2057/2058",2058,120,120,100,41.7757395283169,185.186521986875,77.4902499295739,54.4487962404514,94.5907905453207,1848.48160673404,1635,1560.05731520433,1731.5,1622.5,1422,1617.5,81.3370219407852
"2058/2059",2059,120,120,100,57.4481936205822,234.62241633081,66.6502413457199,63.4210794274551,92.4414118913011,2165.14689717631,2014,1902.79420754214,2021.5,2031.5,1619,2023,88.5702289203682
"2059/2060",2060,120,120,100,44.0063362635978,184.717214696537,83.9561372617382,61.6662571589882,98.2083292342736,1761.14145741507,1441,1305.01841150109,1625.5,1380.5,1442,1370,77.3367855341276
"2060/2061",2061,121,121,100,48.3992480965432,208.683762719759,68.9727632025426,59.0568076193691,93.5529302134118,2033.1168572508,1872,1777.55887502056,1901.5,1885,1511,1878,85.8803437583338
"2061/2062",2062,120,120,100,43.2644529620937,150.761390623618,74.4379341660106,56.8394242014548,92.846350833872,1790.37471559944,1528.5,1314.91136233303,1630.5,1485.5,1435,1412.5,73.016210329346
"2062/2063",2063,120,120,100,51.8663939022268,207.61554484647,80.739934643093,67.6743156977223,99.530950095889,1948.12551023837,1699,1452.86424136398,1842.5,1620,1723,1607,80.2526458483535
"2063/2064",2064,120,120,100,53.126585344956,206.412759507467,79.7691969006051,70.8146605617947,100.648332466076,1986.90269379146,1696.5,1527.71478669321,1845.5,1646,1666,1643.5,84.2355328795129
"2064/2065",2065,121,121,100,41.3730043636264,171.337357442219,76.8772962898178,54.6364120169817,94.8848873244718,1875.47437789469,1647.5,1572.36853182129,1719,1653.5,1386,1641,82.4981145583151
"2065/2066",2066,120,120,100,49.4397536851123,208.400760214624,70.8444129841182,60.5161592273123,94.1711380762054,2069.09204705033,1862,1759.55563686285,1906.5,1866,1578,1858.5,85.103824317237
"2066/2067",2067,120,120,100,56.2517890027625,237.191525532582,69.6952836806224,67.6317628762934,95.3942756106525,2210.75452506694,2023.5,1851.91081763322,2078,1990.5,1753,1989,88.1692646485808
"2067/2068",2068,120,120,100,54.6101180496428,212.816782817616,78.9803620434146,73.1982596960748,101.509717240941,1963.27013836621,1675.5,1476.1155429491,1828,1632,1698,1629,83.0680289785832
"2068/2069",2069,121,121,100,41.967763370995,170.779876929944,66.4433587092069,52.7280524293288,91.4571804312497,1954.84690243466,1825.5,1813.51392192689,1802.5,1859.5,1316,1847,87.7268250762609
"2069/2070",2070,120,120,100,47.0528199423665,187.969792869972,76.2696869554977,62.1824807057276,95.6069863797485,1853.73975196201,1576.5,1459.97382548246,1711.5,1548,1500,1514,80.1103946266066
"2070/2071",2071,120,120,100,49.7103888458072,195.404603638963,74.1752457105473,59.2730592668863,94.4853064784079,2017.67562200094,1827.5,1717.89878648732,1877,1833,1592,1825,83.37819581228
"2071/2072",2072,120,120,100,48.5991730593125,179.493527023979,77.2492298239715,63.6339963906784,96.6532692474393,2006.98847512066,1764.5,1597.50185273188,1868,1730,1609,1722,83.2226268781742
"2072/2073",2073,121,121,100,48.2650197363683,221.346623924481,69.6646764830396,61.3691591295717,94.3778990235311,1911.20040427338,1721,1554.49650972523,1799.5,1651,1498,1628.5,83.3929500792437
"2073/2074",2074,120,120,100,43.2578458830536,178.675726779073,69.231201159838,50.3911825324642,89.4347205086091,2031.83569589281,1926.5,1862.3885652182,1890.5,1937,1492,1925,86.5643715941569
"2074/2075",2075,120,120,100,41.12090351226,166.430581136816,77.2824316841671,51.1477593792052,89.441562017267,1657.89061449841,1428.5,1261.82081047801,1442.5,1439,1325,1337.5,71.7720875913619
"2075/2076",2076,120,120,100,38.3790194541124,177.595845509158,70.2856346945157,48.212981722514,90.8099912660481,1807.17350520985,1637.5,1605.37158088539,1666,1660.5,1254,1632.5,83.6150252852749
"2076/2077",2077,121,121,100,54.7732819545125,209.020441159507,66.1688237802293,61.7035520090555,92.269563466603,2203.93755393079,2079.5,1981.43626536339,2068.5,2099.5,1651,2089,89.2250690164037
"2077/2078",2078,120,120,100,51.6148113838503,212.17341937702,80.4315814892221,71.8184941138433,101.74044459755,1966.85402600683,1662,1451.91444784491,1849.5,1572,1719,1572,82.4844942082073
"2078/2079",2079,120,120,100,52.7318850936701,176.979123799405,83.5721494531346,64.0855823695081,98.1693852115418,1990.58809695137,1752,1615.727897032,1834,1736.5,1645,1736.5,81.0905641344998
"2079/2080",2080,120,120,100,57.55537699506,198.878097153149,73.1735049210661,68.3262907885896,95.1271417016244,2163.16125644965,1972.5,1842.69064702396,2003.5,1988.5,1668,1981.5,88.8807593745169
"2080/2081",2081,121,121,100,50.4455919329445,195.544279203519,68.4074812458176,61.3345392196433,93.7898377347578,2186.10185153544,2039,1900.34944842598,2061,2009,1692,1999.5,89.4979580347772
"2081/2082",2082,120,120,100,42.983948212004,173.328427224382,71.463726365717,52.5202505651667,92.4205092505511,1971.87643613125,1806,1731.03169409653,1788.5,1854.5,1406,1831,85.1691823249857
"2082/2083",2083,120,120,100,55.5323819646917,207.994968310777,71.8965279649623,66.2124980449442,94.4915790553447,2077.62527872401,1895,1716.89106929122,1951,1867.5,1667,1849,84.1749133826452
"2083/2084",2084,120,120,100,41.8923707275248,180.131420216118,67.9545773746187,48.61982950716,88.6124903498217,1944.6436667628,1814.5,1776.99407144232,1789.5,1862.5,1338,1830,85.0431940448834
"2084/2085",2085,121,121,100,54.7626787999347,208.278639020909,84.2434419707738,69.0031128946611,99.5973849077849,1962.96259747376,1680,1474.03347443882,1840.5,1634,1686,1627.5,79.0010965068341
"2085/2086",2086,120,120,100,49.8824285096122,215.151101680162,73.0982399558621,60.293514904381,95.5402977550514,2023.30095622683,1785.5,1730.49149012262,1861,1812,1519,1812,82.9902772448331
"2086/2087",2087,120,120,100,47.728401131285,168.794587398984,78.4712339315595,62.1685412280438,96.4230271988145,1935.23278424889,1737.5,1549.8564843757,1807,1700.5,1579,1693.5,84.6031656656705
"2087/2088",2088,120,120,100,54.1062604110955,207.143528596492,75.2191056602631,68.0612509922267,97.6925680272935,2129.09382022417,1890,1717.74831876955,1963,1887.5,1725,1875,84.0771794717966
