"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,34.5772826519643,121.838327482072,63.3596765423579,40.0391680882669,83.59944457516,1772.02115223791,1758.5,1722.28507526394,1683,1749.5,1079,1718,81.7678045440481
"2002/2003",2003,120,120,100,32.4913965872863,101.691913234501,68.8168448345085,39.5010439301197,84.527473922516,1828.70436050597,1738.5,1809.7479721486,1661.5,1834,1084,1803,83.9107907356438
"2003/2004",2004,120,120,100,47.1283962543542,163.504204086016,70.7762250244513,58.5083486903247,93.316326032672,2061.23980687971,1816,1810.8148010729,1866,1886,1444,1876,87.8329320674451
"2004/2005",2005,121,121,100,47.6480268971083,170.425418669394,64.787838567942,53.9943887023974,89.8067776194283,2180.86225012582,2071.5,2071.55522802087,2005.5,2140.5,1507,2119,90.4298605472882
"2005/2006",2006,120,120,100,37.9793571158082,147.21082513091,59.8273488315649,42.1241928061241,83.4999474830877,1944.35717422728,1952,1940.402531148,1835.5,1973,1220,1947.5,83.0795758061817
"2006/2007",2007,120,120,100,37.4139229070684,144.155015527996,65.9686572172238,41.7315685985116,85.4601202060425,1887.0596279298,1809.5,1861.14311198882,1728.5,1911,1161,1880,84.473772189929
"2007/2008",2008,120,120,100,49.3771451943741,166.430335135203,73.8591125576212,60.698030449596,93.7738699693117,2091.7197182891,1905.5,1769.55800437947,1966.5,1883.5,1673,1870.5,85.1937612599089
"2008/2009",2009,121,121,100,39.4210326962515,167.222190712671,67.7680207346683,47.7581357832315,90.562205409658,2016.87482021757,1878,1874.54359494135,1861,1915.5,1351,1908,88.8808392181827
"2009/2010",2010,120,120,100,37.8823642587453,134.665312051844,67.431525094581,45.3416228368923,87.3678826839856,1942.07989431542,1862.5,1894.16943015564,1817,1889.5,1226,1884,87.2128794595967
"2010/2011",2011,120,120,100,49.7914308381729,157.798738122726,65.2969594666985,54.6667554785614,88.0111895487206,2132.71584086503,2095,2031.79606139559,2037,2100,1525,2097,89.0227384228353
"2011/2012",2012,120,120,100,50.0998215944716,157.931772811956,67.4731558618682,57.929126789072,90.5757431965601,2203.41424792149,2086.5,2042.85698637025,2067.5,2141,1634,2131,87.781201416728
"2012/2013",2013,121,121,100,41.722857611276,154.883807206602,68.9291541847722,52.4141688473627,90.7242256762271,1892.06973067279,1759.5,1710.44034203646,1800.5,1746.5,1318,1733,84.9140598711422
"2013/2014",2014,120,120,100,48.6049557737791,154.056827631615,71.9805068851727,57.697215616867,91.8626320406337,2117.5457541641,1965.5,1884.55639930098,1947.5,1976.5,1540,1965.5,86.5792550362639
"2014/2015",2015,120,120,100,32.2327685751596,116.451002871547,78.4512858709685,49.5613474182404,93.0102513635378,1571.41082220514,1271,1118.37593910584,1437.5,1237,1248,1170,69.8891800318738
"2015/2016",2016,120,120,100,42.1481243363305,133.16671602404,65.382581194766,48.3854587164464,87.4763486118973,2018.47580201802,1942.5,1959.99080747334,1886,1999.5,1330,1983.5,86.9251004723424
"2016/2017",2017,121,121,100,38.9450602298887,144.6736981259,67.285088025579,48.1405027088761,87.714003195694,1780.03445207098,1663,1529.59904189213,1658,1648,1275,1582,77.7277261959744
"2017/2018",2018,120,120,100,35.3489756182045,121.779665599173,70.3668918802415,45.8785558468789,88.803681400508,1771.93294524772,1616,1548.41261655032,1613.5,1638,1185,1585.5,79.5872410123411
"2018/2019",2019,120,120,100,45.4127818735135,138.293178700479,79.0756582047687,58.7040794832292,93.3551740143052,1928.87888620281,1709,1586.74987291624,1792.5,1697.5,1524,1665,79.787658130238
"2019/2020",2020,120,120,100,37.8637996223612,138.289466569005,64.3212755734901,46.8067465622004,86.9591921855087,1903.78895365405,1813,1743.85923990798,1796,1817.5,1285,1790.5,84.8973758122752
"2020/2021",2021,121,121,100,34.9947087580552,132.537142597052,61.0688351006597,41.6724815350315,84.7762477550824,1888.07897145054,1807,1862.66609086613,1713.5,1897,1077,1846.5,84.8727992083582
"2021/2022",2022,120,120,100,46.8447439101084,158.48353825399,78.9024327306301,59.5177036111407,93.2765311682534,1846.24718942367,1704.5,1513.8068952111,1780.5,1617.5,1503,1611.5,79.6137194008061
"2022/2023",2023,120,120,100,48.9915572349928,146.882199571025,69.4499277624725,58.8208270605587,90.4025061053901,1944.66037994373,1840,1651.81078821423,1849,1783,1511,1741.5,82.2682598039864
"2023/2024",2024,120,120,100,39.0352870752429,149.521519964671,60.5104957865283,43.4080861879713,84.8521888861856,1996.04681649804,1946.5,1973.6661329619,1874,2011,1227,1984.5,86.7509779118154
"2024/2025",2025,121,121,100,47.5660215209958,144.162646970092,64.090774999545,51.9706578029088,87.2669291775103,2110.93705382149,2084.5,2071.19917307093,2001.5,2123.5,1404,2106,90.0521808731223
"2025/2026",2026,120,120,100,44.9609450015753,144.289988981612,66.0120034402629,52.7498118013921,88.3999048235822,2061.80794970534,1960,1903.24774164346,1943,1985,1492,1961.5,86.8959472955785
"2026/2027",2027,120,120,100,43.8903154462597,165.7680262197,80.4353165205904,59.2757858667083,96.8517141350982,1914.10368057647,1652.5,1539.96641014534,1759.5,1644.5,1468,1641.5,82.9738894185271
"2027/2028",2028,120,120,100,45.4284399652568,121.250659197288,69.3401895960516,55.1290226914923,90.1447224895279,2023.76621035382,1910,1856.41668286806,1909,1924,1421,1909,85.8132670673426
"2028/2029",2029,121,121,100,53.0379889404013,209.466268977981,69.877431410866,60.5916508459011,92.8689331246968,2092.35407972606,1942,1848.048196446,1973,1929.5,1617,1919.5,86.9098358507204
"2029/2030",2030,120,120,100,48.659462537476,168.943223889197,70.3579567869693,56.2343685216306,90.3519816044992,2002.45769799748,1890.5,1814.11461138331,1905.5,1906,1478,1901,83.6739985360491
"2030/2031",2031,120,120,100,38.706676764254,165.923169407452,62.3413426708437,44.8716071102588,86.5100713813852,1928.54715045454,1870,1860.02082411777,1837,1905.5,1231,1888.5,87.2633926171738
"2031/2032",2032,120,120,100,43.8532006630129,160.500203368451,70.3508796685378,53.5504170813138,89.7562463196659,1949.45449574645,1798.5,1726.30686155648,1808,1811,1440,1779,82.7502445796408
"2032/2033",2033,121,121,100,43.8855740838053,149.914440313541,69.0058949077314,51.1416661481885,90.2225417804292,2065.43465414096,1914,1931.80980304801,1885.5,1982.5,1370,1957.5,87.9567133382689
"2033/2034",2034,120,120,100,50.4940954570468,182.903021841838,71.6236905730081,59.8101462034367,93.4628424634146,2069.7023321092,1889.5,1803.75790414479,1893,1897.5,1499,1890.5,87.0905128950444
"2034/2035",2035,120,120,100,49.6012982291836,156.663919470722,76.3029171239627,61.2618567147932,94.5388731182381,1942.32539899247,1790,1602.24563948227,1863,1716,1587,1707,80.3338588763654
"2035/2036",2036,120,120,100,50.3854271052692,157.287172246685,67.2741754061155,58.9235891343298,90.2658722776245,2063.13197368284,1972.5,1828.57905734076,1959.5,1952.5,1551,1926,84.5393509717605
"2036/2037",2037,121,121,100,39.2628432439951,140.684600459376,67.4349942046232,44.1469724900196,86.8834597842515,1933.47907950063,1884.5,1933.07798218493,1821,1931,1208,1920,88.2667586324114
"2037/2038",2038,120,120,100,55.4955089123293,176.662167585256,77.2084420055497,67.0571606488568,95.999271977055,2125.70063248633,1877.5,1740.5028267209,1990,1861,1748,1853,85.1809800638812
"2038/2039",2039,120,120,100,32.5672269393315,117.041684583261,66.6629464993313,39.3776588557499,84.1286971911151,1820.93867982633,1745.5,1758.23659373134,1678.5,1836.5,1130,1792,82.3885096276408
"2039/2040",2040,120,120,100,32.4792974579714,105.891268793995,58.5669423250392,35.9732610855442,81.4524666333467,1839.99404286988,1824,1916.77675171379,1722,1891,1004,1863,86.8285964697116
"2040/2041",2041,121,121,100,46.0437691538365,150.661814151054,65.3876388563109,50.7414917553003,88.1328993217742,2082.34143752641,2000.5,2020.5820601819,1955,2069.5,1420,2053.5,90.4799311189199
