"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,26.2571539569306,105.147638593688,58.8057277324194,32.6259102790337,80.2096108198106,1602.53627831571,1572.5,1552.52142527042,1484,1613.5,885,1539,74.5200406586456
"2002/2003",2003,120,120,100,29.6653678816739,98.1254039246838,63.4407418103564,34.9979261310302,81.6107374377145,1721.29146327388,1619,1710.26005212623,1528.5,1761,944,1683.5,80.4198097704457
"2003/2004",2004,120,120,100,46.778929274183,176.026033287665,66.1145435214108,56.6958194510569,89.8536067046216,1936.13470773274,1787.5,1650.39445422961,1780,1798.5,1420,1735.5,80.8843030031059
"2004/2005",2005,121,121,100,45.0160304031924,172.837220215488,60.0283280343439,47.9239840078111,85.3119092555988,2050.27910081373,1998.5,1972.66824286107,1869.5,2069.5,1300,2020.5,87.6648998908967
"2005/2006",2006,120,120,100,33.2718977374652,133.095219486574,55.2708747946601,34.6876741985089,79.0195268343438,1775.63580305625,1859.5,1826.15252328474,1714,1856,1048,1809.5,80.3654991580838
"2006/2007",2007,120,120,100,33.7859419215539,153.119365595423,60.2777685359038,38.6681652756137,83.7623209194993,1871.61258579034,1779,1825.56847925327,1687.5,1883,1135,1819,84.2719291779623
"2007/2008",2008,120,120,100,38.9318732650129,145.684453513562,68.8450703306786,48.1831375053375,89.6255046856482,1946.21227001522,1808,1780.63486557667,1817.5,1816.5,1318,1802.5,85.431710700567
"2008/2009",2009,121,121,100,35.609799145471,174.122959831641,62.4359037476941,44.2071796195936,87.4484527369245,1864.70811676394,1794,1757.60866075104,1752.5,1808,1233,1776.5,87.0651640060105
"2009/2010",2010,120,120,100,44.1060205382398,156.57472063318,62.037554246513,48.1204556436883,84.3783844857152,1887.19848556228,1845,1783.24815913041,1797.5,1857.5,1280,1813,82.3687379566763
"2010/2011",2011,120,120,100,39.0744119393624,148.669094012757,60.1318212768194,42.9386423437895,83.9162064168182,1974.2710424307,1952.5,1986.48726182432,1864,2003.5,1244,1995,85.7278674660854
"2011/2012",2012,120,120,100,46.5126966764305,168.992962573176,62.7188146256449,51.2177517001175,86.73870919975,2077.9500844283,2003,1968.83726343151,1943,2056.5,1436,2018,85.8040994485227
"2012/2013",2013,121,121,100,38.5151712450274,157.45409209618,63.6699471078743,46.341448490214,87.1254225108378,1863.40158621986,1738.5,1735.19756484392,1711,1788.5,1174,1739,83.5672340749611
