"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,34.2870569495532,157.188015325527,63.328152452545,41.9004449052698,86.0557655907172,1771.99568013543,1701,1674.15312039872,1677,1692,1154,1659.5,82.4382410564823
"2002/2003",2003,120,120,100,42.0357099768776,156.341404473169,67.9264278374264,47.433791037464,87.4653439820327,2011.84538326494,1932.5,1911.29136564781,1841.5,2006.5,1350,1975,86.1814500555984
"2003/2004",2004,120,120,100,54.3932897236165,213.916446120077,70.9752415783333,65.9593323492201,95.4616382635719,2081.4712419012,1859,1696.78825359007,1923,1825,1646,1801.5,86.6479713226661
"2004/2005",2005,121,121,100,51.0701236677517,208.007133902684,65.3011109066908,59.7512004091151,91.4890652772697,2109.89043547611,1971,1850.25964422247,1952.5,1997,1582,1959.5,86.2189550993274
"2005/2006",2006,120,120,100,45.3261001980022,194.224251058752,60.2582346668226,50.2871375352507,85.2893362751235,1913.1334500367,1871.5,1730.24735509816,1821.5,1830,1370,1780.5,81.8235207087295
"2006/2007",2007,120,120,100,41.5656817898695,182.479997497592,65.5452525171023,47.3167613526215,87.8921865517212,1956.03320852388,1856,1814.42949767888,1814,1905.5,1367,1872.5,84.2473010382145
"2007/2008",2008,120,120,100,51.4716137659198,200.6199431505,74.1420369798866,62.0230447102787,94.7089565984002,2053.77734689661,1857.5,1746.64169583561,1930.5,1842.5,1592,1839.5,85.5870169846964
"2008/2009",2009,121,121,100,37.9422334482574,194.121126198635,68.0789479745346,48.4257165943188,91.5864523757068,1915.10584181104,1764,1720.76330691233,1760.5,1769.5,1323,1757.5,85.1476027502731
"2009/2010",2010,120,120,100,46.108325527281,180.480077669668,67.2003331233983,56.1137253507368,90.4505887430693,2031.09562987483,1880.5,1807.91315935473,1875.5,1894,1439,1873,85.6165098101792
"2010/2011",2011,120,120,100,50.0466665410856,191.253129044301,65.6900874510438,56.6781128694972,89.7657702319747,2110.41362530595,2009.5,1908.39182735146,1975.5,2001,1539,1989.5,87.152791014136
"2011/2012",2012,120,120,100,53.211077783837,193.825854429562,67.75316479049,61.0629680521204,92.1752870791066,2138.16406026686,2004.5,1924.89218157037,2002.5,1999,1572,1992,88.1084956684433
"2012/2013",2013,121,121,100,50.7277015566558,206.295429694899,67.9252280160214,60.8763847790168,93.781367387623,2111.4820196271,1939.5,1853.44915263839,1948,1947.5,1564,1930.5,90.5725225770889
"2013/2014",2014,120,120,100,52.7289545102543,176.970817790275,72.4588933683831,63.7748254125987,93.4583533788386,2052.87677142524,1865,1690.56610170489,1918,1860.5,1651,1817,83.3467691848332
"2014/2015",2015,120,120,100,38.5870828013202,155.962779849791,77.4855379452958,57.1278905840579,95.5561991989466,1706.15931177815,1444,1250.86818792362,1594,1376.5,1407,1333,76.7260536044987
"2015/2016",2016,120,120,100,48.469898741472,182.007339019009,65.2376599653531,55.8266104447303,90.1745012912611,2146.87630191256,2034,1977.86272111953,2005,2062,1525,2043,90.0330639944455
"2016/2017",2017,121,121,100,40.1664009867687,180.942224150153,67.1041418014899,50.1340757460246,89.3244452178319,1855.13526687546,1695,1613.69941814196,1719.5,1710.5,1345,1659.5,81.0478637263063
"2017/2018",2018,120,120,100,35.5176162820061,158.286203630321,70.8556151636432,46.9127289151584,89.7067036308823,1768.94422014499,1625,1548.21287044743,1658,1605,1249,1569.5,77.8239047036973
