"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,27.1663874711033,117.910820643639,57.0082933179598,31.2870608753268,78.6405105220427,1574.08091715228,1557.5,1516.10025533068,1445.5,1592,913,1495,72.8334005749586
"2002/2003",2003,120,120,100,26.8142433909261,94.6855647171272,62.0433713536943,31.4915450676377,79.8100462615987,1632.48798353683,1601.5,1637.3040417939,1489,1674,865,1587.5,77.1796289891492
"2003/2004",2004,120,120,100,42.9760459427667,176.084790368767,63.6221579553735,51.5530518097964,88.9498821478361,1969.5713367093,1791.5,1806.03005098813,1787.5,1849.5,1302,1813.5,87.0326385999769
"2004/2005",2005,121,121,100,37.5493712008239,165.169596395144,58.182468705673,41.9621249879988,84.2374215828083,1979.50048358486,1913.5,1967.8013569246,1807,2016.5,1197,1970,89.190842368467
"2005/2006",2006,120,120,100,29.0515501673277,137.960317149378,53.7586196604175,31.7143415718017,77.8048049498811,1715.13319902923,1753,1728.88653293941,1612,1764.5,998,1702.5,78.606668506471
"2006/2007",2007,120,120,100,27.4681578795958,134.292181976933,59.0609742857039,31.1224003269869,80.7574187048256,1687.04392397375,1651,1703.44863093875,1520.5,1725.5,908,1657.5,80.2371015475704
"2007/2008",2008,120,120,100,43.460522335243,170.79893379621,66.6644929440136,51.732167180704,89.1809289479205,2001.85804967309,1886.5,1780.5488118428,1878.5,1877.5,1474,1845.5,82.8504840902908
"2008/2009",2009,121,121,100,31.2016394566209,165.17073487663,60.7518170566167,39.0684834773553,86.0053453362363,1879.30601470361,1767,1781.34387773021,1714.5,1826.5,1164,1790,85.1083972145129
"2009/2010",2010,120,120,100,30.7913806002928,132.892923241924,60.752874777941,36.5435025027158,82.504224760371,1764.57301742741,1739,1763.06328556758,1663.5,1777.5,1035,1737.5,82.2074958405858
"2010/2011",2011,120,120,100,39.4983463084493,152.494576218522,58.7856804220396,41.688492088946,82.5776059416073,1958.0273787815,1965.5,1965.08576524117,1848.5,2031.5,1226,1999,86.1594632080141
"2011/2012",2012,120,120,100,42.0432587801708,152.857676219343,60.788521272089,46.7221142663526,85.3285091900289,2036.56365406822,1986,1989.4927889412,1876.5,2050,1314,2017,86.7916027659421
"2012/2013",2013,121,121,100,39.5491541106165,169.186122462585,61.8631243072054,46.0187923631348,85.8300697383308,1791.30555050503,1718,1647.8987833064,1686.5,1703,1209,1647,80.4064285711149
"2013/2014",2014,120,120,100,43.2929133063585,154.707571843698,64.7915655497985,48.9014283757687,87.1169233360508,1988.20213517766,1886.5,1852.97277186065,1835.5,1959,1335,1919,85.6620465558012
"2014/2015",2015,120,120,100,35.8031788801217,141.824814507654,70.518413836073,51.5251166519133,89.751195349238,1622.33414668086,1353,1146.08552303967,1402.5,1325,1271,1203.5,69.6775466127606
"2015/2016",2016,120,120,100,34.188081098973,131.643010415872,58.8887489461996,38.7662378387089,82.3422021116454,1828.34279683974,1807,1827.45678203109,1708.5,1861,1086,1803.5,84.4176666754581
"2016/2017",2017,121,121,100,35.3848351641295,153.831682364881,60.3986081985908,42.156379786038,82.8186010659054,1682.35601947173,1577,1437.73428127234,1498.5,1594,1122,1454,74.1854165683972
"2017/2018",2018,120,120,100,30.5360430719802,127.294862795668,63.4974077662031,40.3747373845271,84.5638755473458,1655.40084812199,1519,1443.92746956864,1516,1556.5,1096,1456.5,76.0151543194056
"2018/2019",2019,120,120,100,43.9515753419083,151.692767176238,71.4529518485884,54.0943423288415,89.3276521502155,1903.06587835529,1738.5,1629.29868421402,1739.5,1744,1396,1692.5,79.3021540029313
"2019/2020",2020,120,120,100,33.5687542647754,141.869169025684,57.8158210075081,39.6354266233633,81.6718296941182,1753.3412305379,1705.5,1615.93729658522,1632.5,1715.5,1135,1631.5,78.4201201376236
"2020/2021",2021,121,121,100,28.4925639622053,131.218014642718,54.8493982285276,32.9189234284387,79.2258490974782,1665.06435087793,1594.5,1651.15654121116,1510.5,1702.5,889,1598,77.9749244950949
"2021/2022",2022,120,120,100,47.3826753594521,178.256008193296,70.97423172321,55.1421162948696,89.578810714862,1836.29610992586,1704,1549.5243797473,1723.5,1668,1409,1634,77.4983262600972
"2022/2023",2023,120,120,100,46.2361174211172,161.098660814987,62.5459802103363,51.7758156817622,85.2579283184342,1852.29098093924,1786,1623.69541882653,1723,1763.5,1343,1680,78.0528137703727
"2023/2024",2024,120,120,100,29.2622126202874,145.345387693405,54.2693201605481,32.3080693264055,79.1691795378265,1790.7836381862,1787,1813.83029675337,1673,1858,1035,1782.5,83.3105998178144
"2024/2025",2025,121,121,100,36.8462263356467,135.043113099014,57.7508629181128,38.6716048827292,81.4477605912169,1873.87527684926,1928,1922.57568654858,1805,1955.5,1142,1908.5,84.9427785607204
"2025/2026",2026,120,120,100,39.3390622002652,142.406552660628,59.5721883701062,43.9393250766829,82.7206419490657,1888.0220273486,1845.5,1789.67691273823,1743.5,1863.5,1237,1796.5,82.1989970356026
"2026/2027",2027,120,120,100,40.0534250615435,183.790815310339,72.3330735477546,54.7561515050356,93.2643166106362,1865.25342383541,1663,1571.14277085631,1720.5,1654.5,1348,1639,83.3760014686995
"2027/2028",2028,120,120,100,40.6904416440821,128.336041414601,62.7510748336056,46.3117615418889,85.0860843156668,1872.32383974637,1814,1778.26914602043,1743,1830,1190,1784,84.8047423933431
"2028/2029",2029,121,121,100,44.3805440746311,212.26111064693,62.6732098727932,49.3235331720523,87.6803257456431,1980.73686325645,1898.5,1830.20420115712,1829.5,1901,1372,1868,85.4767576644508
"2029/2030",2030,120,120,100,42.7242007752237,178.317256679173,63.3046216378269,46.8939833147214,85.4943388862987,1872.04608392411,1832.5,1744.96108186431,1778.5,1807.5,1298,1773.5,83.2688870390334
"2030/2031",2031,120,120,100,31.5994255366681,166.50264768422,55.9105680701617,36.0132796824927,81.094808636541,1733.8881542663,1721.5,1671.1940142508,1636.5,1727.5,1074,1662.5,81.186519012886
"2031/2032",2032,120,120,100,39.2761167203117,164.040747785384,63.1449613638142,44.8912482534165,85.336031205446,1837.49960123403,1711.5,1659.73825638421,1663,1764.5,1239,1686,81.9580296017302
"2032/2033",2033,121,121,100,33.822896490785,143.363711659953,62.2815185371136,40.8621958727211,85.168399983921,1893.97172867529,1783,1829.42320278522,1706,1852.5,1114,1807,86.1590910678392
"2033/2034",2034,120,120,100,43.9995438753748,188.379379610585,64.455951064539,51.4419174654417,88.8394546702149,1964.65860987997,1838.5,1787.12142760082,1823,1868,1329,1846,86.1113970357865
"2034/2035",2035,120,120,100,47.0603926957152,170.573317735183,68.8209823534738,55.0658802467752,90.2207299436621,1909.68465929537,1777.5,1635.16133029031,1804.5,1744,1483,1710,79.7593058570001
"2035/2036",2036,120,120,100,43.372252701092,163.794218205421,60.6179087042077,48.7992483496495,85.1048314274535,1917.4673166688,1848.5,1755.24955081406,1790,1878,1342,1808.5,79.6149268830304
"2036/2037",2037,121,121,100,31.5952931759671,135.651320960857,60.7032722839828,34.1384879556236,81.8382023475822,1702.62645426508,1722.5,1747.9099880849,1640,1753.5,988,1718,83.7253533923631
"2037/2038",2038,120,120,100,51.5605518027372,192.527132272824,69.5023297392615,58.8072331272827,91.7665521961124,2086.44703387412,1914.5,1827.8193159747,1938.5,1932.5,1595,1913,86.0572479331995
"2038/2039",2039,120,120,100,25.8614181015333,112.726169564128,59.903370457468,31.2099010692568,79.7975330016284,1639.1236451786,1588.5,1605.9608244682,1466.5,1655,891,1560.5,78.4761933276504
"2039/2040",2040,120,120,100,24.9706056332538,101.412529196842,52.7193113366093,27.2780034360554,75.7072317878847,1591.10214677273,1612.5,1654.40504544959,1451.5,1664.5,757,1587,78.97134005728
"2040/2041",2041,121,121,100,37.3622081426648,143.844074560525,58.8420030385624,39.5292285209898,82.6090024382237,1880.99038923797,1868,1881.02632876528,1775,1912,1169,1861.5,84.7297969619976
"2041/2042",2042,120,120,100,42.4965244755556,134.616160496555,62.9394252064052,47.6090666290002,86.0225415105172,2055.79663408181,1958.5,2035.86941494112,1870,2059,1228,2040,89.1305668370251
"2042/2043",2043,120,120,100,16.3825003523864,68.4007812324777,55.1754969592274,19.0426068319253,72.2559516757576,1243.22172618541,1269.5,1223.52041250214,1113,1317,550,1154,65.4616782610265
"2043/2044",2044,120,120,100,50.6768609330408,195.012283768009,66.4421373438012,56.2773314690215,89.8113202186748,2103.73523568182,1964,1910.7732091181,1941.5,2015,1514,1991.5,88.1987359942168
"2044/2045",2045,121,121,100,32.1694334291279,124.754756684334,60.4121886858436,37.6109037875773,84.0584556731964,1934.91664505615,1853.5,1942.93010579786,1726,1971.5,1059,1928.5,85.8729506703994
"2045/2046",2046,120,120,100,38.5066220207883,165.390809236488,66.0668698167203,48.559876931012,89.0841668017219,1817.24123938978,1662,1624.70921465756,1683,1704,1256,1660,83.2015541794854
