"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,34.2243240488477,90.4582834352388,66.845455595727,40.6925072918753,84.9225347975811,1788.27640411054,1767,1776.89648142064,1710.5,1778,1076,1763.5,80.1827638269367
"2002/2003",2003,120,120,100,35.2312725440781,76.5896061243308,72.0393500201252,42.2159937293305,85.7563966717855,1878.29556900496,1789,1864.92687263219,1708,1872,1096,1857,84.2356879139672
"2003/2004",2004,120,120,100,50.4642323259698,138.229702100016,74.6090915778929,62.7591180040046,94.63692151803,2141.46201367624,1892,1855.7383358067,1960,1936.5,1583,1929,87.3289240762506
"2004/2005",2005,121,121,100,49.3385789157567,129.570523156872,68.6875321925071,55.8524693163995,90.724578644041,2207.9346470542,2096.5,2080.50758952172,2050.5,2168.5,1528,2153,90.3557987394984
"2005/2006",2006,120,120,100,40.8532470287727,111.209606526618,63.2864993445554,45.1539211744092,84.67477354465,1991.42656190081,1989,2017.03202775914,1911,2024.5,1256,2013,87.4411187324869
"2006/2007",2007,120,120,100,39.8265643782913,112.707977191342,69.9535710065866,44.5327382301623,86.555553412044,1960.35725993633,1885,1945.27935376722,1800.5,1974.5,1219,1957.5,86.5281551194097
"2007/2008",2008,120,120,100,48.4066400398651,125.387291657245,77.8137626397661,60.5020330896195,94.3226213483386,2077.49694323135,1876.5,1785.4090566745,1960.5,1883.5,1603,1879.5,82.6544488293758
"2008/2009",2009,121,121,100,39.2760533674654,120.693582164552,71.9835181839693,47.492098427385,91.1366207215015,2027.24583376439,1881,1927.77720925533,1849.5,1946,1286,1945.5,87.3570345227097
"2009/2010",2010,120,120,100,41.6451168163733,104.025681120146,70.8227335355174,48.8226271759902,88.7367145648659,2043.79605101889,1946.5,1998.83084970821,1908,1989.5,1326,1987,88.9876891670299
"2010/2011",2011,120,120,100,51.6753686126527,123.757569518788,68.5614858198627,56.5670988248233,89.2079129798298,2236.65945311435,2189,2166.71505077939,2106.5,2234,1572,2234,91.6109917110382
"2011/2012",2012,120,120,100,51.4985611285223,123.854018573606,71.1230554496648,60.0818416991875,91.6916021975915,2240.87314700062,2111,2062.00183794703,2082.5,2133.5,1695,2129,86.7582055047017
"2012/2013",2013,121,121,100,44.3074384692654,128.33598606454,72.3561055869491,54.9933431854129,92.259688614406,2025.81131965952,1896,1848.60603973823,1908,1869.5,1447,1867,86.9616128457603
"2013/2014",2014,120,120,100,48.8803350292112,116.313665106002,75.977656935135,58.5560961765553,92.7389413144766,2137.26297051524,1965.5,1876.52506005328,1958.5,1970.5,1570,1963,86.1112335976095
"2014/2015",2015,120,120,100,32.0235466633344,91.9050980750163,82.7760761113629,50.7996248233866,93.8117527412063,1564.37528109239,1253,1077.07293336528,1443,1174,1277,1118.5,68.1170650952445
"2015/2016",2016,120,120,100,45.3742632192615,109.005578659876,68.7229159160344,52.2430844365258,88.8970732376681,2079.36073550727,1983,2001.75194897846,1939.5,2031,1400,2023.5,87.9702993683613
"2016/2017",2017,121,121,100,40.2849696505171,111.945671527683,71.1624320818755,49.9150990244604,88.5943637954639,1842.09912246747,1724.5,1614.91329741218,1710.5,1725,1298,1679,79.0714303588593
"2017/2018",2018,120,120,100,34.7447821999438,93.0063482026054,74.2960353582953,46.2607885098483,89.3037543312549,1773.6313668748,1604,1570.51165726622,1624,1633,1159,1600.5,76.9423824220066
"2018/2019",2019,120,120,100,46.9469903715963,108.057098120485,82.9172644956308,59.0014582800699,93.8987196079213,1959.03279514586,1772,1629.59609962198,1861.5,1761.5,1572,1737.5,77.9071589208666
"2019/2020",2020,120,120,100,37.5657463043854,102.848406039311,67.9657086110595,47.2644200389171,87.9250129461145,1925.53268455207,1830.5,1794.04127472593,1810.5,1828,1258,1815.5,84.9637194651596
"2020/2021",2021,121,121,100,38.0063407485084,104.991386509954,64.7172484848097,45.3166874975673,85.9423678505781,1960.43843356872,1868,1908.64365597974,1800,1946,1185,1906,86.5378986035789
"2021/2022",2022,120,120,100,48.4974458448442,127.671813778922,82.7788778109717,62.646026580336,94.8834940427842,1917.29376455916,1763,1543.41173580181,1858.5,1639,1600,1636.5,79.9621161842242
