"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,27.7959240917932,110.278993312837,60.4101056456478,33.7439106165593,81.4890019540188,1648.63568191293,1633,1612.64007887241,1565.5,1654.5,972,1603,77.9268373879635
"2002/2003",2003,120,120,100,29.8506325087457,93.0266544791518,65.3190399333636,35.8152197738131,82.6274059622523,1754.17306822149,1680.5,1741.36073506681,1574.5,1788,971,1726.5,82.1384909860827
"2003/2004",2004,120,120,100,47.6324740312549,175.295742179691,67.5025506315231,58.5807486107264,91.4869747500873,2029.35106173328,1848,1773.14906090217,1857.5,1860,1474,1832,85.8375161847363
"2004/2005",2005,121,121,100,44.6924061047214,166.239626863994,61.763901210993,49.3004720024164,86.7966424039435,2076.14452752793,2020.5,1998.3289553849,1916,2077.5,1357,2041.5,88.7411986174692
"2005/2006",2006,120,120,100,35.1589750695008,137.57390768311,56.8502322424889,37.5083297188467,80.7055612530446,1849.4819977317,1897.5,1894.20060795915,1766,1909.5,1118,1881,83.9275808909264
"2006/2007",2007,120,120,100,33.9947279598633,143.177916139448,62.3520946129582,39.0486705845092,84.0457043614778,1864.10089989823,1793,1841.34019276563,1696,1874,1131,1825,84.9748876231059
"2007/2008",2008,120,120,100,41.2284232055229,151.962242662181,70.7089650770125,51.1369974296202,90.9512498574502,1976.26909739772,1837,1777.35685098869,1855,1841,1402,1826,84.0382083481106
"2008/2009",2009,121,121,100,33.8746369876332,157.090940893641,64.432144735223,42.3403422069566,88.3655546624093,1917.27589572532,1795.5,1818.02036646485,1759,1841,1210,1823,87.551320052351
"2009/2010",2010,120,120,100,39.8559714727318,141.126737219301,63.8721349117504,45.415659626103,85.6475003511998,1934.39279308084,1872.5,1882.79004064791,1811,1892,1235,1873.5,86.2831590905905
"2010/2011",2011,120,120,100,44.2117709015448,157.19168496003,61.7668285124623,46.9285741234434,85.5333512259916,2109.78051215024,2087.5,2123.92867614335,1986.5,2159,1384,2156.5,90.1920382682379
"2011/2012",2012,120,120,100,46.5472241105591,157.645294516025,64.3870561861333,52.8235375618237,88.2257915012291,2117.86222518859,2040.5,2002.65677950309,1962,2079.5,1450,2057,86.2701173141663
"2012/2013",2013,121,121,100,41.1888966982383,161.637498934206,65.2606241681129,49.478626415321,88.6521770823783,1933.45765052015,1798,1790.67517398453,1787.5,1835,1269,1802.5,86.5030729368841
"2013/2014",2014,120,120,100,48.1552945328943,153.042183369696,68.3580143319318,54.954693940357,90.066108567976,2102.77466136179,1986.5,1884.97069024582,1924,2012,1480,1984,86.178974434134
"2014/2015",2015,120,120,100,34.0495380364887,127.984154512251,74.4357382964356,52.6004406365258,92.2529250545788,1629.55753895843,1357,1143.40103255419,1482.5,1292.5,1325,1201.5,71.7064632226022
"2015/2016",2016,120,120,100,39.6112153190171,132.17814403934,62.355831162074,45.2622104277626,85.1186746746738,1933.34171917743,1883,1893.9048562142,1820.5,1914,1238,1879.5,85.316431606909
"2016/2017",2017,121,121,100,38.812618294512,145.785802666747,63.7889456732176,46.5331511758903,85.6736284120249,1808.64116043253,1694.5,1583.89215094271,1653,1723,1229,1629,78.9967494380689
"2017/2018",2018,120,120,100,29.5869281571364,115.769925604686,67.4567070792926,41.0953976023549,86.2117064649394,1642.97406702676,1526,1455.19399759637,1521.5,1512,1053,1443.5,75.8543109532488
"2018/2019",2019,120,120,100,44.725083226535,139.251193007713,75.3944896169854,55.052993500664,91.176540669291,1934.82683183813,1765.5,1666.234586116,1791,1778.5,1475,1743.5,79.3823395452218
"2019/2020",2020,120,120,100,33.4402647045685,132.063313263187,61.2716893301025,40.883694923966,84.1764776804956,1818.95784378593,1748,1699.79234438801,1693,1777,1163,1730.5,81.2972162577971
"2020/2021",2021,121,121,100,34.571807036793,127.249658280565,58.2439845376685,39.4733785349836,81.9546936764875,1800.39403275964,1737.5,1753.19349289638,1628.5,1810,1012,1724.5,80.283375440898
"2021/2022",2022,120,120,100,51.0870689047051,173.715113260313,74.6618956088234,60.4825044842154,92.37261043021,1931.04538270816,1784.5,1615.21182892522,1821.5,1725,1519,1710,81.7791361906525
