"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,28.4391485055619,120.844350956584,58.0137561926832,33.2898387286645,79.6813783164009,1596.22335547816,1604,1545.53036817419,1486.5,1604,931,1518.5,76.1998452938295
"2002/2003",2003,120,120,100,28.146366175782,99.7518819069955,62.8192233055835,32.9900399387922,80.9299530611921,1686.40550491775,1656.5,1691.45914047327,1530,1723.5,906,1650,79.9170798456691
"2003/2004",2004,120,120,100,45.7053703740248,180.656616458382,64.6180544269598,54.0391844102826,89.8037434226371,2004.26086470541,1827.5,1822.49375996583,1832,1870,1369,1840.5,87.9749824369254
"2004/2005",2005,121,121,100,38.6115223939467,166.742679007696,59.3672347613218,43.6057345689485,85.2794536181549,2001.38761026209,1925,1959.9307872005,1837.5,2017.5,1253,1970,88.0558535950285
"2005/2006",2006,120,120,100,30.3015397288584,138.146761155245,54.8401254313585,33.337275039027,78.8093520776452,1735.1033309314,1765.5,1746.99715734575,1643.5,1785.5,1010,1729,80.8323753589789
"2006/2007",2007,120,120,100,29.3658326816927,138.803619461481,60.1684633931454,32.9008444816832,81.5679351236306,1735.47277073986,1693,1743.94575812456,1587.5,1768,994,1711,82.0503029840734
"2007/2008",2008,120,120,100,45.7955323378957,175.277454194338,67.856084458871,53.9142970065862,89.9676294467517,2000.77735186865,1856,1753.33066969439,1889.5,1849.5,1526,1814,82.5362697650978
"2008/2009",2009,121,121,100,30.7326479134009,162.909462225052,62.0668475591276,38.5975403199835,86.6274457505357,1860.46531771372,1746.5,1769.13620411889,1705,1808,1146,1772,85.0992908966269
"2009/2010",2010,120,120,100,32.6006969374885,134.229127758014,61.7133932498564,38.6634993350973,83.6239880116301,1836.82683219929,1803.5,1832.13911733531,1718,1849,1080,1817.5,84.8525044469491
"2010/2011",2011,120,120,100,40.7451197116143,151.53403930795,59.8638617784201,43.4846302802607,83.4302227079704,1993.49260682242,1996,1982.60853143838,1888.5,2045,1286,2020,87.582534293437
"2011/2012",2012,120,120,100,42.5699387659641,152.587443295451,61.975108003609,47.8890630080561,86.0474381706801,2043.14218245863,1977.5,1973.99415419466,1877.5,2043.5,1320,2018,86.8440499808769
"2012/2013",2013,121,121,100,42.0080028249612,173.94360481828,62.7140029536815,48.8704972153337,87.0637294808664,1854.34480113898,1763,1716.48331875044,1752.5,1747,1287,1704.5,81.6406101526809
"2013/2014",2014,120,120,100,43.3068606720822,154.123813665948,66.1497295879608,50.7377356720267,87.7641802226608,1986.99010533901,1865,1837.96388032358,1835,1938.5,1346,1900.5,83.9072576934561
"2014/2015",2015,120,120,100,37.3509406666634,145.986913200225,71.8118300514646,53.5986378259865,90.6117143928475,1626.17487027275,1342,1121.36881064795,1428.5,1302,1329,1178,70.4960458278108
"2015/2016",2016,120,120,100,36.8267053978924,138.996848479583,59.7949141660842,41.6813960236677,83.4407128153031,1877.26709139498,1842,1857.69862531878,1751,1899.5,1154,1851.5,85.1240029166042
"2016/2017",2017,121,121,100,37.0580746112381,159.214611126114,61.6309858248398,43.8058839773291,83.6445806502511,1713.92514017654,1575.5,1457.33900481632,1528,1632.5,1166,1502,72.7553337461434
"2017/2018",2018,120,120,100,32.7728512332768,132.178491493658,64.5332749471171,41.8542958014595,85.3670847453571,1700.30343700614,1554.5,1483.42631455303,1553.5,1614,1140,1522.5,77.5795177479995
"2018/2019",2019,120,120,100,44.1659080627422,149.741106296132,72.5863774618937,54.40068783873,89.9319449891678,1911.1760015914,1751.5,1648.67939199502,1757,1769.5,1415,1726,81.5722220760563
"2019/2020",2020,120,120,100,33.2811961935571,143.473388237976,58.9028057922274,40.4718621523504,82.6198505597234,1766.26432333174,1704,1606.50741336879,1645.5,1703.5,1156,1624,78.4452098591128
"2020/2021",2021,121,121,100,30.8525648558454,136.395088020401,55.9395424431508,35.5638740302967,80.3989747861536,1728.88799878993,1660,1685.83369307261,1566.5,1760.5,953,1659.5,80.2664738559165
