"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,34.9966990009339,139.699535966407,63.4682935161541,41.357495950407,85.0591723836884,1784.68961123045,1734,1728.33232099328,1702.5,1757.5,1127,1729.5,81.7279462396919
"2002/2003",2003,120,120,100,37.891935294036,128.650608338603,68.4750493098267,44.0985780493049,86.2998519493295,1960.94144181079,1881,1912.9396947184,1780,1965,1258,1939.5,86.8800616270075
"2003/2004",2004,120,120,100,52.4382956904674,191.952188414177,70.9981901464618,63.3474413122632,94.5414196583368,2103.64473104747,1877,1785.29899275463,1924,1904,1593,1890,87.7875695675998
"2004/2005",2005,121,121,100,51.0943244484107,191.909132206201,65.1685036216237,57.8360731788743,90.8471269336577,2179.04489694117,2078,1998.69400396225,2025,2114.5,1571,2087.5,89.130568856963
"2005/2006",2006,120,120,100,42.6924491092869,173.178158012788,60.2011010169129,46.693958300257,84.5157411331122,1941.24808124754,1940.5,1866.22048270183,1866,1934.5,1316,1906.5,83.180933306067
"2006/2007",2007,120,120,100,40.1054620172467,163.438348809531,66.0122730600829,44.6920210236914,86.7233542345135,1946.98891349912,1868.5,1876.46606780418,1791,1932.5,1276,1906,84.9473350386266
"2007/2008",2008,120,120,100,51.6894587715066,186.154337965897,74.0087683882773,62.6313207994135,94.8966183790641,2107.79981469874,1912.5,1780.08981008916,1991.5,1897,1673,1892.5,85.9229786924936
"2008/2009",2009,121,121,100,38.4745271523744,183.439516605483,68.06955098135,47.6173884772941,91.2806033676266,1981.70457818498,1839.5,1821.75007787496,1826,1869.5,1356,1862.5,86.0713264055698
"2009/2010",2010,120,120,100,43.375827526673,160.841428725854,67.4223766477127,51.3147380214873,89.1107403156347,2009.18496151236,1886.5,1878.22391424712,1876.5,1917,1374,1909,87.431982114447
"2010/2011",2011,120,120,100,49.8480668828688,173.515535633683,65.695815759948,55.9195930831478,88.9615584677649,2122.36960374924,2048,1974.72917012377,1997.5,2037.5,1530,2036,88.5249310192364
"2011/2012",2012,120,120,100,53.4987593143378,177.641640515131,67.7422503858886,60.6039997254348,91.6052107827364,2217.74410916999,2102.5,2022.07378398055,2073.5,2118.5,1659,2110,88.7068215821569
"2012/2013",2013,121,121,100,46.2171294897713,178.191688059575,68.6577334764185,56.7298604349766,92.5637835635217,2019.095982037,1836.5,1788.27442632728,1880.5,1875,1450,1862,88.1474178077576
"2013/2014",2014,120,120,100,52.4246744026372,170.613670351605,72.3884213167603,61.2739311652652,92.805531884463,2118.76698203129,1959.5,1823.2557731732,1971.5,1955.5,1640,1935,85.9186957326563
"2014/2015",2015,120,120,100,36.0439349261924,137.607056480187,78.1897706717261,54.4453614448321,94.7719477459323,1664.25686550487,1365,1199.61308175246,1536.5,1294.5,1364,1238,74.2049354196474
"2015/2016",2016,120,120,100,46.2899965624651,156.816229240528,65.4438036171914,52.8213522799426,89.1405058149722,2118.23582214629,2018.5,2007.61356028333,1977,2071.5,1456,2055.5,88.3673544778458
"2016/2017",2017,121,121,100,40.4414691632607,161.671381787147,67.3913713752592,50.1164422779168,88.8168641624725,1842.99294317986,1715.5,1597.04255128724,1718,1707.5,1320,1654.5,79.627823967387
"2017/2018",2018,120,120,100,36.1876389664038,139.520061683283,70.5967273430619,47.4752948113553,89.8590965926686,1807.20750757807,1653.5,1584.6183800237,1684.5,1662.5,1235,1626,81.3850757476575
"2018/2019",2019,120,120,100,48.2902431500293,153.859850279996,79.1317215201563,60.1566006562953,94.3205531576214,2000.81893507504,1802.5,1662.7517863348,1873.5,1798,1596,1773.5,81.6153832529144
"2019/2020",2020,120,120,100,36.6718051159072,152.805021964186,64.4883922368262,46.8870039235092,87.8917310822757,1922.27887303053,1803,1745.89106655244,1782.5,1800,1315,1776,85.1716511296704
"2020/2021",2021,121,121,100,36.7296165414115,144.803302358597,61.382051414346,43.8085521990597,85.6896325916505,1912.9979316243,1817,1847.94277179616,1727.5,1885,1158,1833,85.3523497517504
