"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,30.6887549728305,156.787278991983,60.1127125404866,37.3907681210207,83.1810866255999,1690.69717500123,1647,1574.67464515348,1575,1645,1066,1576.5,78.0963306916657
"2002/2003",2003,120,120,100,31.9345757977888,141.133924222671,65.2478082949211,38.8848141259303,84.0009593595145,1770.8593548524,1682,1656.26816169993,1613,1747,1134,1673.5,81.6623911098016
"2003/2004",2004,120,120,100,48.2291535297794,211.496776705861,66.7287857155255,59.9465281970835,93.1910976536423,1991.98513884448,1769.5,1688.12907026849,1813.5,1784.5,1450,1758,86.5208419008679
"2004/2005",2005,121,121,100,45.9548521186006,217.622723856846,61.2046627847912,51.7086132552432,88.9326674951945,2067.71701786908,1953.5,1898.43821908893,1892.5,2000.5,1460,1963,86.9810434730613
"2005/2006",2006,120,120,100,37.2299505358161,185.115629006183,56.4092900130966,40.9010341626123,83.0447196149348,1906.47372986662,1890,1860.86648694941,1787,1916,1197,1886.5,87.5880390472092
"2006/2007",2007,120,120,100,37.573523685894,196.947921632439,61.6826525901855,42.3175017608408,85.4262158702671,1864.1089591819,1769,1757.38775251312,1703.5,1809.5,1260,1758,83.1028522365012
"2007/2008",2008,120,120,100,43.6709450787675,196.706805696383,70.7493417614308,54.4335798246288,92.2115395664137,1895.01986826405,1730.5,1595.64536136893,1783.5,1702.5,1423,1676,82.6358607340334
"2008/2009",2009,121,121,100,36.5367443017717,211.833856734852,63.8541864207857,45.022764702094,89.7991656191609,1912.78652614744,1779,1726.01187089629,1772,1799,1319,1769,84.7129770289826
"2009/2010",2010,120,120,100,38.7975789073616,179.936051583303,63.7113530776976,45.9481229272966,87.3844994490646,1965.56922226865,1856.5,1855.38149585322,1827.5,1903.5,1321,1880.5,86.9895100685369
"2010/2011",2011,120,120,100,48.9974023635066,214.696256860791,61.4243919531682,52.4202002141339,87.7255570362787,2180.40376131912,2133,2085.56726553535,2050,2170,1524,2166.5,91.034066428718
"2011/2012",2012,120,120,100,48.3396688915477,198.949366933892,64.2431005871723,56.6075315756741,90.1406006656063,2080.29566588517,1981.5,1877.15890738595,1963,1980.5,1553,1958,85.1703229445377
"2012/2013",2013,121,121,100,42.0477415296523,205.991548039205,64.6871418009344,51.1704070915362,90.4275432717365,1894.44080522033,1723.5,1686.25631373691,1747,1745.5,1312,1709.5,82.7077452933856
