"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,32.3513536950598,155.014171846287,61.1589886692368,38.8112555074362,83.9580309418583,1746.61271037715,1702,1652.83364998545,1639.5,1712.5,1090,1661.5,78.7721664991808
"2002/2003",2003,120,120,100,33.0823571826916,137.440026263506,66.374227532391,40.172137095404,84.9255098743812,1848.5417406666,1733.5,1764.8281913226,1663,1842,1164,1786,85.0444235104563
"2003/2004",2004,120,120,100,48.6303035721084,202.97168657795,68.2923429930564,60.6663168551882,93.6549347524225,2020.35033462785,1780.5,1702.06518579029,1821.5,1818.5,1471,1789,86.5235241032482
"2004/2005",2005,121,121,100,50.0371670192982,217.722177364941,62.3554020820504,55.5140583457301,89.8518557905244,2144.5244150723,2033.5,1978.17868463794,1976.5,2082.5,1545,2052.5,90.2463048308131
"2005/2006",2006,120,120,100,39.77282556027,188.827850522467,57.5254479783988,43.1460823038746,83.7700009854053,1952.44326807356,1953.5,1903.74176549346,1847,1956,1274,1929,87.147213022516
"2006/2007",2007,120,120,100,39.2026095501843,190.672321832183,62.8503972834341,44.464774657957,86.4021620468305,1922.75388097434,1830.5,1822.41307554911,1752.5,1887,1274,1843,86.042666692217
"2007/2008",2008,120,120,100,46.0681823468782,197.494100115739,71.7390106729528,57.0211156644919,93.405014723328,1990.24257097056,1818,1690.12732565106,1884,1787.5,1514,1776,84.8293374493189
"2008/2009",2009,121,121,100,38.3269827596021,210.888590111967,65.0401166711134,47.6763326385936,90.9330312237276,1976.37890816162,1831,1785.91818024112,1832.5,1856,1373,1839.5,87.339798106829
"2009/2010",2010,120,120,100,41.6442788974293,175.788410817279,64.9330439687647,48.9877776384303,88.1575442510423,1981.50580792626,1855,1852.21925816277,1838.5,1896.5,1347,1876,86.5314457008385
"2010/2011",2011,120,120,100,49.9383762934453,204.894036840808,62.8270538191285,54.3926196788767,88.3901265859709,2168.39477932846,2107,2051.51070032006,2040.5,2136,1527,2135.5,89.5929392419521
"2011/2012",2012,120,120,100,51.6890978639181,198.100493716069,65.2619522542048,59.2404169822689,91.0029195478275,2160.5989400584,2069,1961.38060079517,2043,2080.5,1622,2063,88.0611141300549
"2012/2013",2013,121,121,100,41.9339345454571,195.986763418291,66.1562497763888,52.2324406643148,91.1131465779021,1916.96718025323,1737,1707.30560920664,1771,1772.5,1325,1741.5,85.2320614908904
"2013/2014",2014,120,120,100,51.2243104837783,198.272593129265,69.2355441686377,60.0809445591563,92.6147540673171,2124.2861361112,1967,1809.70265768145,1973.5,1946,1629,1920,85.4487204943321
"2014/2015",2015,120,120,100,31.6197317193025,143.631012085681,75.2622965622896,50.0838564016013,93.7114644124327,1557.29040317857,1269.5,1103.19997581017,1431,1216.5,1233,1147.5,70.9647134624038
"2015/2016",2016,120,120,100,42.6623104897775,173.633553956457,63.1667983536111,49.4890492489303,87.7674341519411,1999.66594104619,1895.5,1885.59921492304,1859,1950,1360,1921.5,87.6653560650348
"2016/2017",2017,121,121,100,40.2167135544932,184.36511163792,64.4738701103267,49.620473938443,88.2689484190608,1809.37648110076,1664.5,1538.05122606088,1665.5,1676.5,1288,1597,80.1920077533127
"2017/2018",2018,120,120,100,31.9147260078386,148.03050909929,68.2889553037793,43.7733955348553,88.4383906790568,1692.55732712853,1535.5,1463.78919656561,1555.5,1544.5,1145,1485.5,76.7650985169303
"2018/2019",2019,120,120,100,45.9925318328249,171.429055301011,76.5912075408462,58.1174942421065,93.3925348023635,1906.87670941293,1691.5,1571.0046984422,1776,1692,1504,1659,79.1563157573983
"2019/2020",2020,120,120,100,37.1135713138147,174.296735236011,62.0266847226615,45.1953135002508,86.9613136572091,1879.221139216,1758.5,1683.73202853814,1743.5,1766,1276,1720,81.5710711278807
"2020/2021",2021,121,121,100,37.0677291505936,170.938509529219,58.8431158704825,43.4034300320014,84.8283788175938,1884.15583357917,1781.5,1794.26356467157,1706,1865.5,1167,1785,83.6101445825352
"2021/2022",2022,120,120,100,49.8499668664316,197.113824425493,75.823697974482,61.9258899252721,94.0729536262734,1867.28746918043,1699.5,1515.536221391,1773,1631.5,1504,1617,80.9871897355074
"2022/2023",2023,120,120,100,51.8982233709799,184.699960671105,66.9394513079035,60.0517131212825,90.656256279819,1957.24507454994,1823.5,1665.56876945928,1852.5,1818,1470,1775,83.4718332682914
"2023/2024",2024,120,120,100,41.4356370821278,202.41477514352,58.0396137753978,45.3050038373914,85.1539341083788,2052.3880348052,1982.5,1956.87860159946,1905,2043,1367,2004,87.3997898410989
"2024/2025",2025,121,121,100,45.9670105663911,184.065631027264,61.9926550327729,51.1751015940644,87.4422765970758,2074.74403827029,2006,1978.79592850569,1949,2031.5,1402,2000.5,88.8568905672346
"2025/2026",2026,120,120,100,41.6476623749287,175.58413005375,64.2368287218613,50.8347346858198,88.2539795215051,1976.8786898796,1854,1742.16254893614,1841,1861,1414,1818.5,83.0930529593879
"2026/2027",2027,120,120,100,39.57243283619,190.671966597752,77.8428353678658,56.7081500843823,96.2272271119412,1777.52125411312,1507,1410.25144992178,1630,1492,1344,1477,80.4439644334275
"2027/2028",2028,120,120,100,46.0085679862279,150.065819787342,67.3701435582127,55.184539807494,90.2977255908483,1988.18531936474,1871.5,1799.75687557381,1860,1876,1405,1856,85.4361450752567
"2028/2029",2029,121,121,100,55.7639861491546,259.509737813099,67.0545861902289,61.9690249446889,93.0610629358775,2087.1543058704,1953.5,1829.36665949515,1965.5,1940.5,1588,1933.5,85.9732505610168
"2029/2030",2030,120,120,100,50.1603324602673,215.417141275414,67.6441132823494,57.4339091196506,90.8327221652006,1988.22191661065,1847,1766.33883079336,1869.5,1840,1476,1830.5,84.5663102790295
"2030/2031",2031,120,120,100,38.8795708766369,206.953027979555,60.0892444715552,45.3355799941363,86.1847770112365,1857.26039248639,1772,1710.16474447367,1744,1773.5,1261,1728.5,83.9288309253998
"2031/2032",2032,120,120,100,44.245965050101,199.568696774478,67.6001305555571,53.9746522961014,90.149527865616,1900.39222309949,1719,1609.69954240891,1743.5,1749.5,1385,1687.5,81.06205665688
"2032/2033",2033,121,121,100,45.1742134359486,193.539568783346,66.6713634276596,52.602886105643,90.3312133983841,2070.16381377578,1917,1897.50515191423,1900,1970,1455,1936.5,87.441771112125
"2033/2034",2034,120,120,100,50.2912947644699,223.081218328224,68.9877585766834,60.9797745801397,94.060965395657,2012.17654626633,1807.5,1706.92128503447,1861,1791.5,1537,1783.5,85.579538354742
"2034/2035",2035,120,120,100,48.239935009588,185.190794704603,73.8591049941172,59.8096469638851,94.3910997859072,1907.73817210346,1744,1577.52027453852,1815,1694.5,1492,1682,80.7605143542014
"2035/2036",2036,120,120,100,50.700963687946,193.577568916422,65.0888514198666,58.0857986720292,90.1859947237323,2021.42333647129,1912,1758.34811880109,1902,1928,1520,1885.5,83.8187664737079
"2036/2037",2037,121,121,100,39.0491137399225,175.297195559177,64.9857582609419,44.4825966471284,87.2166891523801,1909.10110103876,1836,1853.49872399448,1780.5,1885,1214,1870.5,87.3288147711473
"2037/2038",2038,120,120,100,58.3155518235776,223.746865260631,74.417552041535,69.1734474638301,96.6154224947575,2118.76654193841,1911.5,1710.03545522601,1986.5,1848.5,1762,1838,86.6805969673269
"2038/2039",2039,120,120,100,34.5236274199566,156.470719782257,63.7574182031175,41.4975042091708,85.3634474993732,1867.57050936627,1807.5,1781.6920774229,1736,1864.5,1211,1827,82.8980860359206
"2039/2040",2040,120,120,100,32.996069714926,143.131716946993,56.5125985890629,37.1637728521453,81.6673353876837,1850.54615472264,1799.5,1840.58208090545,1710,1857.5,1095,1811.5,84.9812038552573
"2040/2041",2041,121,121,100,45.0923141118246,186.915170748862,63.2356583978461,50.0974379930147,88.1814050007869,2020.10664053344,1903.5,1890.83337698093,1874.5,1961.5,1356,1932.5,89.2891115520542
"2041/2042",2042,120,120,100,52.3980100565047,173.22963460184,67.5517176638251,59.6709483585105,91.5430436172632,2210.64845927057,2055.5,2033.04675703188,2041.5,2105.5,1582,2094,90.849425297477
"2042/2043",2043,120,120,100,23.6632033624659,100.757208224189,59.0133281388985,26.9394951219252,77.6970197983359,1519.446857442,1498.5,1524.52639221729,1369.5,1574.5,780,1471,77.438699191167
"2043/2044",2044,120,120,100,56.8509584600178,232.068543460526,71.0872577411499,66.3105838121294,94.9926074256341,2167.03541447173,1991,1812.56051554376,2013.5,1956.5,1729,1948.5,87.4149837141094
"2044/2045",2045,121,121,100,45.9456990890256,184.160513644529,64.5137599404007,51.7392864121726,89.6090975700534,2171.27027145869,2073.5,2054.05671321584,2003,2145,1512,2128,89.1561924309672
"2045/2046",2046,120,120,100,42.3048131128896,192.006523971506,70.4255149087571,55.4091515369601,93.8863892331986,1907.52734903427,1688.5,1627.65074179376,1760.5,1736,1363,1718.5,85.2978219062916
"2046/2047",2047,120,120,100,52.2491606955542,195.631899832874,70.0051324253777,63.0902005720806,93.4145122987878,2059.51752901735,1880,1776.15158121298,1894,1927.5,1563,1893.5,85.7338698956073
"2047/2048",2048,120,120,100,40.5807242774725,154.722336836732,74.4091701486383,47.1469232767686,88.1278744620593,1870.7817227807,1742.5,1766.68131095043,1715,1819.5,1232,1796,84.5206435990103
"2048/2049",2049,121,121,100,53.5996758153661,233.657562951548,63.4942667457949,60.1701330795955,91.8490796936091,2206.91465517128,2065,2043.85648893416,2048,2129.5,1607,2122.5,91.2164812280444
"2049/2050",2050,120,120,100,55.9047784081956,229.523700667726,69.9986035562849,67.3882655045954,95.9656443924318,2193.13852018051,2020.5,1850.22278085446,2074.5,2002.5,1758,2001,88.1886459952657
"2050/2051",2051,120,120,100,61.9354452685685,252.34867177392,73.7655938640167,73.4902179669163,98.1051486898339,2198.38418743041,1961,1724.25885440457,2051.5,1918,1903,1908,84.6376957004131
"2051/2052",2052,120,120,100,47.8162664756933,196.96737118408,65.9291253817505,57.697492085181,90.6939517494363,1959.91499463451,1806.5,1679.86373343783,1836,1794,1468,1751.5,81.9365788544874
"2052/2053",2053,121,121,100,34.98528542365,139.156665940308,67.2495508662348,41.7523892124462,85.099502109618,1821.16733456546,1711,1658.4456014032,1659,1748.5,1212,1683.5,78.5538269620947
"2053/2054",2054,120,120,100,38.0177500899227,144.559584764056,62.8244929725993,41.7727131979002,83.5467380775264,1824.09707904272,1773.5,1777.31655473281,1698,1840,1139,1784.5,84.1592470185251
"2054/2055",2055,120,120,100,45.5353434478258,185.072005728396,59.9526385034391,50.3623981758333,85.8006035094602,2006.30646953286,1935.5,1914.11368911544,1883,1976.5,1350,1940,87.5416015861401
"2055/2056",2056,120,120,100,43.2161337631967,189.423493368444,66.4966323913292,52.5348296991946,90.2680009673996,2001.70970773336,1853,1774.78331944629,1864.5,1850,1470,1825.5,84.944195848374
"2056/2057",2057,121,121,100,55.0730349528486,196.502477506265,65.52023006066,61.0407180568361,89.5118755863333,2092.25979663298,1951.5,1704.40878422832,1908.5,1951.5,1686,1857.5,82.2284880845846
"2057/2058",2058,120,120,100,39.1391669119464,172.0389496849,68.898708159148,48.8726709504601,89.8939195541292,1842.97283460328,1727,1656.06608590585,1750.5,1723.5,1323,1703,83.9032519712728
"2058/2059",2059,120,120,100,40.4859633065337,199.335126275851,59.310145776474,44.8116127807715,85.4271488000416,2005.38582672624,1942.5,1938.47950725579,1885.5,1988,1321,1960,87.9968402947088
"2059/2060",2060,120,120,100,48.1427801918307,201.510888236556,74.5450336665656,60.4948285588637,94.1954360286542,1921.09572554505,1693.5,1544.73347008122,1807.5,1657,1567,1634,82.2650370100628
"2060/2061",2061,121,121,100,44.2244724181672,194.5012089125,61.0502937490697,48.2902098998497,86.904746376661,1973.55093954489,1888,1865.89583185848,1834.5,1919.5,1330,1887.5,86.8634243531978
"2061/2062",2062,120,120,100,42.1231888207067,150.560470856291,65.8401248294138,53.5835946626378,88.0743329931845,1896.29985082528,1670,1500.00001258618,1694,1685,1449,1573,77.0260772826641
"2062/2063",2063,120,120,100,50.3669542522217,208.059737006205,72.0237905412198,61.4523662487207,94.6928918407339,2028.69193585488,1845.5,1687.01010821061,1871,1854,1638,1824,82.519582736857
"2063/2064",2064,120,120,100,51.1706605883165,207.895842562557,71.1804298749132,63.5856889989544,95.31189875505,2030.71799748414,1791,1708.68436238206,1863,1804,1543,1793,86.8601115732363
"2064/2065",2065,121,121,100,36.5842612058791,156.380449365152,68.4250400063422,46.5582845789912,89.7386163218112,1821.816622999,1676,1641.46842673594,1694.5,1690,1234,1662,84.5725027062726
"2065/2066",2066,120,120,100,39.6119290407323,174.853712593807,63.2851266701219,47.382292652523,87.4377654321537,1938.60377563231,1809,1788.92181557221,1778,1853.5,1274,1819.5,86.292109809543
"2066/2067",2067,120,120,100,48.9516319080767,212.854070367742,61.9332310418084,53.0607743217125,88.1433217201912,2148.94170848996,2065.5,2010.59004546226,2016.5,2090,1543,2069.5,90.2685818304362
"2067/2068",2068,120,120,100,58.8278218655567,240.929880684126,70.0580993235998,70.6661907480388,96.68390581864,2084.849034457,1858,1724.61669069069,1939,1840,1648,1832,86.5285539055785
"2068/2069",2069,121,121,100,38.8208521161665,166.661201670319,58.9335588238194,44.5891861111955,84.5829227699386,1800.91845499224,1728.5,1756.51555139999,1654,1777,1030,1733.5,85.5691737278121
"2069/2070",2070,120,120,100,47.4933808255808,193.28072722767,67.5027643177172,56.5692465502977,90.5672742920428,1912.23341835086,1721,1617.81142089243,1741.5,1744.5,1392,1692.5,83.199560512041
"2070/2071",2071,120,120,100,42.2393664615522,175.928248438018,65.6901268046605,50.0398332500961,89.477532881731,1988.14286569279,1875.5,1830.02458807946,1839.5,1896.5,1373,1872.5,85.6847808948805
"2071/2072",2072,120,120,100,47.3783006664075,175.645646762483,68.867638592521,57.2087438916944,91.0034973342097,2019.81269780471,1836.5,1724.95142753146,1881,1856.5,1535,1813,84.5410281856912
"2072/2073",2073,121,121,100,47.4202968342542,220.067754660814,61.9481386736169,54.1241332436531,87.7750578316789,1893.00404598692,1788.5,1613.09502682916,1768.5,1785,1394,1706,79.0511487170043
"2073/2074",2074,120,120,100,32.0362245496408,135.698211514296,61.4335637003678,36.1982731609587,83.1480241030287,1843.83561743572,1810,1828.25022172426,1705.5,1885,1093,1848,83.955290208909
"2074/2075",2075,120,120,100,36.4114238349389,151.733996696029,68.1876413417918,43.1597729702164,85.2739270223964,1648.90919292573,1476,1354.33056260565,1412,1562.5,1150,1428.5,75.073139549133
"2075/2076",2076,120,120,100,32.8921153978168,155.383308788015,62.5869950122653,41.2405435063513,85.1251371352308,1699.58796292337,1581,1546.02896778869,1569,1601,1091,1529.5,78.8853696008209
"2076/2077",2077,121,121,100,42.0669974504158,178.573752358394,58.8772261305103,44.7615239617472,84.7153304797468,2014.44838644116,1967.5,1988.65994710018,1870,2038,1269,2002.5,88.8776215074595
"2077/2078",2078,120,120,100,54.026879475991,216.541590357066,71.669296776629,67.8849925445639,96.648506866482,2084.09288103742,1859,1694.41546598205,1945.5,1819,1675,1808,83.4970709596928
"2078/2079",2079,120,120,100,45.986307210352,171.801804398745,74.207340636663,56.7194890986891,94.3947138359079,2015.30964491912,1825.5,1798.25006363562,1847,1876,1404,1876,88.4263298949299
"2079/2080",2080,120,120,100,48.4207431202413,186.67651527162,65.0536828348908,53.9276417136444,89.0175470964412,2043.5055667556,1967.5,1932.05802538586,1944.5,1990,1455,1974.5,88.3161498594291
"2080/2081",2081,121,121,100,42.9223257039693,163.860496862196,60.9960048606811,47.7078464757961,86.1441830544896,2025.17768509619,1989,1930.33817814985,1913,2013,1381,1982,86.3294388908016
"2081/2082",2082,120,120,100,36.7310782433525,158.043485753115,63.1553509269655,44.9189344395365,87.3693095995713,1907.62192529067,1746.5,1806.01788492848,1729.5,1863.5,1200,1820,85.4590939837253
"2082/2083",2083,120,120,100,47.0006586009385,195.395453080906,63.7265666633575,52.6272845830417,87.964905518201,2040.54378260323,1940,1869.856167294,1904.5,1978.5,1455,1939.5,85.11074189176
"2083/2084",2084,120,120,100,30.6976537396898,145.417109303734,60.2016647433292,35.4426758165073,82.7321081457714,1780.29095979471,1711.5,1742.17731231593,1613,1789.5,1059,1732.5,82.9888711848889
"2084/2085",2085,121,121,100,52.1973667106352,212.820973891073,75.084730958668,62.9004327350111,94.7963552388774,2068.03527724481,1853,1696.35690978383,1936.5,1830,1665,1809,82.1534811753045
"2085/2086",2086,120,120,100,41.0011185625728,194.186475786636,64.8955245381569,49.5637082185337,90.0198425243897,1999.8824204288,1852.5,1855.22758524579,1864,1884,1354,1876,85.9145589670061
"2086/2087",2087,120,120,100,47.5186520884786,175.698908233506,69.5193619744336,56.738977200693,91.7193151326034,1976.26103637222,1834,1759.7466850027,1824.5,1883,1440,1858.5,86.2107958137112
"2087/2088",2088,120,120,100,51.4170742165288,204.179663436553,66.8008704692193,60.1583885424937,91.8003993884089,2145.54082817637,1947.5,1919.76125481605,1971,2013,1584,1991,88.7394924657783
"2088/2089",2089,121,121,100,43.7946366404279,180.683883067099,69.2825523259713,52.1618855644334,89.3071776126645,1864.75866324175,1724.5,1679.07759491834,1707,1766,1285,1715,81.5039271878904
"2089/2090",2090,120,120,100,46.9585520984414,210.261626912991,64.8083908748404,54.8459470935844,91.2203040737454,2055.05007156008,1906.5,1908.35608215549,1892.5,1965,1390,1960.5,88.1749372775412
"2090/2091",2091,120,120,100,56.6578215794616,205.879538324273,74.6982800043413,67.4528181557113,95.9571700388937,2120.46536399465,1918,1778.59709926025,1989.5,1915,1693,1905,86.1646632067586
"2091/2092",2092,120,120,100,49.6917901691546,189.736801627976,69.8003285812778,60.8623446175943,92.9849417838616,1983.12466742739,1815.5,1734.61928643108,1855,1805,1433,1798.5,85.6115981919211
"2092/2093",2093,121,121,100,51.6884870403528,220.63528905128,70.6086569883848,63.0705509883636,95.6645009698994,2092.84661826544,1876,1770.60892445588,1975,1861.5,1634,1858,87.4556340428117
"2093/2094",2094,120,120,100,40.5311041817347,152.116882087044,64.0540816743221,47.1902141738664,86.2347639496437,1865.73404044774,1760,1737.8370707377,1743.5,1796,1229,1750,83.2351159385435
"2094/2095",2095,120,120,100,39.9695079163634,173.322552404521,66.257795727064,48.7786992590053,89.1037971179716,1813.81708162057,1674,1670.35295514936,1679.5,1682,1204,1658.5,82.9610813818617
"2095/2096",2096,120,120,100,55.3305408351482,231.901180790065,62.883486162267,59.4591380163911,89.6703690327363,2121.10415035015,2014,1983.99372802699,1990,2050,1512,2045.5,89.1784964225408
