"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,29.9507582236358,122.078113101051,60.5487397284936,35.6358279219022,81.9081468458149,1663.71994601625,1658,1606.12011025979,1566,1642.5,991,1579,78.8787356866547
"2002/2003",2003,120,120,100,31.1845252815561,102.707246439215,65.680885364845,37.0542257430479,82.9705046883416,1767.60050082763,1687,1734.2174201736,1600,1799,1043,1741.5,82.12694727473
"2003/2004",2004,120,120,100,48.9223467349375,183.074085122174,67.4789697753003,58.9698460917092,91.9873745497957,2071.6444364051,1879,1825.19888642516,1886.5,1899.5,1477,1878.5,86.639635148923
"2004/2005",2005,121,121,100,42.8699491932596,167.89449654571,62.0002580485209,48.37985120029,87.477185313613,2060.47049285426,1977.5,1974.05082046222,1908.5,2050.5,1352,2016,87.5842609305328
"2005/2006",2006,120,120,100,35.5548251874792,149.766891215332,57.1091728734332,38.8343018396025,81.3032894134773,1832.97554207353,1856,1829.31660795861,1753,1859,1133,1825.5,80.2044786794291
"2006/2007",2007,120,120,100,33.7434512488437,141.970029652244,62.8771484818248,37.5824853573391,83.5660290797667,1821.32535375898,1760.5,1807.26086976091,1664,1834.5,1094,1789,83.4731327510459
"2007/2008",2008,120,120,100,45.6083523461058,170.85283638388,70.8473705283977,55.1763153277655,91.7490873411591,1997.13560301298,1833,1729.50257691506,1881.5,1829.5,1509,1805,82.3143475889599
"2008/2009",2009,121,121,100,33.9463681522811,165.36285661362,64.7472760829091,42.1949043242522,88.5338977256898,1921.45264270775,1799,1801.66515829069,1765,1843.5,1230,1821,85.3540282769726
"2009/2010",2010,120,120,100,36.2192471514001,141.774799321507,64.3068033652111,42.7730825161338,85.7475550397396,1914.11620510804,1853.5,1878.4449819389,1786,1887.5,1200,1873,87.1607594390534
"2010/2011",2011,120,120,100,45.4649265490952,161.308659221588,62.2228727779578,48.5050133131896,85.9089121684059,2110.57909996533,2096.5,2084.90519714143,1982,2143,1404,2138,90.541465222303
"2011/2012",2012,120,120,100,46.2668836876498,159.333828130838,64.5568194627191,53.0856030601316,88.520979719829,2116.08166558066,2031.5,1989.36651685246,1952.5,2052.5,1458,2032.5,86.3293470066667
"2012/2013",2013,121,121,100,42.8335051065531,173.157282077555,65.4080440757046,51.1762202567596,89.2514001443615,1935.24190731842,1804,1763.83954980664,1809.5,1811,1349,1782,85.6409484270005
"2013/2014",2014,120,120,100,44.6749028401181,151.251936751167,68.9796135513009,53.4397908705775,89.8320668594454,2022.98893371982,1882.5,1809.8676676388,1858,1920.5,1421,1893.5,85.1855153206109
"2014/2015",2015,120,120,100,34.3817693501246,131.367857328529,75.107113945891,52.0760069908852,91.9803255211752,1597.47626185663,1290,1082.83514909688,1425.5,1240,1324,1129,68.2704924121401
"2015/2016",2016,120,120,100,41.0570537289125,143.4732570294,62.4988918841776,46.8414945768541,85.7697711944482,1967.7790053982,1900,1893.01892866057,1840.5,1945,1285,1902,85.3519679512899
"2016/2017",2017,121,121,100,37.9453527610926,152.232468541644,64.2526762642819,45.7563624144304,85.5727759703744,1770.17463883395,1625,1525.27820532482,1616,1673,1229,1568.5,76.6793105007671
"2017/2018",2018,120,120,100,32.2878572206655,125.173759656739,67.6191831134148,43.0301932308453,86.8527757467711,1697.62885112697,1557.5,1472.25156421664,1556,1567.5,1114,1492.5,78.0232966855442
"2018/2019",2019,120,120,100,45.1832373311485,145.420658406102,75.862042500523,56.201560235515,91.5545339854253,1925.54925723982,1752.5,1619.61932805958,1789.5,1757.5,1490,1718,78.7178524188698
"2019/2020",2020,120,120,100,35.0276206092193,141.927462212735,61.4417253457414,43.2443813719097,84.8723618676298,1828.36065252788,1734.5,1662.03820962586,1703,1755,1207,1697,81.0269981738534
"2020/2021",2021,121,121,100,34.4465418971251,138.751867603077,58.3065547155167,40.1398749967618,82.6976608193635,1820.81880214066,1743,1755.24459801529,1651.5,1834.5,1054,1750.5,81.6607167496813
"2021/2022",2022,120,120,100,50.1700759096514,176.928500359756,75.0646808330608,60.3808247467291,92.7220933737941,1879.70215874635,1720,1522.55034725944,1779,1652.5,1512,1631,78.9169574144144
"2022/2023",2023,120,120,100,46.4007464049225,156.666470989131,66.5192700582157,54.8711543077956,88.1227737659321,1907.45770267462,1778.5,1630.03873093711,1765,1780.5,1419,1710,78.7923870778845
"2023/2024",2024,120,120,100,35.3994894471007,152.054337189174,57.6076067912768,38.8591887841896,82.6785313301667,1947.8541371522,1910.5,1945.77835333428,1825,1997.5,1197,1957.5,87.5528161212151
"2024/2025",2025,121,121,100,40.7039998552415,144.205429278329,61.3806837312484,45.2501269532465,84.9076060109289,1962.14009865814,1973,1943.46714945775,1898,1984.5,1277,1959,86.389648118251
"2025/2026",2026,120,120,100,40.3601340669614,145.300985535084,63.4645030736056,47.6051258340776,85.9670118267158,1931.53252425727,1859.5,1789.05692917638,1831.5,1862.5,1375,1816,83.7504259271909
"2026/2027",2027,120,120,100,37.325442350777,164.863389296795,77.2221687339692,53.227917154453,94.6005740637648,1784.51296827951,1534,1471.07179353936,1642.5,1525,1291,1513.5,80.8390858310781
