"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,28.5253867635694,111.376088632983,58.748757186366,33.281554637685,79.7815072144999,1598.29606889114,1620,1564.26514601883,1493,1596,926,1523,75.1192006082827
"2002/2003",2003,120,120,100,28.5119393741063,90.9649023066048,63.6199687669586,33.2032930851972,80.9946633800715,1697.15990395386,1660.5,1726.63082818963,1542.5,1739.5,883,1679,80.2938964658794
"2003/2004",2004,120,120,100,45.704436488984,168.51807601953,65.572408083487,54.2055593711576,89.9251390834246,2041.02964555743,1870.5,1867.93455966106,1864,1919,1372,1890.5,88.1352942133455
"2004/2005",2005,121,121,100,38.8774488921728,153.260939305811,60.2018624430177,43.7945994124804,85.3064202574786,2005.55796212666,1931.5,1985.18760539561,1844.5,2039.5,1244,1997,87.4306511639581
"2005/2006",2006,120,120,100,31.4778790605316,130.779952938038,55.6252203935106,34.2465106932995,78.8500452608781,1741.20677431166,1783.5,1749.81404713361,1646,1786,1039,1730.5,81.494646865803
"2006/2007",2007,120,120,100,29.1752019915621,121.384851059127,61.1627971069117,32.8101486357769,81.5140850890729,1723.74033949288,1692.5,1763.10329133256,1586,1772.5,960,1721,81.7652223789941
"2007/2008",2008,120,120,100,46.2826730537991,162.999342226833,68.539590529342,54.1043714707501,90.117237110928,2038.16218842604,1915,1821.42602200329,1921,1905,1536,1882,82.6022828023071
"2008/2009",2009,121,121,100,31.3942250992073,148.097454099876,62.9332762289509,39.2320614535979,86.7310179992412,1880.96139860126,1763.5,1806.63995438102,1718.5,1837.5,1124,1814,85.6452827987512
"2009/2010",2010,120,120,100,32.7969049850489,124.956174191351,62.5580961678538,39.0178678122697,83.6108510023893,1827.16634753807,1805,1832.32952705726,1722.5,1841.5,1073,1815.5,84.6204120080843
"2010/2011",2011,120,120,100,41.2576510994854,137.136254696343,60.7295576453344,44.0095638881873,83.4854114978524,1988.02171222038,1999.5,1987.58647093518,1877,2037.5,1248,2015.5,86.8210402215846
"2011/2012",2012,120,120,100,42.7861477684908,141.112527943025,62.6372605780627,47.9210534467487,86.1708071477728,2068.85028817003,2010.5,2029.56982139507,1895,2076.5,1317,2055.5,88.4752484666697
"2012/2013",2013,121,121,100,42.3137903321034,161.736082454014,63.6241780243858,49.2810656228534,87.1321751386687,1870.20598981845,1788,1737.45389396211,1772,1776,1303,1739.5,82.101224078121
"2013/2014",2014,120,120,100,43.7370208697924,140.010603904443,66.9883700981795,50.8417928803567,87.7453019379839,1997.87076421209,1880,1861.76003095381,1834,1961.5,1332,1926.5,84.8106259565027
"2014/2015",2015,120,120,100,37.619328178241,135.37536993903,72.5967649320131,53.4462852533755,90.6958320392793,1665.09017082553,1404,1182.43782477622,1488.5,1354.5,1338,1244,70.3783097759901
"2015/2016",2016,120,120,100,37.2523333749579,128.411920657766,60.5644396706962,41.8361849774834,83.562501498877,1902.02895496351,1874,1900.35514649383,1789,1930,1160,1888.5,85.1356148944863
"2016/2017",2017,121,121,100,36.2741445215104,143.82293627893,62.3881418805547,42.8666104812746,83.5489984015218,1712.05973528887,1600,1498.78664796749,1560.5,1631,1155,1518,73.3583903115696
"2017/2018",2018,120,120,100,31.9361585869294,120.533879423803,65.3733613884964,41.7188195003746,85.4583428722764,1696.60722276263,1558.5,1498.33638728567,1562,1594,1137,1516,78.1860636428564
"2018/2019",2019,120,120,100,44.521187989905,141.373222849758,73.3986098957648,54.7489671737939,90.1338460522692,1938.10708511691,1780.5,1672.78939863218,1791.5,1778,1447,1738.5,79.5889663464714
"2019/2020",2020,120,120,100,33.610788310746,131.383806732058,59.6411687722035,40.5571322035889,82.7432768751234,1777.57293129215,1732.5,1658.33344872369,1671.5,1730,1158,1670.5,79.1837988450015
"2020/2021",2021,121,121,100,29.7047048697211,122.516852323078,56.6887717470958,34.8074627838504,80.3388248430323,1714.41244462284,1656.5,1704.83624773389,1557.5,1750.5,921,1662,79.127220635829
"2021/2022",2022,120,120,100,49.1688629569177,167.902666356314,72.8907091763744,57.2610833894082,90.9200565475876,1882.2809990101,1750,1580.08409938031,1784,1707.5,1495,1689,79.4404093963517
"2022/2023",2023,120,120,100,44.8256524719494,148.446005799216,64.4460587744556,51.5024322870102,86.0412505951965,1876.38197114159,1799.5,1664.54234320305,1731.5,1787,1335,1716,79.5859457986198
"2023/2024",2024,120,120,100,29.8666351011141,130.658764714196,56.0270704381787,33.2329671131645,80.2572790284253,1822.61047286216,1818.5,1882.18329493569,1711.5,1901,1004,1854,86.1922163808563
"2024/2025",2025,121,121,100,38.1883662707342,125.657096819819,59.560258221429,40.7417909491561,82.4855863008842,1900.8600213481,1953,1951.96974445333,1836.5,1975,1153,1941,86.2144499967221
"2025/2026",2026,120,120,100,39.9486521385413,134.037344963549,61.4924897125046,45.2557926639895,83.7415613492184,1912.20482214296,1873.5,1814.88049844636,1803,1865,1314,1809,82.274352327915
"2026/2027",2027,120,120,100,39.5682943714765,168.773736750689,74.7308905606163,54.5884036241702,93.8577678578,1856.43175511491,1630.5,1561.35604983746,1723.5,1621,1358,1608,83.1423944313688
"2027/2028",2028,120,120,100,41.012891347486,116.540460588822,64.6510946609115,47.6054407713329,85.9590988985795,1886.7815785523,1827.5,1788.05939396995,1764.5,1833,1228,1801,83.6100206884512
"2028/2029",2029,121,121,100,46.6986201141021,198.076498016021,64.7097448176547,52.04578314337,88.6875519958578,2042.17034892378,1966,1902.37726951727,1891,1973,1398,1949.5,86.4346306402008
"2029/2030",2030,120,120,100,45.392120218279,168.790737379887,65.1343849140892,50.0851411090047,86.660953930525,1928.10040789741,1883,1803.01407855044,1841.5,1864,1364,1840.5,84.1068811925024
"2030/2031",2031,120,120,100,32.9734501705269,152.775782448337,57.7776598235051,37.0991376670058,82.0989185919948,1781.85457573524,1787,1762.42747323431,1709,1780,1101,1734,83.1837349521138
"2031/2032",2032,120,120,100,40.7903172664057,156.674862524022,64.9994134872058,46.8358648621824,86.4087558335702,1902.03605065971,1778,1745.51275248802,1727.5,1819,1266,1758,83.6246924077104
"2032/2033",2033,121,121,100,35.8598062070187,135.833698602075,64.1861351751727,42.8519222971961,86.1314903384374,1926.26338786694,1798.5,1856.29032616482,1725.5,1894.5,1129,1854,86.6030343213179
"2033/2034",2034,120,120,100,44.7156476258304,174.222459568255,66.5997487382628,52.451795705368,89.7056242264577,1990.66257938227,1856,1821.08746049574,1850,1891.5,1343,1881,88.7046743750479
"2034/2035",2035,120,120,100,46.8908014312929,157.758872910882,70.7884862499283,55.4750633725776,90.9953275255233,1933.64747115811,1807,1680.26862119431,1831.5,1771.5,1517,1754.5,82.38184481797
"2035/2036",2036,120,120,100,45.4841698412657,153.523373854471,62.4454768372228,51.170013424707,86.1158300459537,1953.19271686852,1881.5,1803.21374231548,1832,1905.5,1379,1851.5,81.735787939293
"2036/2037",2037,121,121,100,33.3936546792064,128.624957602251,62.5508007800239,36.2071983243986,82.9132120347702,1738.87941979477,1765,1792.58777075953,1687,1775,1035,1750.5,84.4476644288598
"2037/2038",2038,120,120,100,51.6645743561519,175.513776942621,71.6928887128746,60.1563872975911,92.599083344158,2097.00053287411,1913,1831.20801904766,1948,1938.5,1631,1923,87.9077875420389
"2038/2039",2039,120,120,100,24.8277548599184,97.898330747873,61.8640826135048,30.8475708216733,80.3806078360945,1631.35201446444,1596.5,1638.04797826721,1484,1655,869,1586.5,79.7188754413519
"2039/2040",2040,120,120,100,27.2158387048034,97.1923957029768,54.2820545575563,29.3740923512638,76.8205276914818,1646.95683656585,1694.5,1743.67162851357,1527.5,1723,799,1665,79.1429615337775
"2040/2041",2041,121,121,100,39.9396166452538,136.997679155121,60.5420329722888,42.3248619676776,83.8145899405551,1949.12882552641,1947.5,1962.11408843472,1848.5,1989.5,1212,1956,87.159847461453
"2041/2042",2042,120,120,100,44.9461153934823,128.295999075505,64.6870360738975,50.2884932586022,87.1902476756314,2121.6912278821,2005.5,2087.73151662315,1920.5,2118.5,1304,2109,89.881338783629
"2042/2043",2043,120,120,100,17.636430687805,66.7139370306991,56.6016977091095,20.5849966472177,73.5146023397222,1304.41789829008,1349,1326.85240698424,1197,1383,580,1250,69.2169650539736
"2043/2044",2044,120,120,100,51.559571975813,180.540328038299,68.5155070391849,57.3233979932167,90.6246582595945,2152.08043292387,2006.5,1965.46066120796,1977.5,2080,1556,2065,90.1680322581142
"2044/2045",2045,121,121,100,34.0755981709523,116.423358025228,62.2363183298993,39.6154474101248,85.0442579589096,1977.55162666595,1897,2000.76855382797,1780,2017.5,1105,1987,87.3089253484195
"2045/2046",2046,120,120,100,38.8939203076733,153.332103925439,68.1944046761798,48.9494881098746,89.9502701050965,1862.09918103713,1692,1677.35894673952,1718,1736,1271,1707.5,84.3521864657005
