"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,27.3677230299182,109.504680216354,59.4271327184232,33.2069236809145,80.7647320641478,1640.54082967791,1631,1615.00809333505,1561.5,1649.5,958,1592,77.7334952400168
"2002/2003",2003,120,120,100,29.0447695209986,94.2085213573236,64.3446766598498,34.7360808764182,82.0002636685766,1743.45388485608,1663.5,1747.93635526271,1565,1785.5,957,1718,80.5194286646646
"2003/2004",2004,120,120,100,46.8507178086809,174.56556805229,66.5823983779052,56.9781193637926,90.6425035503051,1999.55527577326,1834.5,1763.08213196045,1835,1860,1423,1823.5,84.5951579392832
"2004/2005",2005,121,121,100,45.0938676971138,171.769370968706,60.7353446491781,48.7303610599693,86.1354845818263,2084.05519832312,2024.5,2022.28849676803,1921.5,2101,1357,2064,88.2797092096292
"2005/2006",2006,120,120,100,34.0757539942678,138.736902993311,56.0009627502746,36.2756528648977,79.8553480347609,1822.27166857716,1887.5,1865.35795350982,1748,1892.5,1111,1855.5,81.9107493490425
"2006/2007",2007,120,120,100,32.4356312112439,143.822468615046,61.3754137012933,37.4884925119694,83.4830872612131,1839.31730674249,1753.5,1820.76651920685,1678,1867,1089,1814.5,83.7501549804789
"2007/2008",2008,120,120,100,41.8392043059622,158.328506105177,69.5129618855485,51.2026665702162,90.5626559256329,2011.7595097901,1869,1818.53299809335,1882,1888.5,1430,1874.5,86.7623065377512
"2008/2009",2009,121,121,100,34.3056139918479,163.759841595091,63.2881753165681,42.9669659249499,88.0493538185974,1927.4555385727,1813.5,1828.72790863103,1768.5,1855,1216,1838,88.5705288079646
"2009/2010",2010,120,120,100,39.6805941227197,143.217027601033,62.9849975512003,44.8019002556413,84.8326081396918,1881.95651765836,1835,1827.04610027402,1782,1848,1208,1823,85.1960732228065
"2010/2011",2011,120,120,100,42.2397179955467,154.504960318185,60.9654798793435,45.3445085395281,84.6750026796356,2042.97640778702,2032,2052.80551810131,1940,2085.5,1339,2078.5,88.7196004870868
"2011/2012",2012,120,120,100,46.6616293932272,161.252702087976,63.3569915804016,52.0308921055433,87.5169111763491,2126.59419014745,2051.5,2030.89351548038,1974.5,2128,1428,2104,87.276242944358
"2012/2013",2013,121,121,100,39.7493638981371,160.099611483593,64.3638127435631,48.21227786711,87.8474062498777,1886.16815819404,1759.5,1759.97904228634,1766.5,1806.5,1236,1771,85.2702199473936
"2013/2014",2014,120,120,100,49.0832062108788,158.280471914473,67.2504763405468,54.9418669274028,89.5346428607788,2127.85558542862,2015.5,1923.3079308328,1925.5,2069.5,1498,2038.5,87.383600616643
"2014/2015",2015,120,120,100,35.5732903737843,132.966123662955,73.0981835978486,53.2503487098099,92.062616681881,1674.02785425066,1429,1218.08064395295,1540,1356,1331,1279,74.0141154410896
"2015/2016",2016,120,120,100,37.5199602062704,128.828094282757,61.3785525893331,43.0387674923147,84.3320506489354,1911.61513916741,1873,1911.50126920313,1809,1922,1188,1890.5,86.0778660023752
"2016/2017",2017,121,121,100,38.4226298193544,145.283625586401,62.8235971960707,45.7882309466065,85.0875581145057,1783.30124172353,1676.5,1564.20185671573,1641,1713.5,1190,1624,78.4645499984231
"2017/2018",2018,120,120,100,29.9183455706863,118.868171022063,66.2620861571825,41.0731882168775,85.8784373656245,1648.9168274797,1545,1470.0216020719,1536.5,1524.5,1072,1460,77.2875761463097
"2018/2019",2019,120,120,100,44.7049183438848,142.771131921253,74.112577297015,55.2839519630051,90.9394093538899,1955.04143395162,1773.5,1699.65479912186,1802,1784.5,1464,1748.5,82.0426415253755
"2019/2020",2020,120,120,100,32.8581723734166,130.530740933204,60.3134867843212,39.861227118822,83.4335468487823,1811.16864204273,1750.5,1707.02140664695,1702,1770.5,1123,1719,81.4445778297877
"2020/2021",2021,121,121,100,31.8030778439536,121.528131730188,57.4139484575406,36.4234009870685,81.046953651703,1748.64429208192,1690.5,1733.01614938039,1581,1773.5,931,1684.5,81.9935830237023
"2021/2022",2022,120,120,100,50.5043505491704,177.0846235486,73.5041265401026,59.5182712639648,91.6701387586134,1925.09484861374,1803.5,1640.20825066831,1816,1755,1492,1741,80.8504066506248
"2022/2023",2023,120,120,100,48.741844113996,157.766985796209,64.8871639486527,54.3423008953236,87.337339562565,1977.79055522766,1893.5,1789.48892240238,1869,1922.5,1444,1872,82.6407838948212
"2023/2024",2024,120,120,100,35.515944774465,142.268750683343,56.4957406542648,37.5788711532967,81.2808809391242,1961.05885692323,1974,2008.05635685653,1824.5,2035,1159,1992.5,86.6117479387003
"2024/2025",2025,121,121,100,40.1761788599485,137.99052707422,60.1472720857375,43.1946495808008,83.5884269385468,1991.28790371928,1998.5,2005.64402994332,1876,2043,1240,2001,88.6512273934086
"2025/2026",2026,120,120,100,39.0685152469201,131.619907739736,62.4979052293232,46.0663790517975,84.4895236706062,1870.42216233221,1782.5,1720.19872166675,1731,1826,1232,1770,79.8543894509298
"2026/2027",2027,120,120,100,39.7336711230292,164.475787233594,75.846064984251,55.4110496516042,94.4569249822847,1810.30596346606,1549,1479.32193286292,1663.5,1547,1294,1528.5,81.4200031000632
"2027/2028",2028,120,120,100,43.000400008152,127.226973498796,65.1077446131838,50.2408727790999,87.0849534313436,1939.00698456062,1882.5,1835.66909705726,1862,1893.5,1323,1869,84.561652081245
"2028/2029",2029,121,121,100,49.7366192979848,214.913270291388,65.3327961661501,54.432925818836,89.3922257698855,2095.21485784897,1997,1948.82235035616,1971,2029,1484,2016.5,89.0978813717857
"2029/2030",2030,120,120,100,45.5791770736389,172.785705599924,65.6943384663418,50.5935512562305,87.694682384191,2000.53187800973,1927,1879.18892133825,1904,1969.5,1408,1957.5,85.1000097307497
"2030/2031",2031,120,120,100,34.4778544476718,159.490417323268,58.6356476853306,38.9727171658106,82.6490606909787,1784.9441590348,1740,1709.349731219,1683.5,1775.5,1139,1715,80.7645015851908
"2031/2032",2032,120,120,100,42.4396551993232,169.389908173154,65.8470484490977,49.7176421556028,87.4100015453801,1884.75757817064,1738,1664.8399312465,1746.5,1794.5,1377,1724,80.1461673060398
"2032/2033",2033,121,121,100,38.9399122298063,141.402486974488,64.6192291307014,45.6312076999397,87.2168675544956,2024.0094129666,1911.5,1956.19498838989,1859.5,1998.5,1273,1960.5,87.162361420641
"2033/2034",2034,120,120,100,47.9687407890002,187.720149619704,66.9392016725377,57.1955145768665,91.1491828063345,2028.90202671158,1872.5,1802.98136076163,1885.5,1871,1451,1859.5,85.1443163504264
"2034/2035",2035,120,120,100,47.1933369826072,163.184273370743,71.5166776324789,56.3990022958278,91.9297604350145,1973.71655242937,1827,1716.81901165539,1879,1809,1512,1796,83.695558707821
"2035/2036",2036,120,120,100,45.6140548035528,157.145023804655,63.2710161621007,51.8016814224436,86.840083352915,2014.436347815,1935.5,1847.75981351992,1865,1974,1404,1914,84.2324409994389
"2036/2037",2037,121,121,100,34.4809441004608,130.626343344065,63.0547163332359,37.7917986580075,83.99227030035,1818.7328688088,1780,1871.72355390038,1703.5,1867,1032,1849.5,86.9422099533649
"2037/2038",2038,120,120,100,55.1362311305029,192.079343828502,72.1952175480887,63.5786547873624,93.7900651716822,2194.75491647817,2043,1901.15483866164,2043.5,2058.5,1705,2047,87.5390600182509
"2038/2039",2039,120,120,100,31.5200689162321,116.428850178122,61.9181557104473,36.7783163277819,82.2928205353174,1782.41785201996,1724,1773.94506064319,1629,1802,1034,1756.5,82.1902949548767
"2039/2040",2040,120,120,100,28.9875606376041,105.818750386157,54.8281081740431,31.4175577748208,77.788655290988,1693.40576628994,1746.5,1763.62107163443,1608,1765.5,921,1707,81.6917592863629
"2040/2041",2041,121,121,100,40.0912347128812,140.210219809012,61.3410239804508,42.79359701925,84.502826170489,1936.92719440987,1899,1930.57955059376,1825,1958.5,1194,1925.5,87.7742402657732
"2041/2042",2042,120,120,100,47.0403077345279,136.260159548342,65.2696647760755,52.011190859048,87.9587996501942,2131.41268968429,2033,2084.15103479187,1968,2108.5,1381,2096,90.4726902097254
"2042/2043",2043,120,120,100,20.2892657752487,67.1089137372769,57.1627825225231,22.6420963197442,74.5316086469991,1359.86710571262,1393,1398.63085281437,1256.5,1435,647,1316.5,70.3586853379338
"2043/2044",2044,120,120,100,52.6294294716189,185.817058836041,69.0863382544392,59.1103741606628,91.6547323073653,2171.60904484021,2037.5,1952.24836215725,2014.5,2068.5,1605,2059.5,88.8261976591411
"2044/2045",2045,121,121,100,38.0313535967666,134.606418445561,62.482914011262,43.2591516098938,86.3770316710361,2096.98914162122,2013.5,2101.56216949524,1898,2121,1229,2101,88.5767338064215
"2045/2046",2046,120,120,100,41.5780812344486,168.144105358995,68.3848395234505,52.5326795495167,91.5711239910036,1943.94687072298,1743,1742.43172965875,1783,1788,1360,1768.5,86.3250301727285
"2046/2047",2047,120,120,100,50.6738232478802,167.132121374782,67.8114420135867,57.25059300967,90.2818301194966,2086.34295318153,1932.5,1903.95962326208,1918,1995.5,1493,1959.5,86.4332418996955
"2047/2048",2048,120,120,100,35.8799772238092,126.311749076918,71.9981787104206,41.4116050165032,85.6577282281022,1811.26995304594,1705.5,1794.86090079824,1642,1788.5,1062,1761,83.1537910851357
"2048/2049",2049,121,121,100,47.0694385002691,181.836905202715,61.8384908149522,51.1058144177482,87.990456123681,2161.93836762808,2094,2129.27822723137,2007.5,2153,1427,2144,91.6780746179065
"2049/2050",2050,120,120,100,52.1583660270038,189.852627084737,67.8819675754213,60.8357269098832,92.9972877818168,2237.18827764757,2104.5,2016.0485754019,2114.5,2145.5,1684,2143,88.6844789292327
"2050/2051",2051,120,120,100,58.9128801666925,217.248424504759,71.6566925110466,68.2569060122934,95.1302802034698,2265.58654043367,2094,1920.30534988042,2104.5,2091.5,1832,2082.5,87.4659383015751
"2051/2052",2052,120,120,100,44.7571881115639,159.0264398743,64.0313025200701,52.1203715607001,87.4167848434566,1952.74676761864,1849.5,1773.79453431247,1809,1868,1362,1818.5,82.1736887367279
"2052/2053",2053,121,121,100,30.3760368261065,94.4899386877821,65.1737467125069,35.8657801672522,82.0945895625927,1730.77387768048,1658.5,1657.39926720432,1558,1731,999,1656.5,80.5649277882358
