"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,30.4917248292964,139.947811486177,59.5660843898531,36.5188159761931,82.389711628996,1695.12681610446,1669.5,1639.29336003118,1613.5,1684,1027,1630.5,78.9873265514418
"2002/2003",2003,120,120,100,32.3652818825463,124.816804915872,64.426405934998,38.0284128431622,83.6094341338351,1838.09130816035,1744,1812.67203049663,1656,1874,1101,1819,83.4378936966331
"2003/2004",2004,120,120,100,49.3746926116958,201.035452525153,66.6400472548671,59.2792115810269,92.1524752734692,2035.97375776706,1825,1765.62103431259,1840,1870,1469,1840.5,86.6311447928207
"2004/2005",2005,121,121,100,46.9761852188729,200.759013054693,60.959484385361,51.9825555776559,87.9663109893497,2105.34302445936,2013.5,1980.10417550701,1937,2091.5,1432,2051,88.4745448499731
"2005/2006",2006,120,120,100,37.2999411570643,172.688851240688,56.367488873604,40.2058861017401,81.6116133150389,1858.49025095169,1882,1813.27325466073,1771.5,1872,1202,1826,81.6841650297696
"2006/2007",2007,120,120,100,35.0522761865105,168.927467004516,61.5801791852807,39.6289109830117,84.4654723029439,1861.82145980202,1790,1807.70488360073,1700,1862,1164,1810,84.297615871535
"2007/2008",2008,120,120,100,47.0549185870414,192.852627206417,69.7422035270398,56.2908593418151,92.2277089510217,2042.29428241585,1896.5,1786.33722441275,1922.5,1873.5,1528,1859.5,85.6042495999374
"2008/2009",2009,121,121,100,34.7530293083167,194.477981018878,63.5462874961682,44.099091004488,89.3446761800179,1938.25322784198,1803,1788.64607892813,1792.5,1836,1302,1816,86.7590543081564
"2009/2010",2010,120,120,100,39.9453501676769,163.800091978393,63.3741800616224,46.4855954067575,86.3991896432816,1930.45604259043,1838,1832.87921027543,1802.5,1867.5,1264,1842,85.6692655591578
"2010/2011",2011,120,120,100,45.6723237670531,182.467603457858,61.5595568415971,49.7510119164515,86.2635850300802,2075.57751672868,2025.5,1990.56138496939,1955,2074.5,1419,2060.5,89.2327029099984
"2011/2012",2012,120,120,100,49.2266821876469,184.27282689463,63.662445395856,55.0599105509272,88.9765175936451,2139.47949520237,2067.5,2002.67730453528,1994.5,2104,1504,2084.5,88.2350013870946
"2012/2013",2013,121,121,100,43.3719687766823,189.465875063797,64.3175831668203,52.1865521649724,89.7265030854368,1944.46741995114,1792,1768.52882576876,1799,1833,1321,1801.5,85.6618705357876
"2013/2014",2014,120,120,100,49.6382080037944,181.677943214732,67.806941928904,57.4342904737171,90.6483610497877,2096.29206488726,1938,1836.47977413487,1917.5,1976.5,1537,1940,84.8298519361229
"2014/2015",2015,120,120,100,36.1952663831526,152.534639903566,73.2414177343265,54.1074875372444,92.993882836975,1661.12176465512,1399,1209.57973261046,1518.5,1334,1344,1262.5,72.527178536129
"2015/2016",2016,120,120,100,40.7721355537748,160.635439604738,61.4566743263923,46.5732967446271,86.1691793110116,1994.06047158349,1923.5,1942.65393284012,1862,1986.5,1295,1957.5,87.1838372682585
