"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,15.4627807934587,57.9374209683578,49.0757180532167,18.4312334641956,66.9213116423551,1111.98101053572,1083,881.547482050475,863.5,1164.5,507,859,53.6754277150905
"2002/2003",2003,120,120,100,15.5955942679292,39.2942404165448,53.2937347528189,16.8510638739662,68.5642134416898,1101.47484658332,1174,1094.86902171937,978,1204.5,409,996,59.7585746885142
"2003/2004",2004,120,120,100,28.7165475984585,108.590097884384,55.1856840856494,32.4221834976164,77.0616934627075,1602.27462547058,1622.5,1593.86495510474,1483.5,1654,882,1536.5,73.6549141482533
"2004/2005",2005,121,121,100,18.293102973949,78.0005843131174,50.3807310791443,19.0286741851749,71.3556636545349,1370.96059422293,1423,1469.65435786218,1236.5,1501,528,1355.5,71.1099732401593
"2005/2006",2006,120,120,100,11.9748209508743,52.4597973376326,46.46086949872,12.1698287484302,64.7751793359562,1125.36920091814,1101,976.378325401581,875,1245,423,917,58.7897425183192
"2006/2007",2007,120,120,100,13.9698739253,62.4254163733133,50.8514602750463,17.1320133160566,70.0412069655988,1134.37764331885,1205,1122.8271130802,985.5,1215,408,1036.5,62.6613898714389
"2007/2008",2008,120,120,100,27.4921289419982,78.4096112921311,57.2640959387776,30.1460209201732,77.5065646093068,1663.31581287333,1664.5,1673.67008030734,1531.5,1738.5,924,1642,77.0101398039608
"2008/2009",2009,121,121,100,22.5615336986075,88.4244732308407,52.7245723504376,26.1431476065537,74.4023888650161,1408.29084068081,1443,1385.46563767814,1340.5,1490.5,714,1342.5,71.2474524061403
"2009/2010",2010,120,120,100,20.8981463197896,74.2965663675646,52.2299661358452,22.2049663826617,70.5284012353836,1273.78733318269,1339.5,1217.65011504997,1156.5,1347.5,618,1180.5,61.900248443589
"2010/2011",2011,120,120,100,18.0464533632048,66.2720855436676,50.9257147803946,19.0501529224486,69.8165199628964,1306.65214329505,1384.5,1329.95078574652,1198,1410,584,1256,68.5199535272155
"2011/2012",2012,120,120,100,19.7726632924447,74.1294293238527,52.1851521614671,20.985754940333,72.5304425818692,1430.064851917,1490.5,1569.1305016616,1312,1591.5,581,1477,76.2158996967825
"2012/2013",2013,121,121,100,25.9869062855373,107.602927367797,53.3872186164003,28.4479289976634,74.138362342752,1432.62297349923,1446.5,1319.67288893035,1283.5,1480,790,1313,66.4311937226666
"2013/2014",2014,120,120,100,24.7425295397342,76.5643844598683,55.7487409356305,26.9731147581359,75.4530730525375,1553.56569628588,1568.5,1608.05109963101,1410,1651,759,1529,75.7173367195855
"2014/2015",2015,120,120,100,39.9977076233063,120.808511249113,60.4600678305748,45.6007919204313,80.2661941491281,1679.15344481342,1526.5,1299.02778750108,1413,1629,1234,1391.5,71.1818363277546
"2015/2016",2016,120,120,100,17.2378012022985,56.2245581292783,50.7528396796231,18.6354512121286,69.9802012414237,1277.25409573183,1345.5,1331.44805154591,1140.5,1403.5,488,1249,63.7663004283679
"2016/2017",2017,121,121,100,23.5942676582104,91.5694418067193,51.947264215749,26.1492249061914,71.1284174810416,1336.49936039214,1222,1065.51894575359,1044,1366,722,1059.5,59.6697843039012
"2017/2018",2018,120,120,100,25.6999039733863,70.493566514595,54.8038560531868,30.4980540442633,73.3796105894642,1384.64312531633,1319.5,1132.86030274071,1170.5,1359,836,1123.5,64.8262736395836
"2018/2019",2019,120,120,100,31.617143695391,85.7907534754638,61.1833014377906,35.7561204545231,78.7367802492932,1654.58621100612,1586,1581.84697953417,1454.5,1691.5,929,1575,75.7283654709524
"2019/2020",2020,120,120,100,21.6002517091737,76.683503904879,49.9263968422576,22.9923062312772,69.1369547882572,1283.41731569782,1325,1134.47144768655,1132,1360.5,717,1113.5,59.3595775167139
"2020/2021",2021,121,121,100,16.1316376633003,71.5996010655563,47.3958388544381,17.1617322223016,66.246827841485,1056.57007367702,1115.5,935.643991939287,878.5,1143,453,863.5,57.6728790672628
"2021/2022",2022,120,120,100,32.5008716362343,122.309986810368,60.6478696972531,35.8019818530666,79.6818445585452,1628.27419017928,1522.5,1486.43509791973,1424.5,1627.5,931,1499.5,73.7391093415831
"2022/2023",2023,120,120,100,24.6563786408737,90.4152803137714,53.5842230999508,26.7537463569079,73.1524926131745,1453.7615183693,1418,1368.99618146362,1246.5,1525,743,1329,68.5089364322766
"2023/2024",2024,120,120,100,12.395718505232,49.6576900979936,46.7395600937865,12.5497206807264,66.1867970106819,1145.90983575834,1229,1164.86793027692,1010.5,1291,399,1087.5,58.2421817295394
"2024/2025",2025,121,121,100,13.7217744484012,47.8845659379232,49.8410805701021,14.1663305729,68.5236155644409,1240.08283458231,1332,1315.6096516921,1123,1386.5,457,1227,67.2147495747604
"2025/2026",2026,120,120,100,23.1946240874018,60.8347624298701,51.6448208006617,23.3413058844909,69.8796397453934,1356.37157313855,1362.5,1285.30286008101,1142,1471.5,635,1231.5,64.2014337491059
"2026/2027",2027,120,120,100,40.0202877745774,140.314294716107,62.849290297024,44.9260611240513,83.0043361648295,1731.73880094773,1716.5,1585.54682081907,1643,1694,1210,1613,76.5188587017933
"2027/2028",2028,120,120,100,25.5829943014019,70.4675626047887,53.8889591848606,26.8760487905614,72.5793701640713,1406.62075611491,1463,1396.52881975334,1294,1483,716,1348,66.2286028518843
"2028/2029",2029,121,121,100,21.9596692075906,116.414862742618,54.0551796085341,23.9113899530789,75.6277893780514,1549.85263140732,1548,1557.30176549035,1392,1637,758,1505,76.6014116723081
"2029/2030",2030,120,120,100,21.7338006272969,95.0172689721031,54.3738636780061,24.1510547510604,73.9688869881685,1459.91288814344,1466.5,1449.2282560323,1322.5,1552,721,1415,71.3536832039417
"2030/2031",2031,120,120,100,16.3390632053658,69.7486793586864,48.5425025996769,18.0443958398202,68.6980201468561,1232.01773519789,1279.5,1176.62919856857,1062.5,1312.5,547,1101.5,61.3025205862341
"2031/2032",2032,120,120,100,23.4146649011516,81.2839744065292,54.5532354503102,25.9019120781268,74.258839509777,1481.84319880199,1465,1441.83305977027,1271.5,1547,745,1370,69.7749794398196
"2032/2033",2033,121,121,100,19.7265756780306,66.6570842074645,53.4446983571406,22.3611757141962,73.1732719760008,1384.32048709606,1483.5,1423.14655364119,1320.5,1501,669,1353,72.3495485973035
"2033/2034",2034,120,120,100,27.9124913240482,117.152129829854,55.5364216765264,31.3846234013272,77.4889646102885,1615.30144779729,1650,1589.89428603943,1541.5,1662,952,1567.5,76.1776300547344
"2034/2035",2035,120,120,100,30.3660579967031,104.97531075342,58.940655533657,35.1803594892408,79.64682186554,1705.51461052883,1615,1608.04708036409,1505.5,1734,945,1612,79.0527042490367
"2035/2036",2036,120,120,100,22.9910501686135,78.0963246391052,52.1572000874761,23.7121877347562,72.2811422713064,1498.03269785664,1465.5,1475.91569690704,1266,1620.5,675,1430,73.0682600096143
"2036/2037",2037,121,121,100,13.2647899319685,50.6616072691538,52.2046030877339,16.0173936922257,70.6389521568431,1186.02101851921,1280,1209.03967772739,1097,1265,458,1118,62.191211784339
"2037/2038",2038,120,120,100,31.7405652168202,118.350022450011,59.7161261424767,35.7334236726474,80.8588619334013,1761.48248314831,1773,1815.33429266602,1675.5,1827,1002,1768,82.8634790179699
"2038/2039",2039,120,120,100,16.8250742546833,57.9240658974933,51.4788139709148,19.1188725445019,68.2625801939518,1090.00202222978,1070.5,974.55148037563,910.5,1161,422,887,62.8110562806514
"2039/2040",2040,120,120,100,10.1046028899307,30.8051624425029,45.5467379876471,10.4937341355027,62.7543144784215,941.388620637459,1034.5,874.684377440411,802.5,1071.5,286,796.5,50.185708486184
"2040/2041",2041,121,121,100,14.6442015834587,52.1268173087473,50.7354536216946,16.4335782269675,70.367254714729,1291.51652095304,1357.5,1391.9566612884,1182,1409.5,470,1257.5,67.712544128432
"2041/2042",2042,120,120,100,21.8499153044026,63.3927524859074,54.1154086841159,22.9643845151334,73.4790635852878,1428.47041058217,1572,1621.49063496271,1412,1586,624,1507.5,75.43602838162
"2042/2043",2043,120,120,100,8.56815465804421,29.9118466635688,47.094817882571,10.8970880299648,61.2014357826009,757.679237824894,650.5,383.662949844693,468.5,802.5,265,373.5,40.9951367904978
"2043/2044",2044,120,120,100,27.4395282314357,92.2334176262099,57.4551956525575,29.8973040102687,78.042495892604,1670.21610827843,1689,1741.91044478647,1521.5,1781.5,802,1708.5,80.9665648332352
"2044/2045",2045,121,121,100,16.6325338182633,56.6325274166722,51.8083323981666,18.6831825171528,71.6426792143213,1310.88799035955,1427.5,1436.50958138681,1271.5,1416.5,518,1280,72.7084205203601
"2045/2046",2046,120,120,100,29.6015184162446,113.459466257912,56.6655245633559,34.2953665194846,78.5945751993717,1561.86124922648,1549,1513.59224841555,1475,1575,911,1474,78.0872669902919
"2046/2047",2047,120,120,100,26.7707029975115,97.3736313829501,55.9830301862287,29.3640228260193,76.8305344482836,1608.20618162899,1611,1660.47909114258,1468.5,1685.5,801,1589,78.8703923349494
"2047/2048",2048,120,120,100,17.9454411135205,66.5008237499512,59.6201021543834,22.102385864957,74.0507532569847,1229.54244955764,1289.5,1260.20125754252,1189,1273.5,553,1178,68.2843762127441
"2048/2049",2049,121,121,100,18.9584551282876,85.9986296184328,51.0000688882801,19.2730743556172,72.9172918860592,1396.7363240652,1522,1592.19561040819,1334.5,1538,509,1455,74.8411596202732
"2049/2050",2050,120,120,100,32.698279385299,111.195679195878,56.3140442013921,34.6783458629734,78.5920019369027,1746.50850688569,1797.5,1826.70046544238,1670.5,1826.5,990,1785.5,81.4304065603465
"2050/2051",2051,120,120,100,32.5635389334381,110.450471375469,59.1687477193228,34.9595307140196,81.5713347452171,1906.53917960642,1856.5,2007.30311844178,1717.5,1981.5,996,1929.5,87.5166889644843
"2051/2052",2052,120,120,100,26.110668327669,85.049536275886,53.0944655306617,27.4185135768828,73.3552374636694,1530.16082227429,1522.5,1484.05915648614,1325,1621,769,1449.5,70.9083283223945
"2052/2053",2053,121,121,100,15.3101878420114,28.1545723543377,53.7662688648766,16.8226473065783,68.9473184080237,1146.38230975071,1159.5,1103.39457739763,968.5,1271.5,449,1032.5,61.0813140677446
"2053/2054",2054,120,120,100,12.4599637117906,47.650486311342,50.6836806013233,14.169695725166,66.5088606972815,1029.28678357964,1079.5,947.207632485864,869,1114.5,382,864.5,54.9775976390874
"2054/2055",2055,120,120,100,14.6170195286712,62.677508644382,48.2245245656028,14.6325152835733,66.7506878462753,1177.52498601493,1270.5,1154.89510032335,1047,1310.5,500,1102,63.4966696265501
"2055/2056",2056,120,120,100,21.9828290715383,68.6665211887868,53.1238635734744,24.0963425651967,73.269876439632,1453.7035755047,1493.5,1492.88994140235,1337.5,1543.5,706,1406.5,71.1540078479829
"2056/2057",2057,121,121,100,20.4369064561126,59.9508722510439,52.3288960832401,21.3569559626933,70.9756860176564,1461.64571424507,1354.5,1436.50424935496,1133,1594.5,605,1323.5,71.8575291250945
"2057/2058",2058,120,120,100,24.7393380488212,83.1679014555812,55.4239315663232,28.8315657008827,74.2467872818935,1346.77670451114,1328,1209.04871878914,1205,1364.5,729,1207.5,68.2861276146969
"2058/2059",2059,120,120,100,11.9238368066338,41.7280963943616,47.7823911288441,12.2854922554081,66.8289730171776,1185.38286805119,1244.5,1211.3638003314,1036.5,1344.5,383,1133,65.6651416875065
"2059/2060",2060,120,120,100,31.0733430843369,104.134608518653,60.1751505260895,34.8772800931382,79.6989205644631,1712.68014447061,1643.5,1621.16664291744,1533.5,1724,1033,1623.5,75.7316281125268
"2060/2061",2061,121,121,100,14.6928257155252,68.1813997846021,49.444563634737,16.664360937452,68.9266384049771,1190.14950104912,1231,1155.67220060805,1047,1280.5,485,1066.5,64.027843053791
"2061/2062",2062,120,120,100,27.200877043028,65.7948514556373,52.817630185422,29.2508523908193,69.9809645322967,1383.59452241664,1232.5,1094.74741697365,1026,1443,783,1099.5,62.4451418514655
"2062/2063",2063,120,120,100,29.7547397287608,113.839214630133,57.9615269037725,34.8702182510256,79.4282362314617,1583.23070966994,1529.5,1556.89062632159,1444.5,1617,838,1507,77.2138327790371
"2063/2064",2064,120,120,100,31.9639852521223,114.676823166836,57.1689321347244,34.3986487999133,78.7505448367747,1693.17033771778,1734,1702.53680094673,1602.5,1743,978,1675.5,78.5269438346995
"2064/2065",2065,121,121,100,24.0539549755482,85.5617925607552,55.2582275182759,29.8413381027713,73.9628228493889,1301.11860269733,1259,1036.29529405385,1135.5,1267,768,1044.5,62.1283917055835
"2065/2066",2066,120,120,100,20.2163306760357,62.5835913872414,51.2969328318795,21.9418675561102,70.0936684728529,1293.29698740336,1298.5,1207.86467988968,1116.5,1369.5,631,1144,63.0264201297468
"2066/2067",2067,120,120,100,14.3171204723175,55.5747880689395,49.8073259717317,15.4210024889502,69.7131404233188,1304.38243328739,1438.5,1455.12889606801,1231.5,1460.5,483,1342,68.9518446990487
"2067/2068",2068,120,120,100,33.4858331124616,149.638756334482,56.4679831716373,35.5439687573856,79.6384109927924,1682.10594437248,1715.5,1711.05218949469,1579,1717,957,1651,78.7032616464003
"2068/2069",2069,121,121,100,17.7572155477973,92.043010875126,47.6077309356261,18.5320418363013,65.941733344716,1042.43897691459,1031,779.529196004049,856.5,1107,517,786.5,50.9505118139296
"2069/2070",2070,120,120,100,24.6985186521859,97.1002193222315,54.4181151168235,27.3429662785365,73.8816332671357,1448.2477810939,1431.5,1347.78641516384,1249,1504,780,1305,69.7774213003568
"2070/2071",2071,120,120,100,18.6562539833729,77.9150140409163,52.7090748097293,21.2596864258156,72.5258502939206,1270.38493385102,1342,1295.31549054224,1194.5,1356.5,573,1200,68.2963984150065
"2071/2072",2072,120,120,100,23.6303213793016,63.7882530541005,55.0060865253053,25.245775251846,73.5325205107815,1491.94041425144,1513,1519.63984493198,1340.5,1608,739,1451,71.9542008074914
"2072/2073",2073,121,121,100,20.3568538058571,88.9761756955661,50.0763771541766,21.6168202038663,69.9896557980991,1391.09967498743,1236,1168.23790269032,1028,1443.5,698,1127,65.1880552273069
"2073/2074",2074,120,120,100,10.9439051096334,35.9654962008279,49.3631467425052,13.7343283948564,66.0185404485026,964.07896693371,1039,868.676360275247,838,1034,338,780,54.1504369035665
"2074/2075",2075,120,120,100,17.2285792095641,63.5498339474652,54.8650618001319,22.4973961363034,71.3156911334061,1213.20579723496,1040,967.743347697207,832,1232,552,926,62.6158719071018
"2075/2076",2076,120,120,100,18.9488130438449,64.732338279555,50.3258376515959,22.0374404394055,68.5063465061488,1194.06583135683,1170.5,965.587483444455,973.5,1207.5,654,930.5,55.9137317024761
"2076/2077",2077,121,121,100,11.2332664533781,47.3344363268007,47.4225443101833,11.7075417316669,65.6867129067655,1087.17854130291,1136,1049.20133315273,926.5,1228.5,334,973.5,60.294796844898
"2077/2078",2078,120,120,100,34.0674726098106,118.674653181489,57.371330971517,36.1566160372195,79.5582123848401,1769.72650834953,1768.5,1783.0254393177,1644,1838.5,991,1757.5,81.507580828772
"2078/2079",2079,120,120,100,26.1065849529582,93.1209101853179,59.6749438711645,32.1084747248711,79.6528679640413,1509.75570728234,1592,1538.91669796727,1486,1519.5,831,1494,74.9084090637662
"2079/2080",2080,120,120,100,18.5751978937041,73.2362830923683,52.317397002517,19.7357336826314,71.1157104451166,1308.21430423835,1372.5,1338.31885777276,1182.5,1420.5,575,1273,66.8467072233561
"2080/2081",2081,121,121,100,15.4475028088376,56.1321609002252,48.9550420768506,16.0294304735569,67.1481996985577,1179.82929843263,1189.5,1084.58800188193,967,1285,443,1013.5,57.7497570859568
"2081/2082",2082,120,120,100,20.3670478298934,79.3092874206496,51.0610077382848,23.6382246122689,70.2658302781646,1196.01487090735,1215,1064.63005707883,1039.5,1234.5,599,1022.5,61.458491643245
"2082/2083",2083,120,120,100,14.949185359939,59.1060186931554,51.1015035298114,16.4083185703298,69.9949243675354,1289.32913220278,1332,1348.06845604026,1135,1414,469,1223,69.6384466169357
