"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,22.6427314289709,100.130472714062,53.4469306592835,26.7169355172118,74.7997804359581,1410.31549672373,1422,1330.8553671484,1297.5,1432.5,789,1292.5,68.9803672901231
"2002/2003",2003,120,120,100,22.2808835521027,77.0238380149111,57.6124550450448,25.4583941506579,76.1712772005131,1496.73797561565,1466.5,1561.13733448996,1314,1574,627,1459,75.1430104645416
"2003/2004",2004,120,120,100,38.6989264956316,164.616169264375,59.7533750642102,44.7636689769497,84.8000435421264,1894.76616354543,1802.5,1800.63364302071,1748,1865.5,1197,1799,83.1756648700881
"2004/2005",2005,121,121,100,30.6140954668458,136.547132057848,54.8207415535698,33.6997085504956,79.6385347012663,1793.86444761072,1769.5,1823.32161431359,1627,1854,984,1762.5,83.4043464659655
"2005/2006",2006,120,120,100,22.6168213689929,107.132006477824,50.7021383702986,24.1833933428294,73.0124466294834,1513.79552091595,1530.5,1485.77293359777,1350.5,1605,784,1462.5,71.5887107261243
"2006/2007",2007,120,120,100,21.1110737645072,108.37347485757,55.3623961916954,24.669534900723,77.167999509006,1535.7923366524,1525.5,1580.77726377687,1384,1614.5,734,1520.5,78.7458115445373
"2007/2008",2008,120,120,100,38.4128753716678,146.133430740099,62.4393497224378,44.4057045761161,84.8358626196874,1921.88382657035,1873,1820.4524882941,1802.5,1882,1298,1842.5,83.5528908935224
"2008/2009",2009,121,121,100,26.0944601802202,133.392393105752,57.2708826968152,33.3434306804772,81.8064738880375,1694.52138198815,1621.5,1649.09317625101,1551,1663,954,1596,81.5160469227459
"2009/2010",2010,120,120,100,29.8051445957818,114.93619344367,56.8689446016131,33.2986421483827,78.4905789460278,1653.35372306245,1675,1675.3749627658,1563,1718,927,1646.5,78.9400641060993
"2010/2011",2011,120,120,100,30.3711848778221,115.270501743919,55.4150932090512,31.7831133477405,77.8637260805662,1739.86967056058,1781.5,1786.42500766701,1637,1856,957,1781,81.2147805276493
"2011/2012",2012,120,120,100,32.9104064444813,123.99990326302,57.1130038687898,35.7514121462316,80.6124963867796,1834.05978777663,1822,1895.59360183476,1695.5,1907,1008,1858.5,84.7594812034993
"2012/2013",2013,121,121,100,37.2655521500519,158.53351039464,57.726385670084,40.5245536451166,82.0281744876443,1749.4567451391,1739,1681.02383060961,1656,1750,1104,1669.5,79.1481969183144
"2013/2014",2014,120,120,100,38.2802511142065,131.997054909206,60.9160518804366,40.8564947626852,82.8540816731161,1865.88744305709,1791,1816.54778795996,1696,1878.5,1134,1805.5,83.2569171838229
"2014/2015",2015,120,120,100,43.67211298491,159.909604610446,65.6454764546451,54.8739036432776,87.1966290938186,1734.42514927657,1528.5,1291.37783169525,1540.5,1554.5,1333,1419.5,72.4144019920293
"2015/2016",2016,120,120,100,28.8076779172058,111.871236079597,55.0603714934661,31.3350929198313,78.0680257902198,1690.2492897886,1728,1753.76532937803,1567,1761,893,1683,80.7597665120038
"2016/2017",2017,121,121,100,33.0869965668304,137.708751372873,56.6626471722386,36.795647188151,78.6482007293426,1598.94773386643,1515,1393.79828727526,1379,1561,993,1379,71.3164533602696
