"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,25.7527589672483,102.654467551546,56.3182569945285,30.0051992273355,77.1008880954435,1501.14456277867,1492.5,1444.21806479505,1385,1529,855,1422,71.6430959039885
"2002/2003",2003,120,120,100,25.7119944736551,79.4278913716351,61.2796866958596,30.0303404805239,78.2536312008412,1559.30833965507,1537,1578.61804384312,1421.5,1618.5,786,1519,76.936425781755
"2003/2004",2004,120,120,100,41.8060544053196,164.098286169066,62.7788175010693,48.6914049395253,87.4675518061704,1966.26833610133,1844,1847.99076687646,1815,1890,1282,1860,86.6077174765192
"2004/2005",2005,121,121,100,33.2119208975544,141.856218724384,57.5945980262949,37.7707738352408,82.4509575032709,1887.05087215346,1849,1909.38880206688,1726,1928.5,1092,1871,86.2822342895365
"2005/2006",2006,120,120,100,26.9517488877844,117.65253286322,53.1590472379055,29.1038297416933,75.9860207325086,1623.60456444544,1685.5,1633.56877503547,1512,1682,908,1600.5,76.3654845754523
"2006/2007",2007,120,120,100,24.1061907301254,107.991400698828,58.7288983105338,27.5172506546945,78.8812944294489,1598.80015512007,1576.5,1640.00786364124,1435,1660,793,1581,79.5734573496208
"2007/2008",2008,120,120,100,42.6097434510544,152.423386861498,65.7294629216718,50.349314770829,87.616371268784,1986.2026040416,1884,1789.18889758208,1851,1874.5,1439,1832,83.2935847920929
"2008/2009",2009,121,121,100,28.5687193049179,141.477486170323,60.1499152949873,36.1755369337696,84.2679640926966,1804.02630052001,1684.5,1738.57513670341,1625.5,1766.5,1039,1713.5,84.8216256106718
"2009/2010",2010,120,120,100,27.246177085538,115.026987301785,59.9621870286607,32.8880980939028,80.8243969459719,1692.87564869481,1692.5,1719.65365864444,1611.5,1719.5,951,1676,79.5825363020144
"2010/2011",2011,120,120,100,35.3571179227736,127.491021480982,58.0260490419132,37.1144723746964,80.718476459407,1881.70005072256,1910.5,1926.62966596671,1755,1982,1093,1941.5,83.8198876921197
"2011/2012",2012,120,120,100,38.2039136703698,131.026366056999,60.0209295747287,42.435974369522,83.4894980541232,1972.62932527192,1929,1960.03314241211,1801.5,2007,1185,1968,86.5222469196965
"2012/2013",2013,121,121,100,39.3569095227234,153.460238515986,61.0846122239478,45.00102406174,84.3361648576527,1787.72948507965,1739,1654.91531129848,1664,1727.5,1185,1661.5,81.2490344069938
