"Treatment","Month","Tmin","Tmax","Year","SSP_Time","month_name"
NA,6,11.7033333333333,20.1166666666667,1979,"Past combined","June"
NA,6,10.5433333333333,17.7066666666667,1988,"Past combined","June"
NA,6,9.19666666666667,16.95,1991,"Past combined","June"
NA,6,7.87500375833333,20.63,1962,"Past combined","June"
NA,6,10.9,29.4966666666667,2003,"Past combined","June"
31,6,12.3844594252873,25.936487183908,31,"Past combined","June"
NA,6,12.7133333333333,22.28,2007,"Past combined","June"
NA,7,12.3,18.3935483870968,1965,"Past combined","July"
NA,7,10.3516129032258,19.5354838709677,1978,"Past combined","July"
NA,7,10.3709677419355,21.6935483870968,2000,"Past combined","July"
NA,7,10.9483870967742,24.5354838709677,2004,"Past combined","July"
NA,7,11.7774193548387,27.5354838709677,2001,"Past combined","July"
NA,7,13.9806451612903,31.1161290322581,2006,"Past combined","July"
NA,7,15.3225806451613,27.641935483871,1994,"Past combined","July"
NA,8,12.1,19.8387096774194,1987,"Past combined","August"
NA,8,11.5838709677419,19.4870967741935,1977,"Past combined","August"
NA,8,10.8645161290323,19.7129032258064,1978,"Past combined","August"
NA,8,10.7709677419355,19.8193548387097,1979,"Past combined","August"
NA,8,9.96451612903226,21.9064516129032,1993,"Past combined","August"
NA,8,10.0129032258065,23.4032258064516,2005,"Past combined","August"
NA,8,11.8548387096774,29.5032258064516,2003,"Past combined","August"
NA,8,14.2387096774194,26.3032258064516,1997,"Past combined","August"
NA,8,13.8903225806452,23.0645161290323,1992,"Past combined","August"
NA,9,11.0166666666667,18.0933333333333,1998,"Past combined","September"
NA,9,9.90666666666667,15.8033333333333,1984,"Past combined","September"
NA,9,6.08666666666667,16.4833333333333,1972,"Past combined","September"
NA,9,5.41,18.3566666666667,1971,"Past combined","September"
NA,9,5.48333333333333,22.5333333333333,1959,"Past combined","September"
NA,9,6.86333333333333,22.98,2002,"Past combined","September"
NA,9,12.1966666666667,24.51,2006,"Past combined","September"
NA,9,13.1766666666667,23.2866666666667,1999,"Past combined","September"
NA,10,7.99354838709677,13.5161290322581,1982,"Past combined","October"
NA,10,5.15483870967742,9.54193548387097,1974,"Past combined","October"
NA,10,1.53548387096774,12.4129032258065,2003,"Past combined","October"
NA,10,3.5258064516129,16.7387096774194,1959,"Past combined","October"
31,10,8.75251995794039,20.3769609290406,31,"Past combined","October"
NA,10,9.93870967741936,17.9741935483871,2001,"Past combined","October"
NA,11,2.905,6.795,1958,"Past combined","November"
NA,11,-0.463333333333333,4.62333333333333,1985,"Past combined","November"
NA,11,-0.87,4.45333333333333,1993,"Past combined","November"
30,11,4.21944444444444,18.5375,30,"Past combined","November"
NA,11,6.84,12.1266666666667,1994,"Past combined","November"
NA,12,0.206451612903226,3.96451612903226,1967,"Past combined","December"
NA,12,-4.31935483870968,-0.0387096774193548,1969,"Past combined","December"
NA,12,-5.09806451612903,0.463870967741935,2010,"Past combined","December"
NA,12,-4.90645161290323,1.11290322580645,1963,"Past combined","December"
30,12,3.20295698924731,15.8951612903226,30,"Past combined","December"
21,12,4.59144903225806,14.140705483871,21,"Past combined","December"
NA,12,5.60548387096774,11.7216129032258,2015,"Past combined","December"
NA,12,5.06774193548387,8.96774193548387,1974,"Past combined","December"
NA,12,4.13870967741935,7.54838709677419,1988,"Past combined","December"
NA,1,2.50967741935484,5.72258064516129,1976,"Past combined","January"
NA,1,-2.44838709677419,1.56451612903226,1996,"Past combined","January"
NA,1,-5.98709677419355,-1.23548387096774,1987,"Past combined","January"
NA,1,-10.258064516129,-3.62258064516129,1963,"Past combined","January"
24,1,2.79032258064516,16.8131720430107,24,"Past combined","January"
5,1,8.96538709677419,22.2033629032258,5,"Past combined","January"
NA,1,4.54838709677419,8.92258064516129,1975,"Past combined","January"
NA,2,4.15357142857143,9.6,1966,"Past combined","February"
NA,2,1.65172413793103,6.47931034482759,1988,"Past combined","February"
NA,2,0.482142857142857,5.08571428571429,1971,"Past combined","February"
NA,2,-2.23571428571429,1.93214285714286,1965,"Past combined","February"
NA,2,-9.50357142857143,-1.20357142857143,1986,"Past combined","February"
NA,2,-9.90357142857143,-1.33928571428571,1963,"Past combined","February"
10,2,2.808,19.9731428571429,10,"Past combined","February"
11,2,10.1868392857143,27.6404107142857,11,"Past combined","February"
5,2,10.7171160714286,27.9245803571429,5,"Past combined","February"
NA,3,5.74838709677419,11.8129032258065,1981,"Past combined","March"
NA,3,1.80967741935484,7.01935483870968,1988,"Past combined","March"
NA,3,0.0258064516129032,6.04193548387097,1970,"Past combined","March"
NA,3,-1.63548387096774,5.52903225806452,1971,"Past combined","March"
NA,3,-2.67741935483871,5.23870967741935,1958,"Past combined","March"
NA,3,-3.30322580645161,5.4258064516129,1962,"Past combined","March"
30,3,3.73756467741935,25.3244472580645,30,"Past combined","March"
24,3,9.29489247311827,25.5697311827957,24,"Past combined","March"
4,3,9.53001612903226,25.3816774193548,4,"Past combined","March"
NA,4,7.16,14.9533333333333,1961,"Past combined","April"
NA,4,3.68,9.49333333333333,1970,"Past combined","April"
NA,4,3.26333333333333,9.57333333333333,1986,"Past combined","April"
NA,4,1.72,10.0933333333333,1973,"Past combined","April"
NA,4,1.55666666666667,11.45,1958,"Past combined","April"
NA,4,2.13666666666667,17.0233333333333,2003,"Past combined","April"
30,4,5.46430266666667,31.3735305,30,"Past combined","April"
22,4,6.03175733333333,33.0426493333333,22,"Past combined","April"
18,4,7.66805555555556,34.2055555555556,18,"Past combined","April"
NA,5,7.17096774193548,14.1354838709677,1962,"Past combined","May"
NA,5,6.68064516129032,13.5935483870968,1984,"Past combined","May"
NA,5,5.7258064516129,13.8612903225806,1987,"Past combined","May"
NA,5,4.86451612903226,14.2677419354839,1991,"Past combined","May"
NA,5,4.64193548387097,17.4451612903226,1980,"Past combined","May"
24,5,6.68780153479559,29.2232771731191,24,"Past combined","May"
NA,5,9.89354838709678,20.2709677419355,2000,"Past combined","May"
NA,5,9.58064516129032,19.3709677419355,2007,"Past combined","May"
NA,6,12.9903449753238,21.5005800541651,2037,"SSP1 2050","June"
NA,6,9.14614084934709,19.9285476088392,2076,"SSP1 2050","June"
NA,6,8.61048829318134,19.8254891177207,2091,"SSP1 2050","June"
NA,6,9.09831784766943,22.2517610995103,2035,"SSP1 2050","June"
NA,6,9.37564398672764,23.2273782372547,2039,"SSP1 2050","June"
NA,6,11.1957697166505,26.3083885791489,2009,"SSP1 2050","June"
NA,6,12.1147062385504,27.0745064461595,2066,"SSP1 2050","June"
NA,6,17.0614565889375,29.6643317386991,2079,"SSP1 2050","June"
NA,6,15.755100990835,25.2171169103038,2008,"SSP1 2050","June"
NA,7,13.8314905919035,22.1165498498301,2001,"SSP1 2050","July"
NA,7,10.7948979183054,22.6723556738375,2075,"SSP1 2050","July"
NA,7,9.7624401774657,23.9390915074968,2021,"SSP1 2050","July"
NA,7,13.0379819985144,27.7168281574877,2056,"SSP1 2050","July"
NA,7,15.6570774215038,30.4772104071945,2088,"SSP1 2050","July"
NA,7,16.3320649468442,30.9590619306988,2044,"SSP1 2050","July"
NA,7,19.1362623026334,32.5129787927525,2048,"SSP1 2050","July"
NA,7,17.857802445299,28.3853276241742,2037,"SSP1 2050","July"
NA,8,13.9370819018756,22.4721919322437,2063,"SSP1 2050","August"
NA,8,13.2345949579,21.6370100117622,2076,"SSP1 2050","August"
NA,8,10.5678043657349,20.7594865621285,2089,"SSP1 2050","August"
NA,8,10.9303329512743,24.0351560997785,2074,"SSP1 2050","August"
NA,8,12.6857667395034,26.9085899910752,2026,"SSP1 2050","August"
NA,8,14.9013219165016,29.3431210217179,2025,"SSP1 2050","August"
NA,8,16.6623868645083,31.1711003491003,2085,"SSP1 2050","August"
NA,8,18.2521185797702,29.5059845180637,2091,"SSP1 2050","August"
NA,8,17.701030297196,27.5666977221766,2052,"SSP1 2050","August"
NA,9,11.4719489644892,19.3609693636766,2025,"SSP1 2050","September"
NA,9,8.87818721217214,16.3678961312334,2012,"SSP1 2050","September"
NA,9,8.51994788712888,18.5065405996173,2076,"SSP1 2050","September"
NA,9,8.32726330906893,20.1619299962469,2028,"SSP1 2050","September"
NA,9,8.30312492832101,21.2122106787072,2061,"SSP1 2050","September"
NA,9,8.74913997874257,22.3191242001243,2021,"SSP1 2050","September"
NA,9,11.193326408154,24.5318614292456,2094,"SSP1 2050","September"
NA,9,13.4863137778138,25.6113113739087,2100,"SSP1 2050","September"
NA,9,14.5891556866893,25.0310941567368,2091,"SSP1 2050","September"
NA,9,13.4853588034454,22.0908633906639,2058,"SSP1 2050","September"
NA,10,10.257057895208,17.2307334878845,2027,"SSP1 2050","October"
NA,10,9.77489113749148,16.5606255677286,2064,"SSP1 2050","October"
NA,10,6.70937372659227,13.6605787616087,2063,"SSP1 2050","October"
NA,10,4.39911219939478,12.619559214864,2098,"SSP1 2050","October"
NA,10,4.50450006411803,14.4426631845831,2100,"SSP1 2050","October"
NA,10,8.49967869638469,19.7327185264861,2068,"SSP1 2050","October"
NA,10,10.922825817443,21.9268057211935,2053,"SSP1 2050","October"
NA,10,11.8265562384785,19.9404052274272,2046,"SSP1 2050","October"
NA,10,11.3918841810069,19.1156632511804,2093,"SSP1 2050","October"
NA,11,3.99029804380354,8.95610630945908,2013,"SSP1 2050","November"
NA,11,3.17665279780972,8.16982476149684,2079,"SSP1 2050","November"
NA,11,0.196117047370985,5.71308055558904,2064,"SSP1 2050","November"
NA,11,-1.04055870091941,5.03701456472846,2062,"SSP1 2050","November"
NA,11,1.41028560936805,9.09491715364048,2028,"SSP1 2050","November"
NA,11,2.00086560412889,10.0233994456486,2033,"SSP1 2050","November"
NA,11,3.40200101863172,12.0735804623561,2045,"SSP1 2050","November"
NA,11,8.39476640592235,15.6012417749921,2074,"SSP1 2050","November"
NA,11,8.20518199689502,14.3989341129534,2097,"SSP1 2050","November"
NA,11,7.34892414640441,12.924965180112,2052,"SSP1 2050","November"
NA,11,5.55914283660586,10.5921836074816,2024,"SSP1 2050","November"
NA,12,0.20761901138692,4.06264761942684,2018,"SSP1 2050","December"
NA,12,-2.00130034742285,2.74238068413778,2084,"SSP1 2050","December"
NA,12,-5.16074016212291,1.11072521495392,2026,"SSP1 2050","December"
NA,12,1.80089364563313,8.45670219395279,2085,"SSP1 2050","December"
NA,12,2.32743985749559,8.93413998425477,2069,"SSP1 2050","December"
NA,12,4.71833816780562,11.0563064858606,2086,"SSP1 2050","December"
NA,12,6.05736721080524,12.0728256375388,2081,"SSP1 2050","December"
NA,12,5.04717329776889,9.61698985619266,2042,"SSP1 2050","December"
NA,12,3.98447874471391,7.7746402571815,2070,"SSP1 2050","December"
NA,1,0.248729035944361,3.80315071095486,2072,"SSP1 2050","January"
NA,1,-3.45463896402622,0.895009015114626,2022,"SSP1 2050","January"
NA,1,-3.73103558069291,1.16738248825157,2048,"SSP1 2050","January"
NA,1,-3.50405251055214,2.30395108927176,2015,"SSP1 2050","January"
NA,1,-1.54452684180552,5.91725096500921,2004,"SSP1 2050","January"
NA,1,2.77429383106314,10.2083842714444,2005,"SSP1 2050","January"
NA,1,4.46330629309748,11.2567908473829,2066,"SSP1 2050","January"
NA,1,6.37100903321245,12.063267890002,2069,"SSP1 2050","January"
NA,1,5.77424588129741,10.8444891068893,2006,"SSP1 2050","January"
NA,1,4.49932419298737,8.84617551986772,2081,"SSP1 2050","January"
NA,2,1.88507219499197,6.06933651374188,2011,"SSP1 2050","February"
NA,2,-1.37685548188372,2.88972911044445,2062,"SSP1 2050","February"
NA,2,-3.08341677619331,2.4695653479747,2091,"SSP1 2050","February"
NA,2,-4.08763868974417,5.39386811541649,2068,"SSP1 2050","February"
NA,2,4.25341163833647,12.1763162031683,2076,"SSP1 2050","February"
